Datum;CycleCounter;SE880;SE902;SE906;PF_AL_BU_15_K;PF_AL_BU_15K_Temp;PF__AL_BU_30_K;PF_AL_BU_30K_Temp;PF_AL_BU_60_K;PF_AL_BU_60K_Temp;PF_AL_BU_15_KR;PF_AL_BU_15KR_Temp;PF_AL_BU_30_KR;PF_AL_BU_30KR_Temp;PF_AL_BU_60_KR;PF_AL_BU_60KR_Temp;PF_AL_BU_15_L;PF_AL_BU_15L_Temp;PF_AL_BU_30_L;PF_AL_BU_30L_Temp;PF_AL_BU_60_L;PF_AL_BU_60L_Temp;UB;Temp_880;Temp_902;Temp_906;RegenX;RegenY;RegenZ;15K_AL_BU_FDR;30K_AL_BU_FDR;60K_AL_BU_FDR;15KR_AL_BU_FDR;30KR_AL_BU_FDR;60KR_AL_BU_FDR;15L_AL_BU_FDR;30L_AL_BU_FDR;60L_AL_BU_FDR;Stammab
2021-01-01 00:00:00;0;3847,69;2496,36;2683,86;9999;9999;0;5,64;2,8;6,15;1,87;5,64;1,81;6;3,05;6,55;7;4,7;9999;9999;2,8;6,45;12,33;-0,63;-0,63;-0,62;0;0;0;22,82;26,31;15,64;25,12;20,84;23,86;17,23;12,12;15,88;0
2021-01-01 00:15:00;1;3847,87;2496,28;2683,99;9999;9999;0;5,6;2,8;6,17;1,87;5,6;1,82;6,02;3,05;6,55;7;4,71;9999;9999;2,8;6,44;12,38;-0,65;-0,66;-0,63;0;0;0;22,81;26,31;15,64;25,11;20,84;23,86;17,23;12,12;15,88;0
2021-01-01 00:30:00;2;3847,93;2496,52;2683,86;9999;9999;0;5,6;2,8;6,19;1,87;5,62;1,82;6,01;3,04;6,51;7;4,67;9999;9999;2,8;6,44;12,37;-0,63;-0,61;-0,58;0;0;0;22,81;26,31;15,64;25,11;20,84;23,86;17,24;12,12;15,88;0
2021-01-01 00:45:00;3;3848,3;2496,81;2684,28;9999;9999;0;5,59;2,8;6,16;1,87;5,6;1,82;6,02;3,05;6,55;7;4,7;9999;9999;2,8;6,41;12,38;-0,7;-0,67;-0,61;0;0;0;22,81;26,31;15,64;25,11;20,83;23,86;17,24;12,12;15,88;0
2021-01-01 01:00:00;0;3847,95;2496,44;2683,96;9999;9999;0;5,62;2,8;6,14;1,87;5,62;1,82;5,99;3,05;6,52;7;4,71;9999;9999;2,8;6,43;12,25;-0,63;-0,66;-0,63;0;0;0;22,81;26,3;15,64;25,1;20,83;23,86;17,25;12,12;15,88;0
2021-01-01 01:15:00;1;3847,31;2495,85;2683,7;9999;9999;0;5,6;2,82;6,17;1,87;5,61;1,82;5,99;3,07;6,51;7;4,68;9999;9999;2,81;6,41;12,34;-0,63;-0,61;-0,63;0;0;0;22,78;26,31;15,65;25,1;20,82;23,86;17,24;12,12;15,88;0
2021-01-01 01:30:00;2;3847,05;2495,56;2683,19;9999;9999;0;5,63;2,81;6,17;1,87;5,59;1,82;6,02;3,07;6,52;7;4,74;9999;9999;2,81;6,46;12,34;-0,63;-0,58;-0,58;0;0;0;22,79;26,3;15,65;25,1;20,82;23,86;17,25;12,12;15,88;0
2021-01-01 01:45:00;3;3847,85;2496,41;2683,96;9999;9999;0;5,62;2,8;6,19;1,87;5,61;1,82;5,98;3,06;6,54;7;4,72;9999;9999;2,81;6,43;12,34;-0,6;-0,63;-0,6;0;0;0;22,79;26,3;15,64;25,1;20,82;23,86;17,26;12,12;15,88;0
2021-01-01 02:00:00;0;3847,45;2496,25;2683,62;9999;9999;0;5,59;2,8;6,13;1,87;5,64;1,82;6,02;3,06;6,55;7;4,69;9999;9999;2,81;6,42;12,3;-0,51;-0,53;-0,52;0;0;0;22,79;26,3;15,64;25,09;20,82;23,86;17,26;12,12;15,88;0
2021-01-01 02:15:00;1;3847,29;2495,96;2683,4;9999;9999;0;5,6;2,79;6,18;1,87;5,62;1,82;6,01;3,06;6,51;7;4,7;9999;9999;2,8;6,4;12,34;-0,43;-0,45;-0,44;0;0;0;22,78;26,3;15,65;25,09;20,82;23,86;17,27;12,12;15,88;0
2021-01-01 02:30:00;2;3847,79;2496,49;2683,72;9999;9999;0;5,59;2,79;6,12;1,87;5,61;1,83;5,98;3,04;6,62;7;4,69;9999;9999;2,8;6,43;12,34;-0,38;-0,39;-0,4;0;0;0;22,78;26,3;15,64;25,09;20,82;23,86;17,27;12,12;15,88;0
2021-01-01 02:45:00;3;3847,23;2495,93;2683,3;9999;9999;0;5,6;2,79;6,15;1,87;5,63;1,83;6,02;3,05;6,54;7;4,67;9999;9999;2,8;6,42;12,34;-0,38;-0,37;-0,4;0;0;0;22,78;26,3;15,65;25,09;20,82;23,86;17,28;12,13;15,88;0
2021-01-01 03:00:00;0;3847,77;2496,6;2683,99;9999;9999;0;5,59;2,79;6,16;1,87;5,61;1,82;6;3,05;6,49;7;4,69;9999;9999;2,8;6,42;12,26;-0,43;-0,41;-0,43;0;0;0;22,78;26,3;15,64;25,08;20,82;23,86;17,28;12,13;15,88;0
2021-01-01 03:15:00;1;3847,34;2496,01;2683,64;9999;9999;0;5,61;2,79;6,13;1,87;5,64;1,83;6,03;3,06;6,54;7;4,72;9999;9999;2,81;6,38;12,34;-0,53;-0,51;-0,54;0;0;0;22,76;26,3;15,65;25,08;20,81;23,86;17,29;12,13;15,88;0
2021-01-01 03:30:00;2;3847,1;2496,12;2684,04;9999;9999;0;5,57;2,79;6,17;1,87;5,62;1,83;6,01;3,05;6,53;7;4,7;9999;9999;2,8;6,42;12,31;-0,58;-0,57;-0,6;0;0;0;22,77;26,3;15,65;25,08;20,81;23,86;17,29;12,13;15,88;0
2021-01-01 03:45:00;3;3847,58;2495,99;2683,51;9999;9999;0;5,55;2,78;6,16;1,87;5,59;1,83;5,97;3,05;6,54;7;4,71;9999;9999;2,8;6,42;12,33;-0,64;-0,66;-0,64;0;0;0;22,76;26,3;15,65;25,08;20,81;23,86;17,3;12,13;15,88;0
2021-01-01 04:00:00;0;3847,26;2496,04;2683,78;9999;9999;0;5,6;2,79;6,16;1,87;5,56;1,83;6,03;3,05;6,53;7;4,67;9999;9999;2,8;6,41;12,28;-0,72;-0,68;-0,69;0;0;0;22,76;26,3;15,65;25,08;20,81;23,86;17,3;12,13;15,88;0
2021-01-01 04:15:00;1;3847,07;2495,34;2683,14;9999;9999;0;5,6;2,78;6,15;1,87;5,58;1,83;6,04;3,04;6,47;7;4,72;9999;9999;2,8;6,43;12,33;-0,66;-0,67;-0,66;0;0;0;22,75;26,3;15,65;25,07;20,81;23,86;17,3;12,13;15,88;0
2021-01-01 04:30:00;2;3847,42;2495,99;2683,64;9999;9999;0;5,58;2,78;6,16;1,87;5,61;1,83;6;3,05;6,52;7;4,72;9999;9999;2,8;6,41;12,33;-0,63;-0,63;-0,65;0;0;0;22,75;26,3;15,65;25,07;20,81;23,86;17,31;12,13;15,88;0
2021-01-01 04:45:00;3;3847,34;2495,93;2683,51;9999;9999;0;5,61;2,78;6,16;1,87;5,59;1,83;6;3,04;6,49;7;4,7;9999;9999;2,8;6,39;12,33;-0,61;-0,62;-0,61;0;0;0;22,75;26,3;15,65;25,07;20,81;23,86;17,32;12,13;15,88;0
2021-01-01 05:00:00;0;3847,5;2495,93;2683,64;9999;9999;0;5,62;2,77;6,16;1,87;5,57;1,83;6,02;3,05;6,53;7;4,82;9999;9999;2,81;6,38;12,28;-0,56;-0,54;-0,56;0;0;0;22,75;26,3;15,65;25,07;20,8;23,86;17,32;12,13;15,88;0
2021-01-01 05:15:00;1;3846,89;2495,72;2682,95;9999;9999;0;5,6;2,77;6,16;1,87;5,61;1,83;6;3,05;6,49;7;4,66;9999;9999;2,8;6,4;12,33;-0,54;-0,52;-0,52;0;0;0;22,73;26,3;15,66;25,06;20,8;23,86;17,32;12,13;15,88;0
2021-01-01 05:30:00;2;3847,58;2495,91;2683,51;9999;9999;0;5,58;2,77;6,16;1,87;5,62;1,83;6;3,05;6,47;7;4,68;9999;9999;2,8;6,42;12,33;-0,52;-0,51;-0,5;0;0;0;22,74;26,3;15,65;25,06;20,8;23,86;17,33;12,13;15,89;0
2021-01-01 05:45:00;3;3847,15;2495,69;2682,92;9999;9999;0;5,62;2,77;6,14;1,87;5,65;1,84;5,99;3,04;6,53;7;4,76;9999;9999;2,8;6,41;12,33;-0,44;-0,45;-0,44;0;0;0;22,73;26,3;15,65;25,06;20,8;23,86;17,34;12,13;15,88;0
2021-01-01 06:00:00;0;3847,42;2496,01;2683,05;9999;9999;0;5,61;2,77;6,14;1,86;5,61;1,84;5,96;3,05;6,49;7;4,55;9999;9999;2,8;6,4;12,29;-0,46;-0,45;-0,47;0;0;0;22,73;26,3;15,65;25,06;20,8;23,86;17,34;12,13;15,88;0
2021-01-01 06:15:00;1;3847,18;2495,64;2683;9999;9999;0;5,64;2,77;6,15;1,87;5,59;1,84;5,97;3,04;6,55;7;4,62;9999;9999;2,8;6,41;12,33;-0,51;-0,51;-0,51;0;0;0;22,72;26,3;15,66;25,06;20,8;23,86;17,34;12,13;15,88;0
