Datum;CycleCounter;PF_AL_FI_15_K;PF_AL_FI_15K_Temp;PF__AL_FI_30_K;PF_AL_FI_30K_Temp;PF_AL_FI_60_K;PF_AL_FI_60K_Temp;PF_AL_FI_15_KR;PF_AL_FI_15KR_Temp;PF_AL_FI_30_KR;PF_AL_FI_30KR_Temp;PF_AL_FI_60_KR;PF_AL_FI_60KR_Temp;PF_AL_FI_15_L;PF_AL_FI_15L_Temp;PF_AL_FI_30_L;PF_AL_FI_30L_Temp;PF_AL_FI_60_L;PF_AL_FI_60L_Temp;UB;SE900;SE903;Temp_883;Temp_900;Temp_903;RegenX;RegenY;RegenZ;15K_AL_FI_FDR;30K_AL_FI_FDR;60K_AL_FI_FDR;15KR_AL_FI_FDR;30KR_AL_FI_FDR;60KR_AL_FI_FDR;15L_AL_FI_FDR;30L_AL_FI_FDR;60L_AL_FI_FDR;SE037
2021-01-01 00:00:00;1;2,51;5,08;3,12;5,33;3,91;4,95;1,71;5,24;3,16;5,57;7;-133,76;0;2,14;0;-245,03;3,03;5,93;12,43;3523,9963;9999;9999;0,18;0,16;0;0;0;17,79;15,59;17,91;17,11;16,45;16,17;20,45;14,72;21,32;3159,3704
2021-01-01 00:30:00;0;2,51;5,07;3,12;5,36;3,91;4,93;1,72;5,19;3,14;5,6;7;217,91;2,03;-145,22;0;-242,82;3,04;5,99;12,36;3534,8589;9999;9999;0,16;0,16;0;0;0;17,8;15,6;17,91;17,11;16,45;14,69;20,47;14,73;21,33;3159,5845
2021-01-01 01:00:00;1;2,51;5,06;3,11;5,32;3,91;4,95;1,71;5,16;3,15;5,59;1,82;-93,59;0;39,87;0;-241,43;3,04;5,95;12,43;3532,8521;9999;9999;0,16;0,12;0;0;0;17,81;15,6;17,91;17,12;16,45;15,81;20,47;14,74;21,33;3166,7544
2021-01-01 01:30:00;0;2,51;5,05;3,12;5,34;3,91;4,97;1,71;5,23;3,15;5,58;7;22,94;2,38;-34,06;0;-243,79;3,03;5,94;12,37;3538,9253;9999;9999;0,13;0,11;0;0;0;17,82;15,6;17,91;17,12;16,46;15,27;20,48;14,75;21,33;3222,7769
2021-01-01 02:00:00;1;2,51;5,04;3,11;5,37;3,91;4,92;1,71;5,18;3,14;5,6;7;-121,77;1,64;-90,33;0;-242,71;3,04;5,93;12,41;3534,8589;9999;9999;0,11;0,06;0;0;0;17,81;15,6;17,91;17,12;16,46;12,19;20,47;14,75;21,33;3296,1355
2021-01-01 02:30:00;0;2,51;5,06;3,12;5,32;3,91;4,93;1,72;5,28;3,14;5,59;7;-168,9;0;-141,5;0;-243,29;3,03;5,9;12,36;3548,0747;9999;9999;0,16;0,11;0;0;0;17,83;15,6;17,91;17,12;16,46;14,7;20,5;14,77;21,33;3160,949
2021-01-01 03:00:00;1;2,51;5,08;3,12;5,31;3,9;4,97;1,72;5,16;3,15;5,55;7;-104,51;7;-128,58;0;-243,14;3,04;5,93;12,4;3546,4695;9999;9999;0,15;0,14;0;0;0;17,84;15,61;17,91;17,13;16,46;10,19;20,49;14,78;21,33;3189,3613
2021-01-01 03:30:00;0;2,51;5,01;3,11;5,31;3,91;4,94;1,72;5,16;3,14;5,61;7;-126,58;1,92;-143,99;0;-243,08;3,03;5,93;12,32;3561,8799;9999;9999;0,15;0,07;0;0;0;17,84;15,61;17,91;17,13;16,47;11,11;20,52;14,79;21,34;3214,9646
2021-01-01 04:00:00;1;2,51;5,02;3,11;5,32;3,91;4,93;1,72;5,16;3,15;5,57;7;199,68;0;-113,83;0;-243,62;3,03;5,94;12,39;3569,7993;9999;9999;0,13;0,12;0;0;0;17,85;15,61;17,91;17,13;16,46;12,52;20,52;14,8;21,33;3215,6067
2021-01-01 04:30:00;0;2,51;5,02;3,11;5,33;3,91;4,91;1,72;5,19;3,14;5,62;7;38,32;0;-67,2;0;-241,54;3,03;5,92;12,35;3606,1035;9999;9999;0,09;0,06;0;0;0;17,86;15,61;17,91;17,14;16,47;14,93;20,54;14,81;21,34;3221,9473
2021-01-01 05:00:00;1;2,51;5,03;3,12;5,34;3,91;4,91;1,72;5,12;3,14;5,59;7;306,61;0;-128,11;0;-242,95;3,03;5,9;12,39;3627,1057;9999;9999;0,05;-0,04;0;0;0;17,86;15,61;17,91;17,14;16,47;13,27;20,54;14,82;21,34;3059,0173
2021-01-01 05:30:00;0;2,51;5,03;3,11;5,3;3,91;4,92;1,72;5,14;3,15;5,53;7;-179,53;0;-126,25;0;-242,51;3,04;5,94;12,35;3626,4363;9999;9999;0;-0,1;0;0;0;17,87;15,62;17,91;17,14;16,48;16,9;20,55;14,83;21,34;3059,7664
2021-01-01 06:00:00;1;2,51;5,04;3,11;5,25;3,91;4,91;1,72;5,19;3,15;5,57;7;-183,98;0;-172,3;0;-241,18;3,03;5,91;12,39;3631,0381;9999;9999;-0,01;-0,05;0;0;0;17,88;15,61;17,92;17,15;16,48;15,59;20,55;14,84;21,34;3060,2212
