Datum;CycleCounter;Hygro_S3_r.Feuchte;Hygro_S3_Temperatur;SP_Lite_Pyranometer;Windrichtung;Windgeschwindigkeit;Niederschlag;Steuerung_MC35i;UB
2021-01-01 00:00:00;0;100,07;-1,55;3,31;260;0;0;-1;12,32
2021-01-01 00:05:00;1;100,08;-1,57;3,32;158;0,6;0;-1;12,31
2021-01-01 00:10:00;2;100,08;-1,56;3,26;168;0,8;0;-1;12,31
2021-01-01 00:15:00;3;100,09;-1,61;3,22;188;0,8;0;-1;12,31
2021-01-01 00:20:00;4;100,08;-1,61;3,21;185;1,3;0;-1;12,31
2021-01-01 00:25:00;5;100,08;-1,63;3,28;203;1;0;-1;12,31
2021-01-01 00:30:00;6;100,08;-1,64;3,25;145;1,7;0;-1;12,31
2021-01-01 00:35:00;7;100,08;-1,64;3,28;193;0,9;0;-1;12,31
2021-01-01 00:40:00;8;100,08;-1,64;3,29;203;0,9;0;-1;12,31
2021-01-01 00:45:00;9;100,08;-1,66;3,27;315;1,3;0;-1;12,31
2021-01-01 00:50:00;10;100,08;-1,64;3,31;145;0,5;0;-1;12,31
2021-01-01 00:55:00;11;100,08;-1,65;3,21;160;0,4;0;-1;12,31
2021-01-01 01:00:00;0;100,08;-1,66;3,24;175;0,3;0;-1;12,31
2021-01-01 01:05:00;1;100,08;-1,65;3,25;195;1,2;0;-1;12,31
2021-01-01 01:10:00;2;100,07;-1,65;3,23;180;1,3;0;-1;12,31
2021-01-01 01:15:00;3;100,08;-1,66;3,19;188;1,4;0;-1;12,31
2021-01-01 01:20:00;4;100,08;-1,67;3,28;200;1,5;0;-1;12,31
2021-01-01 01:25:00;5;100,08;-1,67;3,19;195;1,2;0;-1;12,31
2021-01-01 01:30:00;6;100,08;-1,68;3,29;188;1,8;0;-1;12,31
2021-01-01 01:35:00;7;100,08;-1,7;3,31;128;0,8;0;-1;12,31
2021-01-01 01:40:00;8;100,08;-1,68;3,26;195;1,3;0;-1;12,31
2021-01-01 01:45:00;9;100,08;-1,7;3,25;200;1,8;0;-1;12,31
2021-01-01 01:50:00;10;100,07;-1,69;3,22;190;1,8;0;-1;12,31
2021-01-01 01:55:00;11;100,07;-1,72;3,23;185;2,1;0;-1;12,31
2021-01-01 02:00:00;0;100,08;-1,73;3,22;183;1,2;0;-1;12,3
2021-01-01 02:05:00;1;100,08;-1,75;3,2;198;2,1;0;-1;12,31
2021-01-01 02:10:00;2;100,09;-1,76;3,23;180;1,8;0;-1;12,3
2021-01-01 02:15:00;3;100,08;-1,76;3,22;155;0,6;0;-1;12,3
2021-01-01 02:20:00;4;100,08;-1,77;3,24;190;1,8;0;-1;12,3
2021-01-01 02:25:00;5;100,08;-1,8;3,29;185;1,8;0;-1;12,3
2021-01-01 02:30:00;6;100,08;-1,8;3,33;190;1,6;0;-1;12,3
2021-01-01 02:35:00;7;100,07;-1,79;3,25;185;1,2;0;-1;12,3
2021-01-01 02:40:00;8;100,08;-1,85;3,31;190;1,8;0;-1;12,3
2021-01-01 02:45:00;9;100,08;-1,86;3,23;178;1,6;0;-1;12,3
2021-01-01 02:50:00;10;100,08;-1,87;3,27;180;1,1;0;-1;12,3
2021-01-01 02:55:00;11;100,07;-1,85;3,26;193;0,4;0;-1;12,3
2021-01-01 03:00:00;0;100,07;-1,88;3,25;183;1,5;0;-1;12,3
2021-01-01 03:05:00;1;100,08;-1,89;3,28;113;0,7;0;-1;12,3
2021-01-01 03:10:00;2;100,06;-1,89;2,78;158;0,2;0;-1;12,28
2021-01-01 03:15:00;3;100,07;-1,86;3,02;185;1,4;0;-1;12,3
2021-01-01 03:20:00;4;100,07;-1,91;3,11;168;1,8;0;-1;12,3
2021-01-01 03:25:00;5;100,07;-1,9;3,18;190;1,8;0;-1;12,3
2021-01-01 03:30:00;6;100,07;-1,91;3,19;175;1,7;0;-1;12,3
2021-01-01 03:35:00;7;100,08;-1,97;3,2;193;1,2;0;-1;12,3
2021-01-01 03:40:00;8;100,07;-1,96;3,25;210;0,5;0;-1;12,3
2021-01-01 03:45:00;9;100,08;-1,94;3,24;95;0,2;0;-1;12,3
2021-01-01 03:50:00;10;100,08;-1,93;3,26;175;0,7;0;-1;12,3
2021-01-01 03:55:00;11;100,07;-1,98;3,19;150;0,7;0;-1;12,3
2021-01-01 04:00:00;0;100,08;-1,95;3,3;143;1;0;-1;12,3
2021-01-01 04:05:00;1;100,08;-2,01;3,27;165;0,6;0;-1;12,3
2021-01-01 04:10:00;2;100,07;-2,03;3,24;88;0,7;0;-1;12,3
2021-01-01 04:15:00;3;100,07;-2,06;3,26;20;0,4;0;-1;12,3
2021-01-01 04:20:00;4;100,08;-2,03;3,31;293;0,4;0;-1;12,3
2021-01-01 04:25:00;5;100,08;-2,07;3,27;45;0,1;0;-1;12,3
2021-01-01 04:30:00;6;100,07;-2,09;3,27;158;0,3;0;-1;12,3
2021-01-01 04:35:00;7;100,08;-2,13;3,27;155;0,7;0;-1;12,3
2021-01-01 04:40:00;8;100,08;-2,13;3,24;178;0,9;0;-1;12,3
2021-01-01 04:45:00;9;100,08;-2,15;3,29;113;1;0;-1;12,3
2021-01-01 04:50:00;10;100,08;-2,19;3,29;133;0,5;0;-1;12,3
2021-01-01 04:55:00;11;100,08;-2,16;3,26;225;0,4;0;-1;12,3
2021-01-01 05:00:00;0;100,09;-2,15;3,31;183;0,5;0;-1;12,3
2021-01-01 05:05:00;1;100,07;-2,19;3,27;198;0,2;0;-1;12,3
2021-01-01 05:10:00;2;100,08;-2,27;3,33;128;0,8;0;-1;12,3
2021-01-01 05:15:00;3;100,07;-2,3;3,28;140;0,6;0;-1;12,3
2021-01-01 05:20:00;4;100,08;-2,39;3,27;198;0,1;0;-1;12,3
2021-01-01 05:25:00;5;100,09;-2,47;3,3;145;0,5;0;-1;12,3
2021-01-01 05:30:00;6;100,08;-2,57;3,26;130;0;0;-1;12,29
2021-01-01 05:35:00;7;100,08;-2,65;3,25;120;0,4;0;-1;12,29
2021-01-01 05:40:00;8;100,08;-2,71;3,3;80;0;0;-1;12,29
2021-01-01 05:45:00;9;100,08;-2,78;3,25;120;0;0;-1;12,29
2021-01-01 05:50:00;10;100,08;-2,85;3,33;178;0,2;0;-1;12,29
2021-01-01 05:55:00;11;100,08;-2,85;3,32;235;0,2;0;-1;12,29
2021-01-01 06:00:00;0;100,08;-2,8;3,31;178;1,1;0;-1;12,29
2021-01-01 06:05:00;1;100,08;-2,81;3,32;185;0,7;0;-1;12,29
2021-01-01 06:10:00;2;100,08;-2,83;3,34;98;0,1;0;-1;12,29
2021-01-01 06:15:00;3;100,09;-2,85;3,32;140;0,6;0;-1;12,29
2021-01-01 06:20:00;4;100,09;-2,87;3,39;175;0,9;0;-1;12,29
2021-01-01 06:25:00;5;100,08;-2,84;3,35;188;0,8;0;-1;12,29
2021-01-01 06:30:00;6;100,08;-2,84;3,35;180;0,7;0;-1;12,29
2021-01-01 06:35:00;7;100,09;-2,82;3,41;190;0,7;0;-1;12,29
2021-01-01 06:40:00;8;100,09;-2,83;3,44;150;0,3;0;-1;12,29
2021-01-01 06:45:00;9;100,08;-2,85;3,4;155;0,5;0;-1;12,29
2021-01-01 06:50:00;10;100,08;-2,87;3,38;193;0,7;0;-1;12,29
2021-01-01 06:55:00;11;100,09;-2,86;3,42;215;1;0;-1;12,29
2021-01-01 07:00:00;0;100,08;-2,85;3,45;48;0;0;-1;12,29
2021-01-01 07:05:00;1;100,09;-2,85;3,51;158;0,3;0;-1;12,29
