Datum;CycleCounter;SE889;SE904;SE897;SE915;SE901;SE908;Stammabfluss;MC55;UB;Temp_889;Temp_904;Temp_897;Temp_915;Temp_901;Temp_908
2021-01-01 00:00:00;0;2681,5;3436;3325,4;3690,4;3787,8;2886,3;0;0;12,555;-0,15;-0,05;-0,09;0,09;0,14;0,12
2021-01-01 00:15:00;1;2681,5;3435,4;3329;3689,8;3787,8;2873,1;0;0;12,556;-0,11;-0,02;-0,07;0,1;0,15;0,15
2021-01-01 00:30:00;2;2681,2;3435,1;3327,5;3689,4;3787,6;2872,7;0;0;12,554;-0,05;0,08;0,02;0,21;0,21;0,18
2021-01-01 00:45:00;3;2681,7;3436;3327,8;3690,5;3788,1;2871,4;0;0;12,553;-0,22;-0,14;-0,17;0,02;0,11;0,09
2021-01-01 01:00:00;0;2682,2;3436,1;3327,3;3690,6;3788,7;2876,2;0;-1;12,553;-0,24;-0,18;-0,22;-0,03;0,03;0,03
2021-01-01 01:15:00;1;2680,6;3435,3;3327;3689,6;3787,3;2873,8;0;-1;12,509;-0,1;-0,06;-0,1;0,07;0,07;0,05
2021-01-01 01:30:00;2;2680,1;3434,7;3324,9;3689;3786,9;2871,3;0;-1;12,508;-0,08;-0,04;-0,08;0,18;0,26;0,27
2021-01-01 01:45:00;3;2680,8;3435,2;3325,2;3689,5;3787,4;2875,1;0;-1;12,505;-0,02;0,02;-0,02;0,16;0,25;0,27
2021-01-01 02:00:00;0;2680,1;3434,4;3324,2;3688,3;3786,8;2867,9;0;-1;12,504;0,07;0,14;0,08;0,28;0,34;0,32
2021-01-01 02:15:00;1;2679,5;3434,3;3325,4;3687,9;3786,6;2865,5;0;-1;12,502;0,26;0,31;0,26;0,5;0,52;0,5
2021-01-01 02:30:00;2;2679;3434,2;3324,3;3687,7;3786,5;2855,7;0;-1;12,502;0,28;0,4;0,34;0,64;0,7;0,7
2021-01-01 02:45:00;3;2679,4;3434,2;3324;3687,8;3786,5;2852,4;0;-1;12,5;0,3;0,4;0,33;0,55;0,61;0,63
2021-01-01 03:00:00;0;2679,2;3434,1;3324;3687,8;3787;2850,9;0;-1;12,498;0,43;0,53;0,46;0,65;0,72;0,73
2021-01-01 03:15:00;1;2678,2;3433,3;3323,1;3687,1;3785,7;2839,4;0;-1;12,499;0,57;0,64;0,57;0,76;0,8;0,8
2021-01-01 03:30:00;2;2678,2;3433,6;3322,8;3687,2;3785,9;2839,7;0;-1;12,497;0,51;0,65;0,6;0,85;0,87;0,9
2021-01-01 03:45:00;3;2678;3433,4;3322,4;3686,7;3785,8;2832,9;0;-1;12,498;0,52;0,62;0,58;0,78;0,85;0,88
2021-01-01 04:00:00;0;2678,8;3434;3322,6;3687,7;3786,2;2831,4;0;-1;12,497;0,58;0,7;0,67;0,89;0,92;0,95
2021-01-01 04:15:00;1;2678,9;3433,9;3322,9;3687,9;3786,2;2834,4;0;-1;12,497;0,61;0,71;0,66;0,87;0,98;1,02
2021-01-01 04:30:00;2;2678,2;3433,4;3322,1;3687,1;3785,7;2834,8;0;-1;12,497;0,65;0,74;0,68;0,88;0,96;0,97
2021-01-01 04:45:00;3;2677,6;3433,1;3322,1;3687;3785,6;2836,8;0;-1;12,496;0,7;0,79;0,73;0,93;0,99;0,99
2021-01-01 05:00:00;0;2678,1;3433,3;3322,2;3687,4;3785,8;2834,5;0;-1;12,492;0,73;0,82;0,77;0,99;1,05;1,06
