Datum;CycleCounter;UB;15K_ES_Fi_TDR;30K_ES_Fi_TDR;60K_ES_Fi_TDR;15KR_ES_Fi_TDR;30KR_ES_Fi_TDR;60KR_ES_Fi_TDR;15L_ES_Fi_TDR;30L_ES_Fi_TDR;60L_ES_Fi_TDR;Temp_910;Temp_907;Temp_893;Temp_887;Niederschlag_X;Niederschlag_Y;Niederschlag_Z;Temp_228;SE893;SE228;SE887;SE910;SE907;Temp_038;SE038
2021-01-01 00:00:00;3;12,29;16,35;22,48;9999;17,13;17,25;3,1;26,07;24,44;24,25;0,05;9999;0,02;-0,14;0;0;0;-0,02;0;0;0;0;0;0,18;0
2021-01-01 00:15:00;0;12,23;16,35;22,49;1,41;17,13;17,25;3,28;26,07;24,44;24,25;0,2;9999;0,06;-0,02;0;0;0;0,04;0;0;0;0;0;0,28;0
2021-01-01 00:30:00;1;12,29;16,35;22,41;9999;17,13;17,25;3,09;26,06;24,44;24,25;0,04;9999;0,05;0,04;0;0;0;0,14;0;0;0;0;0;0,19;0
2021-01-01 00:45:00;2;12,34;16,35;22,45;9999;17,13;17,25;3,1;26,07;24,44;24,25;0,11;9999;0,1;0,08;0;0;0;0,15;0;0;0;0;0;0,22;0
2021-01-01 01:00:00;3;12,29;16,35;22,47;9999;17,13;17,25;3,09;26,07;24,45;24,25;0,3;9999;0,13;0,03;0;0;0;0,1;0;0;0;0;0;0,36;0
2021-01-01 01:15:00;0;12,22;16,35;22,49;1,36;17,13;17,25;3,28;26,07;24,45;24,25;0,19;9999;0,09;-0,01;0;0;0;0,09;0;0;0;0;0;0,29;0
2021-01-01 01:30:00;1;12,29;16,35;22,41;9999;17,13;17,25;3,1;26,06;24,45;24,25;-0,06;9999;-0,09;-0,14;0;0;0;-0,02;0;0;0;0;0;0,09;0
2021-01-01 01:45:00;2;12,34;16,35;22,45;9999;17,13;17,25;3,1;26,07;24,45;24,26;0,13;9999;0,06;0,05;0;0;0;0,1;0;0;0;0;0;0,24;0
2021-01-01 02:00:00;3;12,29;16,35;22,47;9999;17,13;17,25;3,1;26,07;24,45;24,26;0,28;9999;0,18;0,13;0;0;0;0,19;0;0;0;0;0;0,4;0
2021-01-01 02:15:00;0;12,21;16,35;22,49;9999;17,13;17,26;3,28;26,08;24,45;24,26;0,27;9999;0,24;0,25;0;0;0;0,31;0;0;0;0;0;0,42;0
2021-01-01 02:30:00;1;12,29;16,35;22,41;9999;17,13;17,25;3,1;26,06;24,45;24,26;0,29;9999;0,24;0,26;0;0;0;0,31;0;0;0;0;0;0,46;0
