Datum;CycleCounter;SE911;SE895;SE896;Spannung;Temp_911;Temp_895;Temp_896;Stammabfluss;MC35i
2021-01-01 00:00:00;3;4652,226;3730,814;3020,022;12,9;0,86;0,67;0,7;0,5;0
2021-01-01 00:15:00;0;4652,094;3730,801;3019,966;12,89;0,78;0,63;0,68;0;0
2021-01-01 00:30:00;1;4651,802;3730,85;3020,501;12,9;0,84;0,67;0,7;0;0
2021-01-01 00:45:00;2;4651,482;3730,669;3020,104;12,9;0,84;0,7;0,73;0;0
2021-01-01 01:00:00;3;4651,873;3730,576;3020,027;12,9;0,77;0,59;0,64;0,5;0
2021-01-01 01:15:00;0;4651,482;3732,426;3019,799;12,88;0,75;0,54;0,54;0;-1
2021-01-01 01:30:00;1;4651,566;3730,661;3019,701;12,84;0,66;0,48;0,51;0;-1
2021-01-01 01:45:00;2;4651,458;3730,161;3018,739;12,83;0,47;0,31;0,34;0;-1
2021-01-01 02:00:00;3;4651,259;3729,186;3016,487;12,82;0,3;0,13;0,15;0;-1
2021-01-01 02:15:00;0;4650,928;3728,983;3015,913;12,81;0,33;0,16;0,17;0,5;-1
2021-01-01 02:30:00;1;4651,443;3729,275;3016,006;12,8;0,29;0,11;0,15;0;-1
2021-01-01 02:45:00;2;4651,08;3728,73;3015,081;12,82;0,19;0,01;0,02;0;-1
2021-01-01 03:00:00;3;4651,026;3728,701;3014,696;12,82;0,27;0,1;0,12;0;-1
2021-01-01 03:15:00;0;4650,727;3728,59;3014,651;12,8;0,47;0,27;0,31;0;-1
2021-01-01 03:30:00;1;4650,864;3728,64;3014,595;12,82;0,51;0,33;0,37;0;-1
2021-01-01 03:45:00;2;4650,617;3728,377;3014,362;12,82;0,47;0,3;0,33;0;-1
2021-01-01 04:00:00;3;4650,773;3728,612;3014,426;12,82;0,44;0,27;0,29;0;-1
2021-01-01 04:15:00;0;4650,805;3728,664;3014,612;12,8;0,51;0,33;0,34;0;-1
2021-01-01 04:30:00;1;4650,555;3728,357;3014,202;12,82;0,41;0,22;0,25;0,5;-1
2021-01-01 04:45:00;2;4650,707;3728,627;3014,568;12,81;0,29;0,11;0,13;0;-1
2021-01-01 05:00:00;3;4651,053;3728,291;3014,31;12,82;0,08;-0,09;-0,07;0;-1
2021-01-01 05:15:00;0;4651,367;3727,518;3012,186;12,8;-0,19;-0,35;-0,31;0;-1
2021-01-01 05:30:00;1;4651,468;3727,437;3012,208;12,81;-0,25;-0,43;-0,41;0;-1
2021-01-01 05:45:00;2;4650,835;3726,875;3011,385;12,81;-0,17;-0,35;-0,33;0;-1
