Datum;CycleCounter;15K_HD_Fi_TDR;30K_HD_Fi_TDR;60K_HD_Fi_TDR;15KR_HD_Fi_TDR;30KR_HD_Fi_TDR;60KR_HD_Fi_TDR;15L_HD_Fi_TDR;30L_HD_Fi_TDR;60L_HD_Fi_TDR;PF_HD_Fi_30K_Te;PF_HD_Fi_60K_Te;PF_HD_Fi_15_K;PF_HD_Fi_15K_Te;PF_HD_Fi_15_KR;PF_HD_Fi_15KR_Te;PF_HD_Fi_30_KR;PF_HD_Fi_30KR_Te;PF_HD_Fi_60_KR;PF_HD_Fi_60KR_Te;PF_HD_Fi_15_L;PF_HD_Fi_15L_Te;PF_HD_Fi_30_L;PF_HD_Fi_30L_Te;PF_HD_Fi_60_L;PF_HD_Fi_60L_Te;UB;PF__HD_Fi_30_K;PF_HD_Fi_60_K;Se894;Se909;Se914;Temp_894;Temp_909;Temp_914;RegenX;RegenY;RegenZ
2021-01-01 00:00:00;1;9999;24,08;27,97;20,13;24,29;18,98;19,86;19,72;20,18;5,02;85,08;2,08;3,7;1,67;4,51;1,65;4,91;1,64;6,04;1,94;4,36;2,05;5,03;1,75;6,01;12,8;1,71;2,2;9999;9999;9999;9999;0,01;9999;0;0;0
2021-01-01 00:30:00;0;9999;24,09;27,97;20,12;24,86;18,98;19,85;19,72;20,18;5,02;-85,81;2,08;3,68;1,67;4,5;1,65;4,92;1,64;6,02;1,94;4,37;2,05;5,03;1,75;6;12,63;1,71;0,41;9999;9999;9999;9999;0,01;9999;0;0;0
2021-01-01 01:00:00;1;9999;24,08;27,96;20,12;25,1;18,97;19,85;19,71;20,18;5,02;-111,45;2,09;3,68;1,67;4,49;1,65;4,9;1,64;6,01;1,94;4,39;2,05;5,05;1,75;6,03;12,8;1,71;7;9999;9999;9999;9999;0,03;9999;0;0;0
2021-01-01 01:30:00;0;9999;24,08;27,96;20,12;24,91;18,97;19,85;19,71;20,17;5,02;-59,23;2,09;3,72;1,67;4,5;1,65;4,93;1,65;5,99;1,94;4,37;2,05;5,02;1,75;6,02;12,67;1,71;1,36;9999;9999;9999;9999;0,02;9999;0;0;0
2021-01-01 02:00:00;1;9999;24,07;27,95;20,11;24,89;18,97;19,85;19,7;20,17;5,01;48,02;2,08;3,69;1,67;4,53;1,65;4,88;1,64;6;1,94;4,34;2,05;5,02;1,75;6,01;12,71;1,71;0;9999;9999;9999;9999;-0,02;9999;0;0;0
2021-01-01 02:30:00;0;9999;24,08;27,95;20,11;25,23;18,96;19,85;19,69;20,17;5,02;-57,54;2,09;3,64;1,67;4,52;1,65;4,91;1,64;5,99;1,94;4,35;2,05;5,04;1,75;6,02;12,69;1,71;0,07;9999;9999;9999;9999;-0,01;9999;0;0;0
2021-01-01 03:00:00;1;9999;24,07;27,93;20,11;25,42;18,96;19,84;19,69;20,17;5,02;9,76;2,09;3,68;1,67;4,53;1,65;4,92;1,64;6;1,94;4,35;2,05;5,02;1,75;6,01;12,79;1,71;2,31;9999;9999;9999;9999;0,01;9999;0;0;0
2021-01-01 03:30:00;0;9999;24,07;27,93;20,1;25,57;18,96;19,84;19,68;20,17;5;-146,07;2,08;3,71;1,67;4,47;1,65;4,93;1,65;5,99;1,94;4,32;2,05;5,04;1,75;5,97;12,66;1,71;0;9999;9999;9999;9999;0,02;9999;0;0;0
2021-01-01 04:00:00;1;9999;24,06;27,92;20,1;25,29;18,95;19,84;19,68;20,16;4,97;-111,61;2,08;3,66;1,67;4,52;1,65;4,9;1,64;5,99;1,94;4,32;2,05;5,03;1,75;5,98;12,79;1,71;7;9999;9999;9999;9999;0,03;9999;0;0;0
2021-01-01 04:30:00;0;9999;24,07;27,92;20,09;27,6;18,95;19,84;19,67;20,16;5;-120,86;2,08;3,63;1,67;4,5;1,65;4,87;1,64;6;1,94;4,33;2,05;4,97;1,75;5,98;12,63;1,71;7;9999;9999;9999;9999;0,01;9999;0;0;0
