Datum;CycleCounter;Hygro_S3_r.Feuchte;Hygro_S3_Temperatur;Windrichtung;Windgeschwindigkeit;Niederschlag;UB;SP_Lite_Pyranometer;Steuerung_MC35i
2021-01-01 00:00:00;0;99,95;2,57;133;0;0;12,45;-1,96;0
2021-01-01 00:05:00;1;99,95;2,54;78;0;0;12,45;-1,99;0
2021-01-01 00:10:00;2;99,95;2,55;8;0;0;12,45;-1,97;0
2021-01-01 00:15:00;3;99,95;2,53;65;0;0;12,45;-1,97;0
2021-01-01 00:20:00;4;99,95;2,46;58;0;0;12,45;-1,99;0
2021-01-01 00:25:00;5;99,95;2,44;95;0,1;0;12,45;-1,98;0
2021-01-01 00:30:00;6;99,94;2,37;90;0,5;0;12,44;-1,94;0
2021-01-01 00:35:00;7;99,95;2,39;110;0,5;0;12,44;-1,94;0
2021-01-01 00:40:00;8;99,95;2,34;130;0,2;0;12,44;-1,96;0
2021-01-01 00:45:00;9;99,95;2,28;23;0,1;0;12,44;-1,95;0
2021-01-01 00:50:00;10;99,95;2,2;118;0;0;12,44;-1,95;0
2021-01-01 00:55:00;11;99,95;2,06;50;0;0;12,44;-1,95;0
2021-01-01 01:00:00;0;99,95;1,95;70;0;0;12,44;-1,99;-1
2021-01-01 01:05:00;1;99,95;1,84;138;0,3;0;12,4;-1,89;-1
2021-01-01 01:10:00;2;99,96;1,72;90;0,1;0;12,4;-1,92;-1
2021-01-01 01:15:00;3;99,96;1,56;90;0,6;0;12,4;-1,93;-1
2021-01-01 01:20:00;4;99,96;1,43;78;0,1;0;12,39;-1,9;-1
2021-01-01 01:25:00;5;99,96;1,3;83;0;0;12,39;-2;-1
2021-01-01 01:30:00;6;99,96;1,25;210;0;0;12,39;-1,97;-1
2021-01-01 01:35:00;7;99,95;1,22;208;0;0;12,39;-1,98;-1
2021-01-01 01:40:00;8;99,95;1,25;295;0;0;12,39;-1,9;-1
2021-01-01 01:45:00;9;99,95;1,27;280;0;0;12,39;-1,99;-1
2021-01-01 01:50:00;10;99,95;1,24;230;0;0;12,39;-2,01;-1
2021-01-01 01:55:00;11;99,95;1,19;218;0;0;12,38;-1,97;-1
2021-01-01 02:00:00;0;99,95;1,18;98;0,3;0;12,38;-1,98;-1
2021-01-01 02:05:00;1;99,95;1,04;163;0,2;0;12,38;-1,97;-1
2021-01-01 02:10:00;2;99,95;0,93;155;0;0;12,38;-2,04;-1
2021-01-01 02:15:00;3;99,95;0,86;215;0;0;12,38;-2,02;-1
2021-01-01 02:20:00;4;99,96;0,9;175;0,2;0;12,38;-2,04;-1
2021-01-01 02:25:00;5;99,95;0,93;155;0,2;0;12,38;-2,01;-1
2021-01-01 02:30:00;6;99,95;0,92;120;0;0;12,38;-2,06;-1
2021-01-01 02:35:00;7;99,95;0,85;115;0;0;12,38;-2,02;-1
2021-01-01 02:40:00;8;99,95;0,8;115;0;0;12,37;-2,1;-1
2021-01-01 02:45:00;9;99,95;0,75;120;0,4;0;12,37;-2,05;-1
2021-01-01 02:50:00;10;99,96;0,79;120;0;0;12,37;-2,03;-1
2021-01-01 02:55:00;11;99,95;0,74;178;0;0;12,37;-2,04;-1
2021-01-01 03:00:00;0;99,96;0,76;358;0,3;0;12,37;-1,98;-1
2021-01-01 03:05:00;1;99,95;0,78;168;0,5;0;12,37;-2,06;-1
2021-01-01 03:10:00;2;99,98;0,75;70;0;0;12,21;-1,72;-1
