Datum;CycleCounter;Hygro_S3_r.Feuchte;Hygro_S3_Temperatur;Windrichtung;Windgeschwindigkeit;Niederschlag;SP_Lite2_Pyranometer;Akku-Spannung;Windrichtung_mittel;Steuerung_MC55i
2021-01-01 00:00:00;0;99,97;0,03;0;0;0;2;12,06;0;0
2021-01-01 00:05:00;5;99,97;0,02;255;0;0;2;12,09;255;0
2021-01-01 00:10:00;10;99,97;0,05;245;0;0;2;12,09;245;0
2021-01-01 00:15:00;15;99,97;0,03;88;0;0;2;12,09;88;0
2021-01-01 00:20:00;20;99,97;0,04;253;0;0;2;12,09;253;0
2021-01-01 00:25:00;25;99,97;0,02;273;0;0;3;12,09;273;0
2021-01-01 00:30:00;30;99,97;0,06;268;0;0;2;12,09;268;0
2021-01-01 00:35:00;35;99,97;0,22;0;0;0;2;12,09;0;0
2021-01-01 00:40:00;40;99,98;0,13;120;0;0;2;12,09;120;0
2021-01-01 00:45:00;45;99,96;0,16;278;0;0;2;12,09;278;0
2021-01-01 00:50:00;50;99,98;0,14;275;0;0;2;12,09;275;0
2021-01-01 00:55:00;55;99,97;0,16;0;0;0;2;12,09;0;0
2021-01-01 01:00:00;0;99,98;0,14;253;0;0;2;12,06;253;0
2021-01-01 01:05:00;5;99,97;0,14;258;0;0;2;12,09;258;0
2021-01-01 01:10:00;10;99,97;0,17;265;0;0;2;12,09;265;0
2021-01-01 01:15:00;15;99,97;0,16;275;0,1;0;3;12,08;275;0
2021-01-01 01:20:00;20;99,97;0,16;263;0;0;2;12,08;263;0
2021-01-01 01:25:00;25;99,98;0,22;248;0;0;2;12,08;248;0
2021-01-01 01:30:00;30;99,97;0,17;275;0;0;2;12,08;275;0
2021-01-01 01:35:00;35;99,98;0,19;0;0,1;0;2;12,08;0;0
2021-01-01 01:40:00;40;99,98;0,14;0;0;0;3;12,08;0;0
2021-01-01 01:45:00;45;99,97;0,12;85;0,4;0;2;12,08;85;0
2021-01-01 01:50:00;50;99,97;0,13;0;0;0;2;12,08;0;0
2021-01-01 01:55:00;55;99,98;0,12;265;0,1;0;3;12,08;265;0
2021-01-01 02:00:00;0;99,98;0,1;270;0;0;2;12,06;270;0
2021-01-01 02:05:00;5;99,97;0,11;113;0,2;0;2;12,09;113;0
2021-01-01 02:10:00;10;99,98;0,07;270;0,4;0;3;12,08;270;0
2021-01-01 02:15:00;15;99,97;0,06;88;0;0;2;12,08;88;0
2021-01-01 02:20:00;20;99,97;0,02;280;0;0;2;12,08;280;0
2021-01-01 02:25:00;25;99,97;0,04;0;0;0;2;12,08;0;0
2021-01-01 02:30:00;30;99,97;0,02;0;0;0;2;12,08;0;0
2021-01-01 02:35:00;35;99,99;-0,02;0;0;0;2;12,08;0;0
2021-01-01 02:40:00;40;99,99;-0,06;0;0;0;3;12,08;0;0
2021-01-01 02:45:00;45;99,98;-0,15;0;0;0;2;12,08;0;0
2021-01-01 02:50:00;50;99,97;-0,24;0;0;0;2;12,08;0;0
2021-01-01 02:55:00;55;99,97;-0,22;0;0;0;3;12,08;0;0
2021-01-01 03:00:00;0;99,97;-0,25;0;0;0;2;12,06;0;0
2021-01-01 03:05:00;5;99,96;-0,25;0;0;0;2;12,09;0;0
2021-01-01 03:10:00;10;99,97;-0,2;0;0;0;2;12,08;0;0
2021-01-01 03:15:00;15;99,96;-0,28;0;0;0;2;12,08;0;0
2021-01-01 03:20:00;20;99,97;-0,36;0;0;0;2;12,08;0;0
2021-01-01 03:25:00;25;99,98;-0,42;0;0;0;2;12,08;0;0
2021-01-01 03:30:00;30;99,97;-0,49;0;0;0;2;12,08;0;0
2021-01-01 03:35:00;35;99,97;-0,44;0;0;0;2;12,08;0;0
2021-01-01 03:40:00;40;99,97;-0,45;0;0;0;2;12,08;0;0
2021-01-01 03:45:00;45;99,97;-0,48;0;0;0;2;12,08;0;0
2021-01-01 03:50:00;50;99,97;-0,37;0;0;0;2;12,08;0;0
2021-01-01 03:55:00;55;99,98;-0,31;0;0;0;2;12,08;0;0
2021-01-01 04:00:00;0;99,97;-0,23;0;0;0;2;12,06;0;0
2021-01-01 04:05:00;5;99,96;-0,28;0;0;0;2;12,08;0;0
2021-01-01 04:10:00;10;99,96;-0,26;0;0;0;2;12,08;0;0
2021-01-01 04:15:00;15;99,97;-0,23;0;0;0;2;12,08;0;0
2021-01-01 04:20:00;20;99,97;-0,33;0;0;0;2;12,08;0;0
2021-01-01 04:25:00;25;99,97;-0,22;0;0;0;2;12,08;0;0
2021-01-01 04:30:00;30;99,97;-0,27;0;0;0;2;12,08;0;0
2021-01-01 04:35:00;35;99,97;-0,26;0;0;0;2;12,08;0;0
2021-01-01 04:40:00;40;99,97;-0,23;0;0;0;2;12,08;0;0
2021-01-01 04:45:00;45;99,97;-0,33;0;0;0;2;12,08;0;0
2021-01-01 04:50:00;50;99,96;-0,36;0;0;0;2;12,08;0;0
2021-01-01 04:55:00;55;99,98;-0,48;0;0;0;2;12,08;0;0
