Datum;CycleCounter;SE890;SE892;SE886;Spannung;Temp_890;Temp_892;Temp_886;MC35i;Stammabfluss
2021-01-01 00:00:00;0;3643,042;4101,553;3033,883;2,56;-2,22;-1,86;2,28;0;0
2021-01-01 00:15:00;1;3642,63;4101,376;3034,229;2,56;-2,1;-1,85;2,26;0;0
2021-01-01 00:30:00;2;3642,191;4101,68;3034,133;2,56;-2,27;-1,93;2,24;0;0
2021-01-01 00:45:00;3;3643,251;4101,641;3034,867;2,56;-2,26;-1,96;2,22;0;0
2021-01-01 01:00:00;0;3642,777;4101,594;3034,239;2,56;-2,03;-1,74;2,23;-1;0
2021-01-01 01:15:00;1;3643,234;4101,273;3034,261;2,54;-1,86;-1,56;2,22;-1;0
2021-01-01 01:30:00;2;3641,332;4101,391;3033,849;2,54;-1,93;-1,66;2,22;-1;0
2021-01-01 01:45:00;3;3641,018;4101,332;3033,572;2,54;-2,04;-1,74;2,22;-1;0
2021-01-01 02:00:00;0;3641,371;4101,587;3033,498;2,54;-2,09;-1,82;2,23;-1;0
2021-01-01 02:15:00;1;3643,072;4101,467;3033,162;2,54;-2,02;-1,79;2,22;-1;0
2021-01-01 02:30:00;2;3643,619;4101,106;3032,934;2,54;-1,78;-1,58;2,23;-1;0
2021-01-01 02:45:00;3;3643,717;4100,883;3032,607;2,54;-1,53;-1,34;2,23;-1;0
2021-01-01 03:00:00;0;3643,8;4100,841;3032,58;2,54;-1,52;-1,3;2,24;-1;0
2021-01-01 03:15:00;1;3643,339;4100,866;3032,411;2,54;-1,41;-1,17;2,23;-1;0
2021-01-01 03:30:00;2;3642,632;4100,757;3032,124;2,54;-1,26;-1,04;2,24;-1;0
2021-01-01 03:45:00;3;3642,61;4100,86;3031,957;2,54;-1,19;-0,99;2,25;-1;0
2021-01-01 04:00:00;0;3642,706;4100,993;3032,018;2,54;-1,22;-0,97;2,26;-1;0
2021-01-01 04:15:00;1;3642,556;4100,814;3031,935;2,54;-1,17;-0,96;2,26;-1;0
2021-01-01 04:30:00;2;3642,448;4100,89;3031,908;2,54;-1,17;-0,95;2,27;-1;0
2021-01-01 04:45:00;3;3642,694;4100,883;3031,758;2,54;-1,39;-1,11;2,28;-1;0
2021-01-01 05:00:00;0;3642,787;4100,851;3032,009;2,54;-1,64;-1,38;2,28;-1;0
2021-01-01 05:15:00;1;3642,979;4100,735;3032,617;2,54;-1,81;-1,57;2,27;-1;0
2021-01-01 05:30:00;2;3643,074;4100,652;3033,145;2,54;-1,8;-1,61;2,26;-1;0
2021-01-01 05:45:00;3;3642,52;4100,412;3032,88;2,54;-1,57;-1,41;2,42;-1;0
2021-01-01 06:00:00;0;3642,505;4100,537;3032,98;2,54;-1,6;-1,42;2,36;-1;0
2021-01-01 06:15:00;1;3642,939;4100,502;3033,032;2,54;-1,81;-1,48;2,32;-1;0
2021-01-01 06:30:00;2;3642,924;4100,515;3033,11;2,54;-1,88;-1,56;2,3;-1;0
2021-01-01 06:45:00;3;3642,846;4100,446;3032,978;2,54;-1,84;-1,51;2,28;-1;0
2021-01-01 07:00:00;0;3642,689;4100,476;3033,005;2,54;-1,75;-1,49;2,28;-1;0
2021-01-01 07:15:00;1;3642,713;4100,532;3033,154;2,54;-1,83;-1,6;2,25;-1;0
2021-01-01 07:30:00;2;3642,262;4100,446;3033,174;2,54;-1,79;-1,56;2,24;-1;0
2021-01-01 07:45:00;3;3641,734;4100,25;3032,705;2,54;-1,51;-1,31;2,23;-1;0
2021-01-01 08:00:00;0;3641,646;4100,367;3032,458;2,54;-1,3;-1,14;2,24;-1;0
2021-01-01 08:15:00;1;3640,392;4100,458;3031,294;2,54;-0,88;-0,79;2,23;-1;0
2021-01-01 08:30:00;2;3640,677;4100,951;3030,541;2,54;-0,69;-0,54;2,24;-1;0
2021-01-01 08:45:00;3;3638,559;4101,712;3029,788;2,54;-0,26;-0,07;2,25;-1;0
2021-01-01 09:00:00;0;3637,325;4102,409;3029,893;2,54;-0,02;0,17;2,28;-1;0
2021-01-01 09:15:00;1;3635,667;4102,568;3030,823;2,54;0,31;0,46;2,28;-1;0
2021-01-01 09:30:00;2;3639,917;4102,978;3032,219;2,54;0,48;0,64;2,3;-1;0
2021-01-01 09:45:00;3;3644,823;4102,875;3034,261;2,54;0,47;0,58;2,32;-1;0
2021-01-01 10:00:00;0;3649,219;4102,779;3033,446;2,54;0,49;0,64;2,34;-1;0
2021-01-01 10:15:00;1;3652,482;4102,723;3034,695;2,54;0,51;0,6;2,35;-1;0
2021-01-01 10:30:00;2;3655,229;4103,791;3034,953;2,54;0,83;0,85;2,37;-1;0
2021-01-01 10:45:00;3;3653,191;4103,849;3034,673;2,54;0,78;0,9;2,38;-1;0
2021-01-01 11:00:00;0;3654,624;4104,151;3033,554;2,54;0,8;0,9;2,4;-1;0
2021-01-01 11:15:00;1;3656,402;4104,311;3032,865;2,54;0,88;0,96;2,42;-1;0
2021-01-01 11:30:00;2;3654,113;4104,296;3032,372;2,54;0,87;0,97;2,43;-1;0
2021-01-01 11:45:00;3;3652,788;4104,129;3031,159;2,54;0,95;0,95;2,44;-1;0
2021-01-01 12:00:00;0;3653,969;4104,097;3030,639;2,54;0,9;0,87;2,46;-1;0
2021-01-01 12:15:00;1;3654,045;4103,886;3030,482;2,54;0,66;0,79;2,46;-1;0
2021-01-01 12:30:00;2;3652,565;4103,856;3030,583;2,54;0,69;0,8;2,47;-1;0
2021-01-01 12:45:00;3;3648,868;4104,227;3030,912;2,54;0,89;0,96;2,47;-1;0
2021-01-01 13:00:00;0;3649,53;4104,163;3031,322;2,54;0,85;0,9;2,49;-1;0
2021-01-01 13:15:00;1;3650,661;4104,014;3030,24;2,55;0,65;0,79;2,48;0;0
2021-01-01 13:30:00;2;3651,024;4103,709;3029,648;2,55;0,51;0,66;2,48;0;0
2021-01-01 13:45:00;3;3650,926;4103,636;3029,842;2,56;0,44;0,55;2,49;0;0
2021-01-01 14:00:00;0;3651,429;4103,643;3029,381;2,55;0,44;0,55;2,5;0;0
2021-01-01 14:15:00;1;3650,71;4103,577;3029,219;2,56;0,48;0,57;2,49;0;0
2021-01-01 14:30:00;2;3647,073;4103,432;3029,175;2,56;0,51;0,59;2,49;0;0
2021-01-01 14:45:00;3;3648,188;4103,516;3028,777;2,56;0,39;0,53;2,5;0;0
2021-01-01 15:00:00;0;3648,725;4103,469;3028,765;2,55;0,26;0,39;2,51;0;0
2021-01-01 15:15:00;1;3649,365;4103,184;3028,804;2,56;0,12;0,28;2,5;0;0
2021-01-01 15:30:00;2;3649,621;4103,022;3028,885;2,56;0,01;0,15;2,5;0;0
2021-01-01 15:45:00;3;3649,49;4102,851;3028,983;2,56;-0,05;0,09;2,49;0;0
2021-01-01 16:00:00;0;3649,868;4102,811;3029,025;2,55;-0,1;0,04;2,5;0;0
