Datum;CycleCounter;SE884;SE885;SE888;Spannung;Temp_884;Temp_885;Temp_888;MC35i
2021-01-01 00:00:00;3;3220,825;3969,285;2116,779;12,76;150;-1,6;150;0
2021-01-01 00:15:00;0;3220,847;3968,239;2117,839;12,74;150;-1,59;150;0
2021-01-01 00:30:00;1;3220,852;3967,923;2118,468;12,76;150;-1,63;150;0
2021-01-01 00:45:00;2;3220,761;3968,031;2117,317;12,76;150;-1,69;150;0
2021-01-01 01:00:00;3;3220,317;3969,174;2117,496;12,75;150;-1,74;150;0
2021-01-01 01:15:00;0;3220,197;3971,554;2119,228;12,73;150;-1,63;150;-1
2021-01-01 01:30:00;1;3220,172;3972,452;2119,034;12,71;150;-1,55;150;-1
2021-01-01 01:45:00;2;3220,025;3972,435;2121,137;12,71;150;-1,84;150;-1
2021-01-01 02:00:00;3;3219,829;3973,836;2124,945;12,71;150;-1,88;150;-1
2021-01-01 02:15:00;0;3219,576;3975,203;2128,721;12,69;150;-1,83;150;-1
2021-01-01 02:30:00;1;3219,586;3976,339;2128,378;12,7;150;-1,69;150;-1
2021-01-01 02:45:00;2;3219,507;3978,059;2125,851;12,71;150;-1,53;150;-1
2021-01-01 03:00:00;3;3219,573;3977,507;2123,456;12,7;150;-1,39;150;-1
2021-01-01 03:15:00;0;3219,406;3976,531;2121,427;12,69;150;-1,32;150;-1
2021-01-01 03:30:00;1;3219,419;3977,178;2121,211;12,7;150;-1,26;150;-1
2021-01-01 03:45:00;2;3219,11;3977,892;2120,757;12,7;150;-1,14;150;-1
2021-01-01 04:00:00;3;3219,07;3979,006;2120,771;12,7;150;-1,1;150;-1
2021-01-01 04:15:00;0;3219,088;3979,207;2120,769;12,69;150;-1,06;150;-1
2021-01-01 04:30:00;1;3219,075;3978,655;2121,063;12,7;150;-1;150;-1
2021-01-01 04:45:00;2;3218,859;3977,018;2120,838;12,7;150;-1,03;150;-1
2021-01-01 05:00:00;3;3219,019;3977,804;2120,74;12,7;150;-1,08;150;-1
2021-01-01 05:15:00;0;3218,923;3978,513;2120,168;12,68;150;-1,21;150;-1
2021-01-01 05:30:00;1;3218,791;3978,196;2119,608;12,7;150;-1,41;150;-1
2021-01-01 05:45:00;2;3218,783;3977,74;2120,099;12,7;150;-1,58;150;-1
2021-01-01 06:00:00;3;3218,612;3976,783;2120,19;12,7;150;-1,56;150;-1
2021-01-01 06:15:00;0;3218,376;3975,75;2118,978;12,68;150;-1,47;150;-1
2021-01-01 06:30:00;1;3218,241;3976,896;2118,691;12,7;150;-1,4;150;-1
2021-01-01 06:45:00;2;3218,241;3976,732;2118,382;12,7;150;-1,36;150;-1
2021-01-01 07:00:00;3;3218,32;3977,065;2119,169;12,7;150;-1,42;150;-1
2021-01-01 07:15:00;0;3218,192;3974,955;2119,498;12,68;150;-1,34;150;-1
2021-01-01 07:30:00;1;3218,077;3974,754;2118,571;12,69;150;-1,26;150;-1
2021-01-01 07:45:00;2;3217,949;3974,074;2118,325;12,69;150;-1,23;150;-1
2021-01-01 08:00:00;3;3217,979;3973;2118,22;12,68;150;-1,16;150;-1
2021-01-01 08:15:00;0;3217,824;3972,879;2117,628;12,67;150;-1,06;150;-1
2021-01-01 08:30:00;1;3217,768;3972,278;2118,188;12,68;150;-1,1;150;-1
2021-01-01 08:45:00;2;3218,072;3966,625;2118,131;12,68;150;-0,77;150;-1
2021-01-01 09:00:00;3;3217,991;3959,254;2117,974;12,68;150;-0,54;150;-1
2021-01-01 09:15:00;0;3217,9;3962,014;2124,442;12,66;150;-0,29;150;-1
2021-01-01 09:30:00;1;3218,307;3961,475;2131,717;12,68;150;-0,08;150;-1
2021-01-01 09:45:00;2;3218,42;3959,674;2126,501;12,68;150;0,03;150;-1
2021-01-01 10:00:00;3;3218,518;3958,395;2122,462;12,67;150;0,11;150;-1
2021-01-01 10:15:00;0;3218,742;3952,045;2121,223;12,66;150;0,17;-50;-1
2021-01-01 10:30:00;1;3218,872;3952,769;2119,628;12,67;150;0,21;-50;-1
2021-01-01 10:45:00;2;3219,093;3952,111;2120,789;12,53;150;0,48;-50;-1
2021-01-01 11:00:00;3;3219,056;3950,838;2120,232;12,67;150;0,44;-50;-1
2021-01-01 11:15:00;0;3218,916;3949,201;2117,891;12,65;150;0,38;-50;-1
2021-01-01 11:30:00;1;3219,235;3949,113;2115,084;12,68;150;0,54;-50;-1
2021-01-01 11:45:00;2;3219,142;3949,883;2113,764;12,68;150;0,48;-50;-1
2021-01-01 12:00:00;3;3219,142;3949,427;2115,327;12,68;150;0,55;-50;-1
2021-01-01 12:15:00;0;3218,967;3949,675;2115,602;12,66;150;0,6;-50;-1
2021-01-01 12:30:00;1;3219,208;3949,69;2115,962;12,68;150;0,63;-50;-1
2021-01-01 12:45:00;2;3219,002;3951,333;2116,919;12,68;150;0,56;-50;-1
2021-01-01 13:00:00;3;3218,911;3952,268;2119,449;12,68;150;0,53;-50;-1
2021-01-01 13:15:00;4;3218,842;3953,542;2120,286;12,66;150;0,54;-50;0
2021-01-01 13:30:00;5;3218,651;3954,921;2119,439;12,71;150;0,45;-50;0
2021-01-01 13:45:00;6;3218,56;3956,533;2118,541;12,72;150;0,41;-50;0
2021-01-01 14:00:00;7;3218,437;3957,428;2118,151;12,72;150;0,35;-50;0
2021-01-01 14:15:00;0;3218,209;3957,622;2117,898;12,7;150;0,29;-50;0
2021-01-01 14:30:00;1;3218,135;3957,757;2117,724;12,71;150;0,28;-50;0
2021-01-01 14:45:00;2;3217,991;3958,446;2117,383;12,71;150;0,3;-50;0
2021-01-01 15:00:00;3;3218,096;3959,789;2117,157;12,72;150;0,25;-50;0
2021-01-01 15:15:00;0;3218,079;3960,049;2116,777;12,71;150;0,18;-50;0
2021-01-01 15:30:00;1;3217,856;3960,748;2116,092;12,73;150;0,07;-50;0
2021-01-01 15:45:00;2;3217,88;3959,897;2115,798;12,73;150;0;-50;0
2021-01-01 16:00:00;3;3217,79;3959,519;2115,283;12,72;150;-0,06;-50;0
2021-01-01 16:15:00;0;3217,701;3958,869;2115,067;12,71;150;-0,09;-50;0
2021-01-01 16:30:00;1;3217,515;3958,378;2114,645;12,72;150;-0,13;-50;0
2021-01-01 16:45:00;2;3217,468;3958,503;2114,424;12,72;150;-0,15;-50;0
2021-01-01 17:00:00;3;3217,5;3958,371;2114,085;12,72;150;-0,19;-50;0
2021-01-01 17:15:00;0;3217,458;3959,028;2113,828;12,71;150;-0,25;-50;0
2021-01-01 17:30:00;1;3217,323;3958,92;2113,511;12,72;150;-0,33;-50;0
2021-01-01 17:45:00;2;3217,395;3959,077;2113,401;12,72;150;-0,37;-50;0
2021-01-01 18:00:00;3;3217,453;3959,161;2113,487;12,72;150;-0,4;-50;0
2021-01-01 18:15:00;0;3217,404;3959,219;2113,391;12,71;150;-0,43;-50;0
2021-01-01 18:30:00;1;3217,309;3958,55;2113,202;12,72;150;-0,46;-50;0
2021-01-01 18:45:00;2;3217,395;3957,74;2113,003;12,72;150;-0,47;-50;0
2021-01-01 19:00:00;3;3217,407;3957,406;2112,819;12,72;150;-0,5;-50;0
2021-01-01 19:15:00;0;3217,414;3957,394;2112,895;12,69;150;-0,49;-50;0
2021-01-01 19:30:00;1;3217,417;3957,345;2112,701;12,71;150;-0,52;-50;0
2021-01-01 19:45:00;2;3217,488;3957,217;2112,586;12,71;150;-0,51;-50;0
2021-01-01 20:00:00;3;3217,38;3957,056;2112,534;12,7;150;-0,5;-50;0
2021-01-01 20:15:00;0;3217,333;3956,094;2112,515;12,68;150;-0,53;-50;0
2021-01-01 20:30:00;1;3217,544;3956,805;2112,554;12,71;150;-0,57;-50;0
2021-01-01 20:45:00;2;3217,355;3957,002;2112,265;12,71;150;-0,59;-50;0
2021-01-01 21:00:00;3;3217,326;3957,375;2112,196;12,71;150;-0,56;-50;0
