Datum;CycleCounter;UB;Hygro_S3_r.Feuchte;Hygro_S3_Temperatur;SP_Lite_Pyranometer;Windrichtung;Windgeschwindigkeit;Niederschlag;Steuerung_MC35i
2021-01-01 00:00:00;0;12,58;100,16;-0,89;2;188;0;0;0
2021-01-01 00:05:00;1;12,58;100,17;-0,84;2;188;0;0;0
2021-01-01 00:10:00;2;12,58;100,16;-0,78;3;188;0;0;0
2021-01-01 00:15:00;3;12,58;100,17;-0,77;2;188;0;0;0
2021-01-01 00:20:00;4;12,58;100,17;-0,72;3;188;0;0;0
2021-01-01 00:25:00;5;12,58;100,17;-0,7;2;188;0;0;0
2021-01-01 00:30:00;6;12,58;100,17;-0,7;2;188;0;0;0
2021-01-01 00:35:00;7;12,58;100,16;-0,68;3;188;0;0;0
2021-01-01 00:40:00;8;12,58;100,16;-0,64;2;188;0;0;0
2021-01-01 00:45:00;9;12,58;100,16;-0,66;2;188;0;0;0
2021-01-01 00:50:00;10;12,58;100,16;-0,6;3;188;0;0;0
2021-01-01 00:55:00;11;12,57;100,16;-0,56;2;188;0;0;0
2021-01-01 01:00:00;0;12,57;100,17;-0,56;3;188;0;0;-1
2021-01-01 01:05:00;1;12,52;100,15;-0,53;2;188;0;0;-1
2021-01-01 01:10:00;2;12,52;100,15;-0,52;2;188;0;0;-1
2021-01-01 01:15:00;3;12,52;100,16;-0,53;2;188;0;0;-1
2021-01-01 01:20:00;4;12,52;100,16;-0,53;2;188;0;0;-1
2021-01-01 01:25:00;5;12,52;100,16;-0,53;2;188;0;0;-1
2021-01-01 01:30:00;6;12,52;100,15;-0,5;2;188;0;0;-1
2021-01-01 01:35:00;7;12,52;100,15;-0,5;2;188;0;0;-1
2021-01-01 01:40:00;8;12,52;100,16;-0,51;2;188;0;0;-1
2021-01-01 01:45:00;9;12,52;100,16;-0,47;2;188;0;0;-1
2021-01-01 01:50:00;10;12,52;100,16;-0,48;2;188;0;0;-1
2021-01-01 01:55:00;11;12,52;100,16;-0,51;2;188;0;0;-1
2021-01-01 02:00:00;0;12,52;100,16;-0,47;2;188;0;0;-1
2021-01-01 02:05:00;1;12,51;100,16;-0,48;2;188;0;0;-1
2021-01-01 02:10:00;2;12,51;100,15;-0,48;2;188;0;0;-1
2021-01-01 02:15:00;3;12,51;100,16;-0,46;2;188;0;0;-1
2021-01-01 02:20:00;4;12,51;100,15;-0,44;2;188;0;0;-1
2021-01-01 02:25:00;5;12,51;100,16;-0,45;2;188;0;0;-1
2021-01-01 02:30:00;6;12,51;100,16;-0,45;2;188;0;0;-1
2021-01-01 02:35:00;7;12,51;100,16;-0,48;2;188;0;0;-1
2021-01-01 02:40:00;8;12,51;100,16;-0,44;2;188;0;0;-1
2021-01-01 02:45:00;9;12,51;100,16;-0,45;2;188;0;0;-1
2021-01-01 02:50:00;10;12,51;100,16;-0,4;2;188;0;0;-1
2021-01-01 02:55:00;11;12,51;100,16;-0,38;2;188;0;0;-1
2021-01-01 03:00:00;0;12,51;100,16;-0,36;2;188;0;0;-1
2021-01-01 03:05:00;1;12,51;100,16;-0,35;2;188;0;0;-1
2021-01-01 03:10:00;2;12,51;100,16;-0,32;2;188;0;0;-1
2021-01-01 03:15:00;3;12,51;100,16;-0,33;2;188;0;0;-1
2021-01-01 03:20:00;4;12,51;100,16;-0,29;2;188;0;0;-1
2021-01-01 03:25:00;5;12,51;100,16;-0,28;2;188;0;0;-1
2021-01-01 03:30:00;6;12,51;100,16;-0,3;2;188;0;0;-1
2021-01-01 03:35:00;7;12,51;100,16;-0,31;2;188;0;0;-1
2021-01-01 03:40:00;8;12,51;100,16;-0,3;2;188;0;0;-1
2021-01-01 03:45:00;9;12,51;100,16;-0,33;2;188;0;0;-1
2021-01-01 03:50:00;10;12,51;100,16;-0,31;2;188;0;0;-1
2021-01-01 03:55:00;11;12,51;100,16;-0,3;2;188;0;0;-1
2021-01-01 04:00:00;0;12,51;100,17;-0,29;2;188;0;0;-1
2021-01-01 04:05:00;1;12,51;100,16;-0,26;2;188;0;0;-1
