Datum;CycleCounter;Hygro_S3_r.Feuchte;Hygro_S3_Temperatur;Windrichtung;Windgeschwindigkeit;Niederschlag;UB;SP_Lite2_Pyranometer;Windrichtung_mittel;Steuerung_MC55i
2021-01-01 00:00:00;2;100;1,04;215;1,33;0;12,25;2,45;219;0
2021-01-01 00:15:00;5;100;1,02;235;1,07;0;12,25;2,45;233;0
2021-01-01 00:30:00;8;100;0,95;230;0,7;0;12,25;2,44;237;0
2021-01-01 00:45:00;11;100;0,81;225;0,53;0,1;12,25;2,49;233;0
2021-01-01 01:00:00;2;100;0,69;248;0,33;0;12,25;2,45;239;0
2021-01-01 01:15:00;5;100;0,72;315;0,4;0;12,21;2,44;255;-1
2021-01-01 01:30:00;8;100;0,74;240;0,57;0,1;12,21;2,41;244;-1
2021-01-01 01:45:00;11;100;0,86;235;0,37;0;12,21;2,4;242;-1
2021-01-01 02:00:00;2;100;0,85;230;0,3;0;12,21;2,4;229;-1
2021-01-01 02:15:00;5;100;0,86;235;0,33;0,1;12,21;2,38;221;-1
2021-01-01 02:30:00;8;100;0,86;243;0,5;0;12,21;2,4;244;-1
2021-01-01 02:45:00;11;100;0,86;245;0,63;0;12,21;2,35;252;-1
2021-01-01 03:00:00;2;100;0,85;248;0,7;0;12,2;2,33;254;-1
2021-01-01 03:15:00;5;100;0,84;255;0,6;0,1;12,2;2,36;248;-1
2021-01-01 03:30:00;8;100;0,8;235;0,4;0;12,2;2,36;235;-1
2021-01-01 03:45:00;11;100;0,66;230;0,6;0;12,2;2,39;231;-1
2021-01-01 04:00:00;2;100;0,42;228;0,53;0,1;12,2;2,38;244;-1
2021-01-01 04:15:00;5;100;0,34;255;0,57;0;12,2;2,38;250;-1
2021-01-01 04:30:00;8;100;0,21;248;0,53;0,1;12,2;2,38;245;-1
2021-01-01 04:45:00;11;100;0,16;253;0,5;0;12,2;2,4;260;-1
2021-01-01 05:00:00;2;100;0,15;248;0,17;0;12,2;2,4;263;-1
2021-01-01 05:15:00;5;100;0,15;258;0,33;0;12,2;2,35;262;-1
2021-01-01 05:30:00;8;100;0,17;288;0,37;0,1;12,2;2,4;293;-1
2021-01-01 05:45:00;11;100;0,18;275;0,23;0;12,19;2,41;277;-1
2021-01-01 06:00:00;2;100;0,19;230;0,33;0;12,2;2,41;239;-1
2021-01-01 06:15:00;5;100;0,21;285;0,3;0;12,19;2,35;276;-1
2021-01-01 06:30:00;8;100;0,22;300;0,27;0;12,19;2,4;283;-1
2021-01-01 06:45:00;11;100;0,2;275;0,47;0;12,19;2,38;250;-1
2021-01-01 07:00:00;2;100;0,16;235;0,8;0,1;12,19;2,39;269;-1
2021-01-01 07:15:00;5;100;0,04;240;1,2;0;12,19;2,62;248;-1
2021-01-01 07:30:00;8;100;-0,16;245;0;0;12,19;3,22;245;-1
2021-01-01 07:45:00;11;100;-0,14;245;0;0;12,19;5,19;258;-1
2021-01-01 08:00:00;2;100;-0,2;265;0;0;12,19;5,69;257;-1
2021-01-01 08:15:00;5;100;-0,24;305;0;0;12,19;7,63;269;-1
2021-01-01 08:30:00;8;100;-0,3;248;0;0;12,2;12,05;262;-1
2021-01-01 08:45:00;11;100;-0,35;235;0;0;12,2;17,12;268;-1
2021-01-01 09:00:00;2;100;-0,35;238;0;0;12,22;29,1;225;-1
2021-01-01 09:15:00;5;100;-0,18;268;0;0;12,23;30,71;256;-1
2021-01-01 09:30:00;8;100;-0,13;285;0;0;12,23;31,92;278;-1
2021-01-01 09:45:00;11;100;-0,06;195;0;0;12,27;45,28;230;-1
2021-01-01 10:00:00;2;100;-0,02;270;0,53;0;12,28;40,57;233;-1
2021-01-01 10:15:00;5;100;0,05;248;0,47;0;12,28;40,81;241;-1
2021-01-01 10:30:00;8;100;0,03;248;0,87;0,1;12,3;44,93;251;-1
2021-01-01 10:45:00;11;100;0,07;258;0,77;0;12,32;52,37;262;-1
2021-01-01 11:00:00;2;100;0,25;208;0,93;0,1;12,4;82,62;232;-1
2021-01-01 11:15:00;5;100;0,27;235;0,5;0,1;12,37;41,02;259;-1
2021-01-01 11:30:00;8;100;0,24;255;0,87;0,1;12,33;36,69;253;-1
2021-01-01 11:45:00;11;100;0,35;228;0,27;0,1;12,38;61,95;259;-1
2021-01-01 12:00:00;2;100;0,4;233;0,67;0;12,36;40,76;240;-1
2021-01-01 12:15:00;5;100;0,33;268;0,23;0,1;12,34;34,57;234;-1
2021-01-01 12:30:00;8;100;0,38;255;0,67;0,1;12,32;35,89;243;-1
2021-01-01 12:45:00;11;100;0,49;195;0,43;0,1;12,32;42,71;256;-1
2021-01-01 13:00:00;2;100;0,48;230;0,57;0;12,29;26,89;219;-1
2021-01-01 13:15:00;5;100;0,36;295;0,4;0,1;12,3;19,49;248;0
2021-01-01 13:30:00;8;100;0,55;218;0,57;0,1;12,33;34,62;249;0
2021-01-01 13:45:00;11;100;0,54;315;0,2;0;12,32;17,84;292;0
2021-01-01 14:00:00;2;100;0,35;265;0,13;0,1;12,3;11;289;0
2021-01-01 14:15:00;5;100;0,27;280;0,17;0;12,3;18;280;0
2021-01-01 14:30:00;8;100;0,34;268;0,07;0;12,31;23,45;272;0
2021-01-01 14:45:00;11;100;0,35;348;0;0,1;12,33;29,71;274;0
2021-01-01 15:00:00;2;100;0,37;23;0,17;0;12,33;19,35;45;0
2021-01-01 15:15:00;5;100;0,36;8;0,13;0;12,32;13,46;47;0
2021-01-01 15:30:00;8;100;-0,04;70;0,27;0,1;12,29;6,63;67;0
2021-01-01 15:45:00;11;100;-0,39;75;0,33;0;12,27;4,13;50;0
2021-01-01 16:00:00;2;100;-0,58;53;0,3;0;12,27;2,87;74;0
2021-01-01 16:15:00;5;100;-0,62;60;0,37;0;12,26;2,58;56;0
2021-01-01 16:30:00;8;100;-0,67;68;0,23;0;12,26;2,57;57;0
2021-01-01 16:45:00;11;100;-0,7;83;0;0;12,25;2,57;76;0
2021-01-01 17:00:00;2;100;-0,7;60;0;0;12,25;2,57;50;0
2021-01-01 17:15:00;5;100;-0,71;75;0;0;12,24;2,55;57;0
2021-01-01 17:30:00;8;100;-0,79;75;0;0;12,24;2,61;74;0
2021-01-01 17:45:00;11;100;-0,72;38;0;0;12,24;2,6;54;0
2021-01-01 18:00:00;2;100;-0,66;43;0;0;12,24;2,59;54;0
2021-01-01 18:15:00;5;100;-0,65;350;0;0;12,23;2,61;141;0
2021-01-01 18:30:00;8;100;-0,65;55;0;0;12,23;2,57;56;0
2021-01-01 18:45:00;11;100;-0,72;35;0;0;12,23;2,64;54;0
2021-01-01 19:00:00;2;100;-0,78;5;0;0;12,23;2,57;124;0
2021-01-01 19:15:00;5;100;-0,94;350;0;0;12,23;2,62;344;0
2021-01-01 19:30:00;8;100;-1,05;13;0;0;12,23;2,59;23;0
2021-01-01 19:45:00;11;100;-1,14;18;0;0;12,22;2,58;35;0
2021-01-01 20:00:00;2;100;-1,18;28;0;0;12,22;2,63;54;0
2021-01-01 20:15:00;5;100;-1,2;75;0;0;12,22;2,62;154;0
2021-01-01 20:30:00;8;100;-1,24;15;0;0;12,22;2,63;46;0
2021-01-01 20:45:00;11;100;-1,29;38;0;0;12,22;2,63;41;0
2021-01-01 21:00:00;2;100;-1,31;48;0;0;12,22;2,63;46;0
2021-01-01 21:15:00;5;100;-1,37;70;0;0;12,22;2,63;80;0
2021-01-01 21:30:00;8;100;-1,42;88;0;0;12,22;2,63;66;0
2021-01-01 21:45:00;11;100;-1,42;35;0;0;12,22;2,69;39;0
2021-01-01 22:00:00;2;100;-1,43;25;0;0;12,22;2,65;42;0
2021-01-01 22:15:00;5;100;-1,43;28;0;0;12,22;2,69;31;0
2021-01-01 22:30:00;8;100;-1,45;43;0;0;12,21;2,65;45;0
2021-01-01 22:45:00;11;100;-1,49;43;0;0;12,21;2,68;45;0
2021-01-01 23:00:00;2;100;-1,51;45;0;0;12,21;2,66;39;0
2021-01-01 23:15:00;5;100;-1,54;40;0;0;12,21;2,66;39;0
2021-01-01 23:30:00;8;100;-1,55;53;0;0;12,21;2,65;51;0
2021-01-01 23:45:00;11;100;-1,52;65;0;0;12,21;2,65;55;0
2021-01-02 00:00:00;2;100;-1,59;65;0;0;12,21;2,67;56;0
2021-01-02 00:15:00;5;100;-1,64;58;0;0;12,21;2,66;57;0
2021-01-02 00:30:00;8;100;-1,66;65;0;0;12,21;2,67;59;0
2021-01-02 00:45:00;11;100;-1,66;48;0;0;12,21;2,67;53;0
2021-01-02 01:00:00;2;100;-1,7;48;0;0;12,21;2,63;50;0
2021-01-02 01:15:00;5;100;-1,73;60;0;0;12,17;2,58;54;-1
2021-01-02 01:30:00;8;100;-1,75;43;0;0;12,16;2,59;44;-1
2021-01-02 01:45:00;11;100;-1,79;43;0;0;12,16;2,57;43;-1
2021-01-02 02:00:00;2;100;-1,75;48;0;0;12,16;2,55;49;-1
2021-01-02 02:15:00;5;100;-1,7;58;0;0;12,16;2,54;61;-1
2021-01-02 02:30:00;8;100;-1,74;60;0;0;12,16;2,51;59;-1
2021-01-02 02:45:00;11;100;-1,75;48;0;0;12,16;2,56;57;-1
2021-01-02 03:00:00;2;100;-1,76;70;0;0;12,16;2,53;61;-1
2021-01-02 03:15:00;5;100;-1,82;45;0;0;12,16;2,49;58;-1
2021-01-02 03:30:00;8;100;-1,83;48;0;0;12,16;2,53;53;-1
2021-01-02 03:45:00;11;100;-1,76;55;0;0;12,16;2,52;49;-1
2021-01-02 04:00:00;2;100;-1,73;58;0;0;12,16;2,5;56;-1
2021-01-02 04:15:00;5;100;-1,73;68;0;0;12,15;2,5;63;-1
2021-01-02 04:30:00;8;100;-1,84;58;0;0;12,15;2,51;64;-1
2021-01-02 04:45:00;11;100;-1,9;68;0;0;12,15;2,52;55;-1
2021-01-02 05:00:00;2;100;-1,86;80;0;0;12,15;2,52;71;-1
2021-01-02 05:15:00;5;100;-1,76;58;0;0;12,15;2,49;62;-1
2021-01-02 05:30:00;8;100;-1,68;53;0;0;12,15;2,5;64;-1
2021-01-02 05:45:00;11;100;-1,65;85;0;0;12,15;2,49;68;-1
2021-01-02 06:00:00;2;100;-1,64;55;0;0;12,15;2,5;74;-1
2021-01-02 06:15:00;5;100;-1,62;48;0;0;12,15;2,47;42;-1
2021-01-02 06:30:00;8;100;-1,61;70;0;0;12,15;2,49;55;-1
2021-01-02 06:45:00;11;100;-1,69;60;0;0;12,15;2,48;58;-1
2021-01-02 07:00:00;2;100;-1,77;60;0;0;12,15;2,59;57;-1
2021-01-02 07:15:00;5;100;-1,81;88;0;0;12,14;3,08;49;-1
2021-01-02 07:30:00;8;100;-1,66;55;0;0;12,14;3,96;69;-1
2021-01-02 07:45:00;11;100;-1,5;55;0;0;12,15;5,24;70;-1
2021-01-02 08:00:00;2;100;-1,38;23;0;0;12,15;9,22;55;-1
2021-01-02 08:15:00;5;100;-1,4;88;0;0;12,16;13,31;88;-1
2021-01-02 08:30:00;8;100;-1,35;10;0;0;12,17;15,06;41;-1
2021-01-02 08:45:00;11;100;-1,43;88;0;0;12,16;13,44;37;-1
2021-01-02 09:00:00;2;100;-1,41;88;0;0;12,17;15,63;77;-1
2021-01-02 09:15:00;5;100;-1,37;35;0;0;12,22;32,53;44;-1
2021-01-02 09:30:00;8;100;-1,34;10;0;0;12,24;33,6;22;-1
2021-01-02 09:45:00;11;100;-1,21;48;0;0;12,28;45,17;153;-1
2021-01-02 10:00:00;2;100;-0,95;30;0;0;12,33;56,88;42;-1
2021-01-02 10:15:00;5;100;-0,87;83;0;0;12,4;70,55;70;-1
2021-01-02 10:30:00;8;100;-0,95;8;0;0;12,37;43,24;13;-1
2021-01-02 10:45:00;11;100;-1,07;8;0;0;12,35;48,8;24;-1
2021-01-02 11:00:00;2;100;-1,26;355;0;0;12,38;58,7;141;-1
2021-01-02 11:15:00;5;100;-1,1;15;0;0;12,42;63,97;18;-1
2021-01-02 11:30:00;8;100;-0,91;30;0;0;12,47;67,84;148;-1
2021-01-02 11:45:00;11;100;-0,86;205;0;0;12,45;54,45;99;-1
2021-01-02 12:00:00;2;100;-0,86;78;0;0;12,42;43,63;153;-1
2021-01-02 12:15:00;5;100;-0,84;30;0;0;12,42;47,1;38;-1
2021-01-02 12:30:00;8;100;-0,7;70;0;0;12,45;59,6;220;-1
2021-01-02 12:45:00;11;100;-0,59;20;0,37;0;12,46;63,72;130;-1
2021-01-02 13:00:00;2;100;-0,59;28;0,37;0;12,48;63,64;28;-1
2021-01-02 13:15:00;5;100;-0,52;33;0,3;0;12,52;56,32;29;0
2021-01-02 13:30:00;8;100;-0,42;43;0,37;0;12,52;44,24;41;0
2021-01-02 13:45:00;11;100;-0,59;45;0,47;0;12,49;32,74;90;0
2021-01-02 14:00:00;2;100;-0,6;208;0;0;12,45;22,32;189;0
2021-01-02 14:15:00;5;100;-0,65;288;0;0;12,41;14,32;120;0
2021-01-02 14:30:00;8;100;-0,73;40;0;0;12,37;6,63;248;0
2021-01-02 14:45:00;11;100;-0,78;53;0;0;12,35;7,56;40;0
2021-01-02 15:00:00;2;100;-0,81;295;0;0;12,33;5,23;268;0
2021-01-02 15:15:00;5;100;-0,82;5;0;0;12,31;3,57;45;0
2021-01-02 15:30:00;8;100;-0,84;3;0;0;12,3;3,03;99;0
2021-01-02 15:45:00;11;100;-0,87;45;0;0;12,29;2,75;43;0
2021-01-02 16:00:00;2;100;-1;43;0;0;12,28;2,64;54;0
2021-01-02 16:15:00;5;100;-1,05;58;0;0;12,27;2,51;137;0
2021-01-02 16:30:00;8;100;-1,1;13;0;0;12,27;2,56;126;0
2021-01-02 16:45:00;11;100;-1,1;358;0;0;12,26;2,57;162;0
2021-01-02 17:00:00;2;100;-1,1;5;0;0;12,25;2,6;173;0
2021-01-02 17:15:00;5;100;-1,09;333;0;0;12,25;2,56;239;0
2021-01-02 17:30:00;8;100;-1,08;95;0;0;12,24;2,59;132;0
2021-01-02 17:45:00;11;100;-1,08;48;0;0;12,24;2,59;60;0
2021-01-02 18:00:00;2;100;-1,08;95;0;0;12,24;2,61;61;0
2021-01-02 18:15:00;5;100;-1,13;65;0;0;12,23;2,56;42;0
2021-01-02 18:30:00;8;100;-1,11;45;0;0;12,23;2,6;61;0
2021-01-02 18:45:00;11;100;-1,17;128;0;0;12,23;2,6;164;0
2021-01-02 19:00:00;2;100;-1,26;28;0;0;12,22;2,63;40;0
2021-01-02 19:15:00;5;100;-1,32;30;0;0;12,22;2,61;57;0
2021-01-02 19:30:00;8;100;-1,42;125;0;0;12,22;2,59;64;0
2021-01-02 19:45:00;11;100;-1,45;95;0;0;12,22;2,59;79;0
2021-01-02 20:00:00;2;100;-1,44;60;0;0;12,21;2,6;148;0
2021-01-02 20:15:00;5;100;-1,43;15;0;0;12,21;2,55;136;0
2021-01-02 20:30:00;8;100;-1,43;320;0;0;12,21;2,58;220;0
2021-01-02 20:45:00;11;100;-1,38;18;0;0;12,21;2,61;125;0
2021-01-02 21:00:00;2;100;-1,4;8;0;0;12,21;2,62;212;0
2021-01-02 21:15:00;5;100;-1,36;28;0;0;12,2;2,59;109;0
2021-01-02 21:30:00;8;100;-1,36;28;0;0;12,2;2,61;91;0
2021-01-02 21:45:00;11;100;-1,38;358;0;0;12,2;2,61;126;0
2021-01-02 22:00:00;2;100;-1,34;28;0;0;12,2;2,61;169;0
2021-01-02 22:15:00;5;100;-1,35;240;0;0;12,2;2,63;256;0
2021-01-02 22:30:00;8;100;-1,33;335;0;0;12,2;2,61;218;0
2021-01-02 22:45:00;11;100;-1,33;8;0;0;12,2;2,6;173;0
2021-01-02 23:00:00;2;100;-1,35;350;0;0;12,2;2,63;323;0
2021-01-02 23:15:00;5;100;-1,36;45;0;0;12,19;2,63;236;0
2021-01-02 23:30:00;8;100;-1,33;308;0;0;12,19;2,63;234;0
2021-01-02 23:45:00;11;100;-1,42;70;0;0;12,19;2,6;161;0
2021-01-03 00:00:00;2;100;-1,4;35;0;0;12,19;2,61;100;0
2021-01-03 00:15:00;5;100;-1,38;28;0;0;12,19;2,6;226;0
2021-01-03 00:30:00;8;100;-1,43;13;0;0;12,19;2,6;225;0
2021-01-03 00:45:00;11;100;-1,47;243;0;0;12,19;2,64;302;0
2021-01-03 01:00:00;2;100;-1,45;320;0;0;12,19;2,63;333;0
2021-01-03 01:15:00;5;100;-1,51;335;0;0;12,15;2,59;126;-1
2021-01-03 01:30:00;8;100;-1,51;340;0;0;12,14;2,57;318;-1
2021-01-03 01:45:00;11;100;-1,6;13;0;0;12,14;2,58;195;-1
2021-01-03 02:00:00;2;100;-1,62;268;0;0;12,14;2,56;219;-1
2021-01-03 02:15:00;5;100;-1,59;298;0;0;12,14;2,57;270;-1
2021-01-03 02:30:00;8;100;-1,58;255;0;0;12,14;2,53;268;-1
2021-01-03 02:45:00;11;100;-1,66;25;0;0;12,14;2,52;240;-1
2021-01-03 03:00:00;2;100;-1,66;345;0;0;12,14;2,5;232;-1
2021-01-03 03:15:00;5;100;-1,7;15;0;0;12,14;2,51;14;-1
2021-01-03 03:30:00;8;100;-1,77;28;0;0;12,14;2,56;137;-1
2021-01-03 03:45:00;11;100;-1,81;30;0;0;12,13;2,51;41;-1
2021-01-03 04:00:00;2;100;-1,89;68;0;0;12,13;2,48;40;-1
2021-01-03 04:15:00;5;100;-1,96;25;0;0;12,13;2,52;25;-1
2021-01-03 04:30:00;8;100;-2,05;18;0;0;12,13;2,5;13;-1
2021-01-03 04:45:00;11;100;-2,04;30;0;0;12,13;2,52;32;-1
2021-01-03 05:00:00;2;100;-2,05;28;0;0;12,13;2,49;23;-1
2021-01-03 05:15:00;5;100;-2,13;68;0;0;12,13;2,51;159;-1
2021-01-03 05:30:00;8;100;-2,12;335;0;0;12,13;2,46;127;-1
2021-01-03 05:45:00;11;100;-2,13;13;0;0;12,13;2,49;24;-1
2021-01-03 06:00:00;2;100;-2,11;268;0;0;12,13;2,49;262;-1
2021-01-03 06:15:00;5;100;-2,04;308;0;0;12,13;2,48;290;-1
2021-01-03 06:30:00;8;100;-2,03;295;0;0;12,12;2,53;217;-1
2021-01-03 06:45:00;11;100;-2,03;78;0;0;12,12;2,52;153;-1
2021-01-03 07:00:00;2;100;-1,99;188;0;0;12,12;2,56;250;-1
2021-01-03 07:15:00;5;100;-1,98;175;0;0;12,12;2,73;214;-1
2021-01-03 07:30:00;8;100;-1,98;250;0;0;12,12;2,94;255;-1
2021-01-03 07:45:00;11;100;-1,96;233;0;0;12,12;3,22;246;-1
2021-01-03 08:00:00;2;100;-1,95;253;0;0;12,12;3,17;253;-1
2021-01-03 08:15:00;5;100;-1,98;280;0;0;12,12;4,26;247;-1
2021-01-03 08:30:00;8;100;-1,89;288;0;0;12,12;6,75;257;-1
2021-01-03 08:45:00;11;100;-1,87;265;0;0;12,12;6,67;279;-1
2021-01-03 09:00:00;2;100;-1,89;195;0;0;12,12;7,11;195;-1
2021-01-03 09:15:00;5;100;-1,92;240;0;0;12,12;7,85;238;-1
2021-01-03 09:30:00;8;100;-1,89;230;0;0;12,12;8,99;233;-1
2021-01-03 09:45:00;11;100;-1,79;235;0;0;12,12;11,35;236;-1
2021-01-03 10:00:00;2;100;-1,72;193;0;0;12,12;14,06;211;-1
2021-01-03 10:15:00;5;100;-1,68;270;0;0;12,12;10,32;256;-1
2021-01-03 10:30:00;8;100;-1,79;228;0;0;12,11;8,03;221;-1
2021-01-03 10:45:00;11;100;-1,82;238;0;0;12,11;5,72;241;-1
2021-01-03 11:00:00;2;100;-1,84;243;0;0;12,11;7,78;234;-1
2021-01-03 11:15:00;5;100;-1,75;230;0;0;12,11;12,08;239;-1
2021-01-03 11:30:00;8;100;-1,68;288;0;0;12,11;12,98;240;-1
2021-01-03 11:45:00;11;100;-1,68;250;0;0;12,11;12,8;241;-1
2021-01-03 12:00:00;2;100;-1,62;168;0;0;12,11;14,1;204;-1
2021-01-03 12:15:00;5;100;-1,55;245;0;0;12,11;11,7;246;-1
2021-01-03 12:30:00;8;100;-1,6;218;0;0;12,11;12,21;218;-1
2021-01-03 12:45:00;11;100;-1,59;255;0;0;12,11;11,46;243;-1
2021-01-03 13:00:00;2;100;-1,43;253;0;0;12,11;11,84;242;-1
2021-01-03 13:15:00;5;100;-1,52;248;0;0;12,15;10,35;237;0
2021-01-03 13:30:00;8;100;-1,54;258;0;0;12,16;9,78;244;0
2021-01-03 13:45:00;11;100;-1,49;255;0;0;12,16;10,16;241;0
2021-01-03 14:00:00;2;100;-1,41;233;0;0;12,15;8,01;235;0
2021-01-03 14:15:00;5;100;-1,48;225;0;0;12,15;7,91;223;0
2021-01-03 14:30:00;8;100;-1,6;238;0;0;12,15;6,51;229;0
2021-01-03 14:45:00;11;100;-1,6;225;0;0;12,15;4,94;247;0
2021-01-03 15:00:00;2;100;-1,62;233;0;0;12,15;4,11;228;0
2021-01-03 15:15:00;5;100;-1,62;235;0;0;12,15;3,54;225;0
2021-01-03 15:30:00;8;100;-1,64;270;0;0;12,15;3,15;268;0
2021-01-03 15:45:00;11;100;-1,6;178;0;0;12,15;2,88;240;0
2021-01-03 16:00:00;2;100;-1,65;243;0;0;12,15;2,7;241;0
2021-01-03 16:15:00;5;100;-1,67;235;0;0;12,15;2,63;238;0
2021-01-03 16:30:00;8;100;-1,68;255;0;0;12,15;2,64;241;0
2021-01-03 16:45:00;11;100;-1,67;228;0;0;12,15;2,67;210;0
2021-01-03 17:00:00;2;100;-1,66;245;0;0;12,15;2,64;234;0
2021-01-03 17:15:00;5;100;-1,69;248;0;0;12,15;2,66;251;0
2021-01-03 17:30:00;8;100;-1,71;220;0;0;12,15;2,68;222;0
2021-01-03 17:45:00;11;100;-1,7;215;0;0;12,15;2,65;214;0
2021-01-03 18:00:00;2;100;-1,71;245;0;0;12,15;2,68;229;0
2021-01-03 18:15:00;5;100;-1,71;255;0;0;12,15;2,64;248;0
2021-01-03 18:30:00;8;100;-1,72;233;0;0;12,14;2,65;230;0
2021-01-03 18:45:00;11;100;-1,71;215;0;0;12,14;2,67;233;0
2021-01-03 19:00:00;2;100;-1,72;215;0;0;12,14;2,64;218;0
2021-01-03 19:15:00;5;100;-1,71;215;0;0;12,14;2,63;193;0
2021-01-03 19:30:00;8;100;-1,66;135;0;0;12,14;2,68;161;0
2021-01-03 19:45:00;11;100;-1,66;198;0;0;12,14;2,7;180;0
2021-01-03 20:00:00;2;100;-1,56;178;0;0;12,14;2,7;189;0
2021-01-03 20:15:00;5;100;-1,6;215;0;0;12,14;2,67;231;0
2021-01-03 20:30:00;8;100;-1,56;205;0;0;12,14;2,67;196;0
2021-01-03 20:45:00;11;100;-1,59;188;0;0;12,14;2,7;210;0
2021-01-03 21:00:00;2;100;-1,61;190;0;0;12,14;2,68;171;0
2021-01-03 21:15:00;5;100;-1,57;253;0;0;12,14;2,67;234;0
2021-01-03 21:30:00;8;100;-1,58;150;0;0;12,14;2,68;169;0
2021-01-03 21:45:00;11;100;-1,56;38;0;0;12,14;2,65;83;0
2021-01-03 22:00:00;2;100;-1,55;110;0;0;12,14;2,64;105;0
2021-01-03 22:15:00;5;100;-1,5;70;0;0;12,14;2,71;68;0
2021-01-03 22:30:00;8;100;-1,57;70;0;0;12,14;2,65;160;0
2021-01-03 22:45:00;11;100;-1,54;75;0;0;12,14;2,63;83;0
2021-01-03 23:00:00;2;100;-1,48;50;0;0;12,14;2,64;53;0
2021-01-03 23:15:00;5;100;-1,43;55;0;0;12,14;2,65;52;0
2021-01-03 23:30:00;8;100;-1,45;68;0;0;12,14;2,65;63;0
2021-01-03 23:45:00;11;100;-1,48;75;0;0;12,14;2,71;72;0
2021-01-04 00:00:00;2;100;-1,47;70;0;0;12,14;2,69;68;0
2021-01-04 00:15:00;5;100;-1,52;55;0;0;12,14;2,7;62;0
2021-01-04 00:30:00;8;100;-1,53;80;0;0;12,14;2,66;77;0
2021-01-04 00:45:00;11;100;-1,52;65;0;0;12,14;2,67;65;0
2021-01-04 01:00:00;2;100;-1,52;70;0;0;12,14;2,65;63;0
2021-01-04 01:15:00;5;100;-1,51;75;0;0;12,09;2,62;75;-1
2021-01-04 01:30:00;8;100;-1,48;70;0;0;12,09;2,56;56;-1
2021-01-04 01:45:00;11;100;-1,47;75;0;0;12,09;2,56;78;-1
2021-01-04 02:00:00;2;100;-1,49;70;0;0;12,09;2,56;85;-1
2021-01-04 02:15:00;5;100;-1,47;68;0;0;12,09;2,55;75;-1
2021-01-04 02:30:00;8;100;-1,44;40;0;0;12,09;2,6;55;-1
2021-01-04 02:45:00;11;100;-1,48;68;0;0;12,09;2,56;64;-1
2021-01-04 03:00:00;2;100;-1,49;70;0;0;12,09;2,6;63;-1
2021-01-04 03:15:00;5;100;-1,54;78;0;0;12,08;2,57;64;-1
2021-01-04 03:30:00;8;100;-1,57;55;0;0;12,08;2,55;57;-1
2021-01-04 03:45:00;11;100;-1,61;50;0;0;12,08;2,55;48;-1
2021-01-04 04:00:00;2;100;-1,59;35;0;0;12,08;2,52;50;-1
2021-01-04 04:15:00;5;100;-1,58;48;0;0;12,08;2,53;56;-1
2021-01-04 04:30:00;8;100;-1,57;75;0;0;12,08;2,56;65;-1
2021-01-04 04:45:00;11;100;-1,58;68;0;0;12,08;2,51;68;-1
2021-01-04 05:00:00;2;100;-1,58;70;0;0;12,08;2,52;70;-1
2021-01-04 05:15:00;5;100;-1,55;48;0;0;12,08;2,54;57;-1
2021-01-04 05:30:00;8;100;-1,54;75;0;0;12,08;2,58;76;-1
2021-01-04 05:45:00;11;100;-1,55;75;0;0;12,08;2,54;76;-1
2021-01-04 06:00:00;2;100;-1,51;75;0;0;12,08;2,56;68;-1
2021-01-04 06:15:00;5;100;-1,5;75;0;0;12,08;2,57;71;-1
2021-01-04 06:30:00;8;100;-1,53;55;0;0;12,07;2,59;60;-1
2021-01-04 06:45:00;11;100;-1,51;78;0;0;12,07;2,56;76;-1
2021-01-04 07:00:00;2;100;-1,56;55;0;0;12,07;2,6;72;-1
2021-01-04 07:15:00;5;100;-1,57;68;0;0;12,07;2,73;73;-1
2021-01-04 07:30:00;8;100;-1,56;55;0;0;12,07;3;66;-1
