DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01/01 00:00:00
31/03 23:30:00
Start_Year: 2021
Channel number,,,,,,,
Sensor code,,,,,,,
          Datum, CO2_Kanäle,         BRELUB1X,            BTEMPB1X,         BRELUB2X,            BTEMPB2X, LogTempA
Units,,,,,,,
Minimum value,,,,,,,
Maximum value,,,,,,,
01/01 00:00:00 ,          5,          100.660,                1.02,           97.480,                0.56,        1
01/01 00:30:00 ,          5,          100.660,                0.87,           97.740,                0.46,        1
01/01 01:00:00 ,          5,          100.660,                0.72,           97.890,                0.20,        1
01/01 01:30:00 ,          5,          100.660,                0.46,           97.890,                0.00,        1
01/01 02:00:00 ,          5,          100.660,                0.36,           98.000,               -0.10,        1
01/01 02:30:00 ,          5,          100.660,                0.36,           98.150,               -0.15,        1
01/01 03:00:00 ,          5,          100.660,                0.36,           98.250,               -0.20,        1
01/01 03:30:00 ,          5,          100.660,                0.31,           98.300,               -0.20,        0
01/01 04:00:00 ,          5,          100.660,                0.26,           98.410,               -0.20,        0
01/01 04:30:00 ,          5,          100.660,                0.31,           98.460,               -0.20,        0
01/01 05:00:00 ,          5,          100.660,                0.26,           98.560,               -0.26,        0
01/01 05:30:00 ,          5,          100.660,                0.26,           98.560,               -0.31,        0
01/01 06:00:00 ,          5,          100.660,                0.15,           98.610,               -0.51,        0
01/01 06:30:00 ,          5,          100.660,               -0.20,           98.610,               -1.02,        0
01/01 07:00:00 ,          5,          100.660,               -0.67,           98.560,               -1.33,        0
01/01 07:30:00 ,          5,          100.660,               -0.72,           98.560,               -1.38,        0
01/01 08:00:00 ,          5,          100.660,               -0.77,           98.560,               -1.48,        0
01/01 08:30:00 ,          5,          100.660,               -0.82,           98.460,               -1.59,        0
01/01 09:00:00 ,          5,          100.660,               -0.92,           98.250,               -1.79,       -1
01/01 09:30:00 ,          5,          100.660,               -0.92,           98.100,               -1.64,       -1
01/01 10:00:00 ,          5,          100.660,               -0.92,           98.000,               -1.54,       -1
01/01 10:30:00 ,          5,          100.660,               -0.77,           97.950,               -1.38,       -1
01/01 11:00:00 ,          5,          100.660,               -0.56,           97.950,               -1.23,       -1
01/01 11:30:00 ,          5,          100.660,               -0.56,           98.050,               -1.28,       -1
01/01 12:00:00 ,          5,          100.660,               -0.56,           98.150,               -1.18,        0
01/01 12:30:00 ,          5,          100.660,               -0.51,           97.950,               -1.23,        0
01/01 13:00:00 ,          5,          100.660,               -0.41,           97.890,               -1.08,        0
01/01 13:30:00 ,          5,          100.660,               -0.46,           97.130,               -1.23,        0
01/01 14:00:00 ,          5,          100.660,               -0.72,           96.920,               -1.33,        0
01/01 14:30:00 ,          5,          100.660,               -0.56,           97.330,               -1.23,        0
01/01 15:00:00 ,          5,          100.660,               -0.56,           97.590,               -1.18,        0
01/01 15:30:00 ,          5,          100.660,               -0.61,           97.180,               -1.33,        0
01/01 16:00:00 ,          5,          100.660,               -0.67,           96.610,               -1.48,        0
01/01 16:30:00 ,          5,          100.660,               -0.77,           96.560,               -1.59,        0
01/01 17:00:00 ,          5,          100.660,               -0.82,           95.850,               -1.59,        0
01/01 17:30:00 ,          5,          100.660,               -0.87,           95.800,               -1.54,       -1
01/01 18:00:00 ,          5,          100.660,               -0.77,           95.800,               -1.48,       -1
01/01 18:30:00 ,          5,          100.660,               -0.82,           96.310,               -1.48,       -1
01/01 19:00:00 ,          5,          100.660,               -0.82,           95.900,               -1.38,       -1
01/01 19:30:00 ,          5,          100.660,               -0.87,           93.800,               -1.54,       -1
01/01 20:00:00 ,          5,          100.660,               -1.13,           92.830,               -1.74,       -1
01/01 20:30:00 ,          5,          100.660,               -1.28,           90.980,               -1.79,       -1
01/01 21:00:00 ,          5,          100.660,               -1.28,           89.290,               -1.64,       -1
01/01 21:30:00 ,          5,          100.660,               -1.13,           91.800,               -1.64,       -1
01/01 22:00:00 ,          5,          100.660,               -1.08,           91.240,               -1.59,       -1
01/01 22:30:00 ,          5,          100.660,               -1.13,           87.400,               -1.43,       -1
01/01 23:00:00 ,          5,          100.660,               -1.18,           89.960,               -1.59,       -1
01/01 23:30:00 ,          5,          100.660,               -1.23,           89.860,               -1.64,       -1
02/01 00:00:00 ,          5,          100.660,               -1.28,           88.990,               -1.64,       -1
02/01 00:30:00 ,          5,          100.660,               -1.23,           90.110,               -1.64,       -1
02/01 01:00:00 ,          5,          100.660,               -1.13,           92.520,               -1.59,       -1
02/01 01:30:00 ,          5,          100.660,               -1.02,           91.490,               -1.54,       -1
02/01 02:00:00 ,          5,          100.660,               -1.08,           90.010,               -1.48,       -1
02/01 02:30:00 ,          5,          100.660,               -1.08,           87.550,               -1.33,       -1
02/01 03:00:00 ,          5,          100.660,               -1.13,           86.940,               -1.38,       -1
02/01 03:30:00 ,          5,          100.660,               -1.13,           88.010,               -1.43,       -1
02/01 04:00:00 ,          5,          100.660,               -1.13,           89.090,               -1.48,       -1
02/01 04:30:00 ,          5,          100.660,               -1.08,           91.850,               -1.59,       -1
02/01 05:00:00 ,          5,          100.660,               -1.08,           92.930,               -1.64,       -1
02/01 05:30:00 ,          5,          100.660,               -1.13,           93.030,               -1.69,       -1
02/01 06:00:00 ,          5,          100.660,               -1.13,           90.470,               -1.59,       -1
02/01 06:30:00 ,          5,          100.660,               -1.13,           90.210,               -1.54,       -1
02/01 07:00:00 ,          5,          100.660,               -1.13,           91.750,               -1.64,       -1
02/01 07:30:00 ,          5,          100.660,               -1.18,           92.830,               -1.64,       -1
02/01 08:00:00 ,          5,          100.660,               -1.23,           91.490,               -1.79,       -1
02/01 08:30:00 ,          5,          100.660,               -1.33,           92.060,               -1.79,       -1
02/01 09:00:00 ,          5,          100.660,               -1.33,           91.080,               -1.79,       -1
02/01 09:30:00 ,          5,          100.660,               -1.28,           91.030,               -1.79,       -1
02/01 10:00:00 ,          5,          100.660,               -1.33,           91.390,               -1.79,       -1
02/01 10:30:00 ,          5,          100.660,               -1.28,           91.080,               -1.74,       -1
02/01 11:00:00 ,          5,          100.450,               -1.38,           88.420,               -1.74,       -1
02/01 11:30:00 ,          5,           99.990,               -1.38,           87.650,               -1.64,       -1
02/01 12:00:00 ,          5,          100.610,               -1.23,           87.960,               -1.69,       -1
02/01 12:30:00 ,          5,           99.940,               -1.28,           88.320,               -1.79,       -1
02/01 13:00:00 ,          5,          100.560,               -1.33,           89.140,               -1.79,       -1
02/01 13:30:00 ,          5,           99.890,               -1.43,           87.450,               -1.89,       -1
02/01 14:00:00 ,          5,          100.300,               -1.54,           89.140,               -2.05,       -1
02/01 14:30:00 ,          5,          100.100,               -1.64,           89.140,               -2.10,       -1
02/01 15:00:00 ,          5,           99.580,               -1.79,           87.960,               -2.25,       -1
02/01 15:30:00 ,          5,           99.230,               -1.79,           87.910,               -2.25,       -1
02/01 16:00:00 ,          5,           98.100,               -2.00,           86.270,               -2.30,       -1
02/01 16:30:00 ,          5,           99.020,               -1.89,           87.400,               -2.36,       -1
02/01 17:00:00 ,          5,           99.170,               -1.95,           88.320,               -2.41,       -2
02/01 17:30:00 ,          5,           98.760,               -2.00,           87.500,               -2.46,       -2
02/01 18:00:00 ,          5,           99.120,               -2.00,           87.710,               -2.46,       -2
02/01 18:30:00 ,          5,           99.530,               -2.00,           89.400,               -2.51,       -2
02/01 19:00:00 ,          5,          100.150,               -2.00,           91.550,               -2.56,       -2
02/01 19:30:00 ,          5,           99.940,               -2.00,           91.030,               -2.61,       -2
02/01 20:00:00 ,          5,          100.200,               -2.00,           91.750,               -2.51,       -2
02/01 20:30:00 ,          5,           99.230,               -2.05,           88.780,               -2.61,       -2
02/01 21:00:00 ,          5,           98.460,               -2.10,           89.450,               -2.66,       -2
02/01 21:30:00 ,          5,           99.330,               -2.10,           90.730,               -2.71,       -2
02/01 22:00:00 ,          5,          100.250,               -2.15,           93.290,               -2.76,       -2
02/01 22:30:00 ,          5,          100.660,               -2.15,           94.410,               -2.76,       -2
02/01 23:00:00 ,          5,          100.660,               -2.20,           94.920,               -2.87,       -2
02/01 23:30:00 ,          5,          100.660,               -2.15,           95.080,               -2.87,       -2
03/01 00:00:00 ,          5,          100.660,               -2.15,           94.920,               -2.82,       -2
03/01 00:30:00 ,          5,          100.660,               -2.15,           94.870,               -2.82,       -2
03/01 01:00:00 ,          5,          100.660,               -2.15,           95.180,               -2.82,       -2
03/01 01:30:00 ,          5,          100.660,               -2.15,           95.640,               -2.92,       -2
03/01 02:00:00 ,          5,          100.660,               -2.10,           96.200,               -2.82,       -2
03/01 02:30:00 ,          5,          100.660,               -2.20,           96.200,               -2.87,       -2
03/01 03:00:00 ,          5,          100.660,               -2.20,           96.510,               -2.92,       -2
03/01 03:30:00 ,          5,          100.660,               -2.15,           96.770,               -2.82,       -2
03/01 04:00:00 ,          5,          100.660,               -2.20,           96.970,               -2.87,       -2
03/01 04:30:00 ,          5,          100.660,               -2.10,           97.230,               -2.76,       -2
03/01 05:00:00 ,          5,          100.710,               -2.20,           97.130,               -2.92,       -2
03/01 05:30:00 ,          5,          100.710,               -2.25,           97.080,               -2.92,       -2
03/01 06:00:00 ,          5,          100.660,               -2.20,           96.970,               -2.92,       -2
03/01 06:30:00 ,          5,          100.660,               -2.20,           97.180,               -2.92,       -2
03/01 07:00:00 ,          5,          100.710,               -2.25,           97.230,               -2.97,       -2
03/01 07:30:00 ,          5,          100.660,               -2.36,           97.430,               -3.07,       -2
03/01 08:00:00 ,          5,          100.710,               -2.36,           97.480,               -3.02,       -2
03/01 08:30:00 ,          5,          100.660,               -2.41,           97.480,               -3.02,       -2
03/01 09:00:00 ,          5,          100.660,               -2.36,           97.330,               -3.02,       -2
03/01 09:30:00 ,          5,          100.660,               -2.41,           97.430,               -3.07,       -2
03/01 10:00:00 ,          5,          100.660,               -2.25,           97.640,               -2.97,       -2
03/01 10:30:00 ,          5,          100.660,               -2.36,           97.890,               -3.02,       -2
03/01 11:00:00 ,          5,          100.660,               -2.41,           98.000,               -3.07,       -2
03/01 11:30:00 ,          5,          100.660,               -2.30,           97.840,               -2.97,       -2
03/01 12:00:00 ,          5,          100.660,               -2.20,           97.590,               -2.92,       -2
03/01 12:30:00 ,          5,          100.660,               -2.20,           97.430,               -2.87,       -2
03/01 13:00:00 ,          5,          100.660,               -2.20,           97.430,               -2.82,       -2
03/01 13:30:00 ,          5,          100.660,               -2.10,           97.480,               -2.76,       -2
03/01 14:00:00 ,          5,          100.660,               -2.10,           97.330,               -2.76,       -2
03/01 14:30:00 ,          5,          100.660,               -2.20,           97.130,               -2.87,       -2
03/01 15:00:00 ,          5,          100.710,               -2.20,           97.430,               -2.87,       -2
03/01 15:30:00 ,          5,          100.660,               -2.20,           97.430,               -2.82,       -2
03/01 16:00:00 ,          5,          100.660,               -2.15,           97.330,               -2.82,       -2
03/01 16:30:00 ,          5,          100.660,               -2.20,           97.430,               -2.87,       -2
03/01 17:00:00 ,          5,          100.660,               -2.25,           97.430,               -2.92,       -2
03/01 17:30:00 ,          5,          100.660,               -2.20,           97.330,               -2.87,       -2
03/01 18:00:00 ,          5,          100.660,               -2.15,           97.080,               -2.82,       -2
03/01 18:30:00 ,          5,          100.660,               -2.15,           97.020,               -2.82,       -2
03/01 19:00:00 ,          5,          100.660,               -2.20,           96.970,               -2.92,       -2
03/01 19:30:00 ,          5,          100.660,               -2.20,           96.920,               -2.87,       -2
03/01 20:00:00 ,          5,          100.660,               -2.15,           96.970,               -2.82,       -2
03/01 20:30:00 ,          5,          100.660,               -2.15,           97.080,               -2.82,       -2
03/01 21:00:00 ,          5,          100.660,               -2.10,           97.080,               -2.82,       -2
03/01 21:30:00 ,          5,          100.660,               -2.10,           97.080,               -2.76,       -2
03/01 22:00:00 ,          5,          100.660,               -2.00,           96.920,               -2.71,       -2
03/01 22:30:00 ,          5,          100.660,               -2.05,           96.310,               -2.82,       -2
03/01 23:00:00 ,          5,          100.660,               -2.15,           96.100,               -2.87,       -2
03/01 23:30:00 ,          5,          100.710,               -2.15,           95.690,               -2.87,       -2
04/01 00:00:00 ,          5,          100.710,               -2.20,           94.820,               -2.92,       -2
04/01 00:30:00 ,          5,          100.660,               -2.25,           94.670,               -2.92,       -2
04/01 01:00:00 ,          5,          100.660,               -2.25,           94.720,               -2.87,       -2
04/01 01:30:00 ,          5,          100.660,               -2.25,           95.130,               -2.87,       -2
04/01 02:00:00 ,          5,          100.660,               -2.20,           96.000,               -2.92,       -2
04/01 02:30:00 ,          5,          100.660,               -2.15,           96.260,               -2.87,       -2
04/01 03:00:00 ,          5,          100.710,               -2.15,           96.610,               -2.76,       -2
04/01 03:30:00 ,          5,          100.660,               -2.20,           96.720,               -2.82,       -2
04/01 04:00:00 ,          5,          100.660,               -2.15,           96.870,               -2.76,       -2
04/01 04:30:00 ,          5,          100.660,               -2.10,           96.970,               -2.76,       -2
04/01 05:00:00 ,          5,          100.660,               -2.00,           96.970,               -2.71,       -2
04/01 05:30:00 ,          5,          100.660,               -2.00,           96.720,               -2.71,       -2
04/01 06:00:00 ,          5,          100.710,               -2.20,           94.310,               -2.87,       -2
04/01 06:30:00 ,          5,          100.710,               -2.36,           93.290,               -3.02,       -2
04/01 07:00:00 ,          5,          100.660,               -2.46,           91.340,               -3.07,       -2
04/01 07:30:00 ,          5,          100.710,               -2.51,           91.290,               -3.02,       -2
04/01 08:00:00 ,          5,          100.660,               -2.56,           91.080,               -3.02,       -2
04/01 08:30:00 ,          5,          100.610,               -2.61,           90.930,               -3.07,       -2
04/01 09:00:00 ,          5,          100.560,               -2.61,           90.930,               -3.12,       -2
04/01 09:30:00 ,          5,          100.610,               -2.56,           90.680,               -3.02,       -2
04/01 10:00:00 ,          5,          100.660,               -2.41,           89.140,               -2.82,       -2
04/01 10:30:00 ,          5,          100.610,               -2.15,           90.570,               -2.61,       -2
04/01 11:00:00 ,          5,          100.350,               -1.95,           89.290,               -2.41,       -2
04/01 11:30:00 ,          5,          100.100,               -1.89,           89.190,               -2.25,       -2
04/01 12:00:00 ,          5,          100.150,               -1.74,           88.470,               -2.20,       -2
04/01 12:30:00 ,          5,           98.820,               -1.74,           87.810,               -2.20,       -2
04/01 13:00:00 ,          5,           97.790,               -1.69,           87.600,               -2.15,       -2
04/01 13:30:00 ,          5,           97.540,               -1.64,           87.650,               -2.15,       -2
04/01 14:00:00 ,          5,           97.280,               -1.64,           87.040,               -2.20,       -2
04/01 14:30:00 ,          5,           96.920,               -1.64,           87.300,               -2.15,       -2
04/01 15:00:00 ,          5,           97.280,               -1.64,           88.370,               -2.15,       -1
04/01 15:30:00 ,          5,           97.330,               -1.64,           87.810,               -2.20,       -1
04/01 16:00:00 ,          5,           97.080,               -1.64,           87.500,               -2.25,       -1
04/01 16:30:00 ,          5,           97.950,               -1.74,           88.990,               -2.30,       -2
04/01 17:00:00 ,          5,           97.280,               -1.95,           88.220,               -2.56,       -2
04/01 17:30:00 ,          5,           97.380,               -2.10,           89.700,               -2.66,       -2
04/01 18:00:00 ,          5,           97.840,               -2.15,           89.290,               -2.71,       -2
04/01 18:30:00 ,          5,           97.230,               -2.25,           89.040,               -2.87,       -2
04/01 19:00:00 ,          5,           97.790,               -2.25,           90.270,               -2.92,       -2
04/01 19:30:00 ,          5,           97.330,               -2.25,           89.400,               -2.92,       -2
04/01 20:00:00 ,          5,           97.640,               -2.36,           89.750,               -2.97,       -2
04/01 20:30:00 ,          5,           97.280,               -2.46,           89.600,               -3.12,       -2
04/01 21:00:00 ,          5,           97.640,               -2.56,           89.750,               -3.17,       -2
04/01 21:30:00 ,          5,           97.230,               -2.61,           89.450,               -3.28,       -2
04/01 22:00:00 ,          5,           97.230,               -2.76,           89.700,               -3.38,       -2
04/01 22:30:00 ,          5,           97.890,               -2.76,           90.780,               -3.43,       -3
04/01 23:00:00 ,          5,           97.590,               -2.92,           89.600,               -3.58,       -3
04/01 23:30:00 ,          5,           97.130,               -3.02,           89.090,               -3.69,       -3
05/01 00:00:00 ,          5,           96.820,               -3.07,           88.990,               -3.74,       -3
05/01 00:30:00 ,          5,           96.510,               -3.12,           89.190,               -3.74,       -3
05/01 01:00:00 ,          5,           97.230,               -3.07,           89.090,               -3.74,       -3
05/01 01:30:00 ,          5,           96.460,               -3.17,           88.470,               -3.84,       -3
05/01 02:00:00 ,          5,           96.970,               -3.17,           89.450,               -3.84,       -3
05/01 02:30:00 ,          5,           96.310,               -3.23,           89.190,               -3.89,       -3
05/01 03:00:00 ,          5,           95.900,               -3.28,           89.040,               -3.94,       -3
05/01 03:30:00 ,          5,           95.330,               -3.28,           89.040,               -3.94,       -3
05/01 04:00:00 ,          5,           95.490,               -3.28,           88.880,               -3.94,       -3
05/01 04:30:00 ,          5,           95.850,               -3.28,           88.730,               -3.94,       -3
