DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01.01. 00:00
31.03. 23:30
Start_Year: 2020
Channel number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor code,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Datum, RegenY, RegenZ, FDR60z, FDR60y, FDR60x,   PF60z,   PF60y,   PF60x, FDR30z, FDR30y, FDR30x,   PF30z,   PF30y,   PF30x, SE889, SE907, SE897, SE915, SE901, SE908, Temp_889, Temp_915, Temp_897, Temp_904, Temp_908, Temp_901
Units,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum value,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum value,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01. 00:00 ,    0.0,    0.0,  25.94,  26.30,  26.78,   1.350,   1.478,   3.392,  27.17,  -2.55,  -0.17,   1.279,   1.478,   1.099,  3348,  4452, 16480,  3400,  5080, 16480,    -0.24,     0.25,     0.08,    -0.08,     0.33,     0.17
01.01. 00:30 ,    0.0,    0.0,  25.94,  26.30,  26.78,   1.351,   1.478,   5.952,  27.17,  -2.55,  -0.17,   1.279,   1.479,   1.101,  3348,  4452, 16480,  3400,  5080, 16480,    -0.24,     0.41,     0.08,    -0.08,     0.41,     0.33
01.01. 01:00 ,    0.0,    0.0,  25.94,  26.30,  26.78,   1.352,   1.480,   3.995,  27.15,  -2.53,  -0.17,   1.280,   1.479,   1.101,  3352,  4452, 16480,  3400,  5080, 16480,    -0.16,     0.33,     0.17,     0.00,     0.41,     0.33
01.01. 01:30 ,    0.0,    0.0,  25.94,  26.30,  26.78,   1.350,   1.478,   4.584,  27.15,  -2.54,  -0.17,   1.279,   1.477,   1.101,  3352,  4452, 16480,  3400,  5080, 16480,    -0.32,     0.25,     0.00,    -0.16,     0.25,     0.17
01.01. 02:00 ,    0.0,    0.0,  25.94,  26.30,  26.78,   1.343,   1.475,   4.528,  27.15,  -2.54,  -0.16,   1.277,   1.473,   1.098,  3352,  4452, 16480,  3400,  5080, 16480,    -0.65,     0.00,    -0.32,    -0.49,     0.00,    -0.08
01.01. 02:30 ,    0.0,    0.0,  25.92,  26.33,  26.78,   1.338,   1.472,   4.488,  27.15,  -2.56,  -0.16,   1.275,   1.469,   1.096,  3344,  4452, 16480,  3400,  5096, 16480,    -0.98,    -0.49,    -0.65,    -0.82,    -0.57,    -0.57
01.01. 03:00 ,    0.0,    0.0,  25.94,  26.33,  26.78,   1.335,   1.471,   4.448,  27.15,  -2.54,  -0.16,   1.273,   1.467,   1.093,  3340,  4452, 16480,  3404,  5080, 16480,    -1.14,    -0.65,    -0.82,    -0.98,    -0.73,    -0.82
01.01. 03:30 ,    0.0,    0.0,  25.92,  26.30,  26.78,   1.342,   1.472,   4.440,  27.15,  -2.53,  -0.17,   1.274,   1.471,   1.095,  3340,  4452, 16480,  3400,  5096, 16480,    -0.90,    -0.49,    -0.57,    -0.82,    -0.49,    -0.57
01.01. 04:00 ,    0.0,    0.0,  25.92,  26.33,  26.78,   1.340,   1.472,   4.448,  27.15,  -2.53,  -0.17,   1.274,   1.470,   1.096,  3340,  4452, 16480,  3404,  5080, 16480,    -0.98,    -0.57,    -0.73,    -0.90,    -0.57,    -0.65
01.01. 04:30 ,    0.0,    0.0,  25.92,  26.33,  26.78,   1.332,   1.468,   4.656,  27.15,  -2.56,  -0.16,   1.273,   1.464,   1.092,  3352,  4452, 16480,  3404,  5096, 16480,    -1.55,    -1.06,    -1.22,    -1.47,    -1.06,    -1.14
01.01. 05:00 ,    0.0,    0.0,  25.92,  26.30,  26.78,   1.335,   1.464,   4.640,  27.12,  -2.35,  -0.16,   1.271,   1.461,   1.089,  3360,  4448, 16480,  3408,  5096, 16480,    -1.80,    -1.47,    -1.47,    -1.72,    -1.55,    -1.64
01.01. 05:30 ,    0.0,    0.0,  25.92,  26.30,  26.78,   1.324,   1.462,   4.568,  27.12,  -2.53,  -0.19,   1.269,   1.459,   1.097,  3376,  4448, 16480,  3408,  5096, 16480,    -2.13,    -1.80,    -1.80,    -2.04,    -1.80,    -1.88
01.01. 06:00 ,    0.0,    0.0,  25.92,  26.33,  26.78,   1.316,   1.460,   4.584,  27.12,  -2.56,  -0.21,   1.266,   1.458,   1.099,  3380,  4452, 16480,  3404,  5096, 16480,    -2.37,    -1.88,    -2.04,    -2.29,    -2.04,    -2.13
01.01. 06:30 ,    0.0,    0.0,  25.92,  26.30,  26.78,   1.305,   1.456,   4.480,  27.12,  -2.56,  -0.24,   1.264,   1.453,   1.095,  3392,  4452, 16480,  3404,  5096, 16480,    -2.53,    -2.21,    -2.29,    -2.45,    -2.21,    -2.37
01.01. 07:00 ,    0.0,    0.0,  25.92,  26.33,  26.78,   1.301,   1.456,   4.808,  27.12,  -2.56,  -0.26,   1.263,   1.452,   1.093,  3396,  4452, 16480,  3404,  5096, 16480,    -2.70,    -2.29,    -2.37,    -2.62,    -2.37,    -2.29
01.01. 07:30 ,    0.0,    0.0,  25.92,  26.30,  26.75,   1.297,   1.456,   4.504,  27.12,  -2.56,  -0.27,   1.263,   1.453,   1.092,  3412,  4452, 16480,  3404,  5096, 16480,    -2.94,    -2.45,    -2.62,    -2.78,    -2.54,    -2.45
01.01. 08:00 ,    0.0,    0.0,  25.92,  26.30,  26.75,   1.289,   1.454,   4.392,  27.12,  -2.56,  -0.27,   1.261,   1.451,   1.089,  3396,  4456, 16480,  3404,  5080, 16480,    -3.03,    -2.70,    -2.78,    -2.94,    -2.78,    -2.70
01.01. 08:30 ,    0.0,    0.0,  25.92,  26.30,  26.75,   1.285,   1.453,   4.552,  27.12,  -2.60,  -0.27,   1.259,   1.450,   1.088,  3396,  4460, 16480,  3404,  5096, 16480,    -3.19,    -2.70,    -2.86,    -3.03,    -2.86,    -2.86
01.01. 09:00 ,    0.0,    0.0,  25.92,  26.30,  26.75,   1.283,   1.451,   4.512,  27.12,  -2.58,  -0.27,   1.257,   1.447,   1.085,  3392,  4460, 16480,  3404,  5096, 16480,    -3.11,    -2.78,    -2.86,    -3.03,    -2.86,    -2.78
01.01. 09:30 ,    0.0,    0.0,  25.92,  26.30,  26.75,   1.283,   1.452,   4.752,  27.12,  -2.54,  -0.27,   1.257,   1.449,   1.085,  3392,  4456, 16480,  3404,  5080, 16480,    -2.86,    -2.54,    -2.62,    -2.78,    -2.62,    -2.62
01.01. 10:00 ,    0.0,    0.0,  25.92,  26.30,  26.75,   1.287,   1.453,   4.632,  27.10,  -2.54,  -0.27,   1.258,   1.450,   1.087,  3388,  4456, 16480,  3400,  5096, 16480,    -2.62,    -2.04,    -2.29,    -2.45,    -2.04,    -2.13
01.01. 10:30 ,    0.0,    0.0,  25.89,  26.30,  26.75,   1.295,   1.454,   4.664,  27.10,  -2.56,  -0.26,   1.260,   1.452,   1.090,  3376,  4456, 16480,  3400,  5096, 16480,    -2.13,    -1.47,    -1.80,    -1.96,    -1.39,    -1.47
01.01. 11:00 ,    0.0,    0.0,  25.89,  26.30,  26.75,   1.312,   1.458,   4.664,  27.10,  -2.55,  -0.25,   1.263,   1.454,   1.092,  3428,  4456, 16480,  3404,  5096, 16480,    -1.23,    -0.65,    -0.90,    -1.06,    -0.49,    -0.65
01.01. 11:30 ,    0.0,    0.0,  25.89,  26.30,  26.75,   1.328,   1.461,   4.360,  27.10,  -2.55,  -0.24,   1.266,   1.458,   1.092,  3432,  4456, 16480,  3408,  5080, 16480,    -0.57,     0.50,    -0.24,    -0.41,     0.66,     0.41
01.01. 12:00 ,    0.0,    0.0,  25.89,  26.30,  26.75,   1.335,   1.467,   4.592,  27.10,  -2.58,  -0.25,   1.269,   1.463,   1.095,  3408,  4456, 16480,  3404,  5080, 16480,     0.41,     1.32,     0.82,     0.66,     1.48,     1.64
01.01. 12:30 ,    0.0,    0.0,  25.89,  26.30,  26.75,   1.342,   1.472,   4.552,  27.10,  -2.59,  -0.26,   1.273,   1.467,   1.100,  3372,  4460, 16480,  3408,  5080, 16480,     1.15,     1.81,     1.48,     1.32,     1.97,     1.81
01.01. 13:00 ,    0.0,    0.0,  25.89,  26.33,  26.75,   1.351,   1.478,   4.408,  27.10,  -2.58,  -0.27,   1.276,   1.472,   1.104,  3372,  4460, 16480,  3404,  5080, 16480,     1.81,     2.46,     2.05,     1.97,     2.71,     2.71
01.01. 13:30 ,    0.0,    0.0,  25.89,  26.33,  26.73,   1.360,   1.486,   4.568,  27.10,  -2.59,  -0.27,   1.282,   1.481,   1.110,  3368,  4460, 16480,  3404,  5080, 16480,     2.30,     2.96,     2.46,     2.38,     3.12,     2.96
01.01. 14:00 ,    0.0,    0.0,  25.89,  26.30,  26.73,   1.366,   1.490,   4.688,  27.07,  -2.52,  -0.27,   1.291,   1.484,   1.113,  3368,  4464, 16480,  3404,  5080, 16480,     2.63,     3.20,     2.87,     2.71,     3.78,     3.61
01.01. 14:30 ,    0.0,    0.0,  25.89,  26.33,  26.73,   1.368,   1.493,   4.608,  27.07,  -2.45,  -0.27,   1.293,   1.487,   1.116,  3368,  4460, 16480,  3400,  5080, 16480,     2.30,     3.20,     2.63,     2.46,     3.78,     3.45
01.01. 15:00 ,    0.0,    0.0,  25.89,  26.33,  26.73,   1.364,   1.492,   4.440,  27.07,  -2.46,  -0.25,   1.293,   1.488,   1.116,  3360,  4460, 16480,  3400,  5080, 16480,     2.05,     2.96,     2.38,     2.22,     3.28,     3.20
01.01. 15:30 ,    0.0,    0.0,  25.89,  26.33,  26.73,   1.361,   1.490,   4.456,  27.07,  -2.54,  -0.24,   1.296,   1.485,   1.115,  3352,  4456, 16480,  3396,  5080, 16480,     1.40,     2.38,     1.89,     1.73,     2.96,     2.71
01.01. 16:00 ,    0.0,    0.0,  25.89,  26.30,  26.73,   1.354,   1.488,   4.584,  27.07,  -2.49,  -0.21,   1.295,   1.482,   1.110,  3340,  4452, 16480,  3392,  5080, 16480,     0.82,     1.64,     1.23,     1.07,     1.97,     1.81
01.01. 16:30 ,    0.0,    0.0,  25.89,  26.33,  26.73,   1.345,   1.484,   4.424,  27.07,  -2.52,  -0.21,   1.303,   1.479,   1.105,  3348,  4452, 16480,  3396,  5080, 16480,     0.00,     0.82,     0.41,     0.17,     1.15,     0.82
01.01. 17:00 ,    0.0,    0.0,  25.89,  26.33,  26.73,   1.337,   1.479,   4.568,  27.07,  -2.47,  -0.21,   1.300,   1.475,   1.101,  3348,  4452, 16480,  3396,  5096, 16480,    -0.49,     0.00,    -0.16,    -0.32,     0.08,     0.00
01.01. 17:30 ,    0.0,    0.0,  25.89,  26.33,  26.73,   1.331,   1.474,   4.760,  27.07,  -2.51,  -0.20,   1.292,   1.470,   1.096,  3356,  4456, 16480,  3400,  5096, 16480,    -1.06,    -0.73,    -0.73,    -0.98,    -0.73,    -0.73
01.01. 18:00 ,    0.0,    0.0,  25.87,  26.33,  26.73,   1.328,   1.469,   4.552,  27.07,  -2.53,  -0.20,   1.289,   1.467,   1.093,  3364,  4456, 16480,  3404,  5096, 16480,    -1.47,    -1.14,    -1.14,    -1.39,    -1.14,    -1.22
01.01. 18:30 ,    0.0,    0.0,  25.87,  26.33,  26.73,   1.327,   1.467,   4.696,  27.07,  -2.49,  -0.19,   1.286,   1.464,   1.090,  3368,  4456, 16480,  3404,  5096, 16480,    -1.72,    -1.39,    -1.39,    -1.63,    -1.47,    -1.55
01.01. 19:00 ,    0.0,    0.0,  25.87,  26.33,  26.71,   1.339,   1.464,   4.720,  27.07,  -2.53,  -0.19,   1.286,   1.462,   1.089,  3360,  4456, 16480,  3404,  5096, 16480,    -1.88,    -1.39,    -1.55,    -1.80,    -1.47,    -1.55
01.01. 19:30 ,    0.0,    0.0,  25.87,  26.33,  26.71,   1.329,   1.463,   4.904,  27.05,  -2.52,  -0.19,   1.285,   1.461,   1.089,  3368,  4456, 16480,  3408,  5096, 16480,    -2.04,    -1.55,    -1.72,    -1.88,    -1.63,    -1.72
01.01. 20:00 ,    0.0,    0.0,  25.87,  26.33,  26.71,   1.323,   1.461,   4.768,  27.05,  -2.53,  -0.19,   1.283,   1.459,   1.088,  3368,  4456, 16480,  3408,  5096, 16480,    -2.13,    -1.72,    -1.80,    -2.04,    -1.80,    -1.88
01.01. 20:30 ,    0.0,    0.0,  25.87,  26.30,  26.71,   1.316,   1.461,   4.544,  27.05,  -2.55,  -0.21,   1.279,   1.457,   1.096,  3380,  4456, 16480,  3408,  5096, 16480,    -2.37,    -1.88,    -2.13,    -2.29,    -1.96,    -2.04
01.01. 21:00 ,    0.0,    0.0,  25.87,  26.33,  26.71,   1.308,   1.459,   4.736,  27.05,  -2.57,  -0.26,   1.279,   1.456,   1.097,  3388,  4456, 16480,  3408,  5096, 16480,    -2.53,    -2.04,    -2.21,    -2.45,    -2.13,    -2.04
01.01. 21:30 ,    0.0,    0.0,  25.87,  26.30,  26.71,   1.302,   1.457,   4.704,  27.05,  -2.57,  -0.28,   1.278,   1.455,   1.094,  3392,  4456, 16480,  3408,  5096, 16480,    -2.62,    -2.21,    -2.29,    -2.53,    -2.37,    -2.21
01.01. 22:00 ,    0.0,    0.0,  25.87,  26.33,  26.71,   1.299,   1.457,   4.784,  27.05,  -2.59,  -0.26,   1.277,   1.455,   1.093,  3412,  4460, 16480,  3408,  5096, 16480,    -2.70,    -2.21,    -2.37,    -2.62,    -2.45,    -2.29
01.01. 22:30 ,    0.0,    0.0,  25.87,  26.33,  26.71,   1.298,   1.456,   4.920,  27.05,  -2.58,  -0.27,   1.276,   1.454,   1.092,  3392,  4456, 16480,  3408,  5096, 16480,    -2.94,    -2.29,    -2.53,    -2.78,    -2.45,    -2.37
01.01. 23:00 ,    0.0,    0.0,  25.87,  26.30,  26.73,   1.295,   1.455,   4.808,  27.05,  -2.56,  -0.27,   1.275,   1.452,   1.090,  3388,  4456, 16480,  3408,  5096, 16480,    -2.86,    -2.37,    -2.53,    -2.70,    -2.37,    -2.37
01.01. 23:30 ,    0.0,    0.0,  25.87,  26.33,  26.71,   1.294,   1.455,   5.008,  27.05,  -2.56,  -0.26,   1.271,   1.452,   1.089,  3380,  4456, 16480,  3408,  5096, 16480,    -2.94,    -2.21,    -2.45,    -2.70,    -2.29,    -2.37
02.01. 00:00 ,    0.0,    0.0,  25.87,  26.33,  26.71,   1.292,   1.454,   4.848,  27.05,  -2.53,  -0.26,   1.271,   1.451,   1.087,  3376,  4456, 16480,  3408,  5096, 16480,    -2.78,    -2.29,    -2.45,    -2.70,    -2.37,    -2.45
02.01. 00:30 ,    0.0,    0.0,  25.87,  26.33,  26.71,   1.291,   1.454,   4.560,  27.02,  -2.56,  -0.27,   1.272,   1.451,   1.086,  3380,  4456, 16480,  3408,  5096, 16480,    -3.03,    -2.45,    -2.62,    -2.86,    -2.45,    -2.62
02.01. 01:00 ,    0.0,    0.0,  25.87,  26.33,  26.71,   1.288,   1.454,   4.536,  27.02,  -2.58,  -0.26,   1.272,   1.452,   1.085,  3380,  4456, 16480,  3408,  5096, 16480,    -3.11,    -2.62,    -2.78,    -2.94,    -2.70,    -2.78
02.01. 01:30 ,    0.0,    0.0,  25.84,  26.33,  26.71,   1.280,   1.452,   4.784,  27.02,  -2.64,  -0.26,   1.268,   1.449,   1.082,  3380,  4456, 16480,  3408,  5096, 16480,    -3.27,    -2.78,    -2.94,    -3.11,    -2.86,    -2.94
02.01. 02:00 ,    0.0,    0.0,  25.84,  26.30,  26.71,   1.276,   1.450,   4.872,  27.02,  -2.59,  -0.25,   1.259,   1.447,   1.080,  3384,  4472, 16480,  3440,  5096, 16480,    -3.52,    -2.94,    -3.19,    -3.35,    -3.03,    -3.11
02.01. 02:30 ,    0.0,    0.0,  25.84,  26.33,  26.71,   1.272,   1.449,   4.864,  27.02,  -2.62,  -0.24,   1.253,   1.445,   1.078,  3376,  4480, 16480,  3440,  5096, 16480,    -3.60,    -3.11,    -3.19,    -3.35,    -3.35,    -3.43
02.01. 03:00 ,    0.0,    0.0,  25.84,  26.33,  26.71,   1.272,   1.448,   4.840,  27.02,  -2.58,  -0.23,   1.263,   1.445,   1.078,  3380,  4476, 16480,  3440,  5096, 16480,    -3.76,    -3.27,    -3.11,    -3.68,    -3.44,    -3.52
02.01. 03:30 ,    0.0,    0.0,  25.84,  26.33,  26.71,   1.270,   1.448,   4.872,  27.02,  -2.57,  -0.22,   1.266,   1.445,   1.077,  3380,  4472, 16480,  3440,  5096, 16480,    -3.93,    -3.44,    -3.52,    -3.85,    -3.52,    -3.60
