DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01.01. 00:00
31.07. 23:30
Start_Year: 2020
Channel number,,,,,,,,,,,
Sensor code,,,,,,,,,,,
        Datum, Logtemp, BoTemp10, BoTemp30, ThTa_A15, ThTa_B15, ThTa_A30, ThTa_B30, ThTa_A60, ThTa_B60, EsModem
Units,,,,,,,,,,,
Minimum value,,,,,,,,,,,
Maximum value,,,,,,,,,,,
01.01. 00:00 ,    0.96,    30.03,    30.03,    20.99,    21.89,    -0.28,    15.28,     4.11,    -0.38,    0.09
01.01. 00:30 ,    1.01,    30.03,    30.03,    20.99,    27.36,    -0.28,    15.28,     4.11,    -0.38,    0.09
01.01. 01:00 ,    1.08,    30.03,    30.03,    20.99,    33.26,    -0.28,    15.28,     4.14,    -0.38,    0.09
01.01. 01:30 ,    1.19,    30.03,    30.03,    20.99,    21.45,    -0.28,    15.28,     4.11,    -0.38,    0.09
01.01. 02:00 ,    1.34,    30.03,    30.03,    21.02,    20.53,    -0.28,    15.38,     4.11,    -0.38,    5.21
01.01. 02:30 ,    1.41,    30.03,    30.03,    20.99,    25.47,    -0.28,    15.38,     4.11,    -0.38,    5.21
01.01. 03:00 ,    1.37,    30.03,    30.03,    20.99,    17.30,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 03:30 ,    1.22,    30.03,    30.03,    20.99,    19.89,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 04:00 ,    1.12,    30.03,    30.03,    20.99,    17.08,    -0.28,    15.38,     4.14,    -0.38,    0.09
01.01. 04:30 ,    1.00,    30.03,    30.03,    20.99,    18.83,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 05:00 ,    0.83,    30.03,    30.03,    20.99,    27.73,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 05:30 ,    0.63,    30.03,    30.03,    20.99,    17.76,    -0.28,    15.38,     4.11,    -0.38,    5.21
01.01. 06:00 ,    0.38,    30.03,    30.03,    20.99,    18.51,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 06:30 ,    0.13,    30.03,    30.03,    20.97,    16.87,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 07:00 ,   -0.09,    30.03,    30.03,    20.99,    19.86,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 07:30 ,   -0.32,    30.03,    30.03,    20.99,    16.95,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 08:00 ,   -0.51,    30.03,    30.03,    20.97,    19.64,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 08:30 ,   -0.71,    30.03,    30.03,    20.99,    26.92,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 09:00 ,   -0.86,    30.03,    30.03,    20.97,    25.22,    -0.28,    15.38,     4.11,    -0.38,    5.21
01.01. 09:30 ,   -1.00,    30.03,    30.03,    20.99,    20.71,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 10:00 ,   -1.07,    30.03,    30.03,    20.99,    29.87,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 10:30 ,   -1.06,    30.03,    30.03,    20.97,    17.59,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 11:00 ,   -0.99,    30.03,    30.03,    20.99,    25.54,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 11:30 ,   -0.81,    30.03,    30.03,    20.97,    26.01,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 12:00 ,   -0.57,    30.03,    30.03,    20.97,    29.15,    -0.28,    15.36,     4.11,    -0.38,    0.09
01.01. 12:30 ,   -0.19,    30.03,    30.03,    20.99,    32.89,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 13:00 ,    0.25,    30.03,    30.03,    20.99,    25.38,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 13:30 ,    0.72,    30.03,    30.03,    20.97,    26.17,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 14:00 ,    1.20,    30.03,    30.03,    20.97,    33.33,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 14:30 ,    1.67,    30.03,    30.03,    20.97,    30.77,    -0.28,    15.36,     4.08,    -0.38,    0.09
01.01. 15:00 ,    2.04,    30.03,    30.03,    20.97,    33.84,    -0.28,    15.38,     4.11,    -0.38,    5.21
01.01. 15:30 ,    2.30,    30.03,    30.03,    20.97,    31.84,    -0.28,    15.36,     4.11,    -0.38,    0.09
01.01. 16:00 ,    2.46,    30.03,    30.03,    20.99,    35.86,    -0.28,    15.38,     4.08,    -0.38,    0.09
01.01. 16:30 ,    2.47,    30.03,    30.03,    20.97,    29.01,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 17:00 ,    2.37,    30.03,    30.03,    20.97,    24.24,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 17:30 ,    2.19,    30.03,    30.03,    20.99,    32.26,    -0.28,    15.38,     4.11,    -0.38,    5.21
01.01. 18:00 ,    1.93,    30.03,    30.03,    20.97,    33.77,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 18:30 ,    1.59,    30.03,    30.03,    20.99,    24.29,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 19:00 ,    1.26,    30.03,    30.03,    20.97,    38.86,    -0.28,    15.41,     4.11,    -0.38,    0.09
01.01. 19:30 ,    0.90,    30.03,    30.03,    20.94,    37.58,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 20:00 ,    0.61,    30.03,    30.03,    20.97,    35.13,    -0.28,    15.38,     4.08,    -0.38,    0.09
01.01. 20:30 ,    0.34,    30.03,    30.03,    20.97,    36.26,    -0.28,    15.38,     4.11,    -0.38,    0.09
01.01. 21:00 ,    0.10,    30.03,    30.03,    20.94,    34.87,    -0.28,    15.38,     4.08,    -0.38,    0.09
01.01. 21:30 ,   -0.08,    30.03,    30.03,    20.97,    35.17,    -0.28,    15.38,     4.08,    -0.38,    5.21
01.01. 22:00 ,   -0.27,    30.03,    30.03,    20.97,    34.45,    -0.28,    15.41,     4.11,    -0.38,    0.09
01.01. 22:30 ,   -0.45,    30.03,    30.03,    20.97,    34.79,    -0.28,    15.41,     4.08,    -0.38,    0.09
01.01. 23:00 ,   -0.58,    30.03,    30.03,    20.97,    33.96,    -0.28,    15.38,     4.08,    -0.38,    0.09
01.01. 23:30 ,   -0.71,    30.03,    30.03,    20.97,    32.43,    -0.28,    15.38,     4.08,    -0.38,    0.09
02.01. 00:00 ,   -0.84,    30.03,    30.03,    20.94,    34.04,    -0.28,    15.38,     4.08,    -0.38,    0.09
02.01. 00:30 ,   -0.94,    30.03,    30.03,    20.97,    35.79,    -0.28,    15.38,     4.08,    -0.38,    5.21
02.01. 01:00 ,   -1.02,    30.03,    30.03,    20.94,    30.43,    -0.28,    15.38,     4.08,    -0.38,    0.09
02.01. 01:30 ,   -1.08,    30.03,    30.03,    20.94,    36.96,    -0.28,    15.41,     4.08,    -0.38,    0.09
02.01. 02:00 ,   -1.15,    30.03,    30.03,    20.94,    27.62,    -0.28,    15.41,     4.08,    -0.38,    0.09
02.01. 02:30 ,   -1.24,    30.03,    30.03,    20.94,    31.23,    -0.28,    15.41,     4.11,    -0.38,    5.21
02.01. 03:00 ,   -1.35,    30.03,    30.03,    20.94,    31.04,    -0.28,    15.41,     4.11,    -0.38,    0.09
02.01. 03:30 ,   -1.44,    30.03,    30.03,    20.94,    27.80,    -0.28,    15.44,     4.11,    -0.38,    5.21
02.01. 04:00 ,   -1.55,    30.03,    30.03,    20.94,    30.16,    -0.28,    15.44,     4.08,    -0.38,    0.09
02.01. 04:30 ,   -1.70,    30.03,    30.03,    20.94,    31.01,    -0.28,    15.44,     4.08,    -0.38,    5.21
02.01. 05:00 ,   -1.88,    30.03,    30.03,    20.94,    29.66,    -0.28,    15.47,     4.08,    -0.38,    0.09
02.01. 05:30 ,   -2.12,    30.03,    30.03,    20.94,    34.50,    -0.28,    15.47,     4.08,    -0.38,    0.09
02.01. 06:00 ,   -2.42,    30.03,    30.03,    20.94,    40.93,    -0.28,    15.49,     4.08,    -0.38,    0.09
02.01. 06:30 ,   -2.65,    30.03,    30.03,    20.94,    32.43,    -0.28,    15.49,     4.08,    -0.38,    0.09
02.01. 07:00 ,   -2.85,    30.03,    30.03,    20.94,    42.08,    -0.28,    15.49,     4.08,    -0.38,    0.09
02.01. 07:30 ,   -3.04,    30.03,    30.03,    20.94,    34.87,    -0.28,    15.52,     4.08,    -0.38,    0.08
02.01. 08:00 ,   -3.18,    30.03,    30.03,    20.94,    40.93,    -0.28,    15.52,     4.11,    -0.38,    0.09
02.01. 08:30 ,   -3.31,    30.03,    30.03,    20.94,    33.38,    -0.28,    15.52,     4.08,    -0.38,    0.09
02.01. 09:00 ,   -3.44,    30.03,    30.03,    20.94,    32.99,    -0.28,    15.55,     4.11,    -0.38,    0.09
02.01. 09:30 ,   -3.55,    30.03,    30.03,    20.94,    17.03,    -0.28,    15.55,     4.08,    -0.38,    5.21
02.01. 10:00 ,   -3.63,    30.03,    30.03,    20.94,    22.32,    -0.28,    15.55,     4.08,    -0.38,    0.09
02.01. 10:30 ,   -3.63,    30.03,    30.03,    20.91,    29.15,    -0.28,    15.55,     4.08,    -0.38,    0.09
02.01. 11:00 ,   -3.57,    30.03,    30.03,    20.94,    45.44,    -0.28,    15.55,     4.08,    -0.38,    0.09
02.01. 11:30 ,   -3.43,    30.03,    30.03,    20.94,    40.63,    -0.28,    15.57,     4.08,    -0.38,    5.21
02.01. 12:00 ,   -3.24,    30.03,    30.03,    20.91,    36.30,    -0.28,    15.57,     4.08,    -0.38,    0.09
02.01. 12:30 ,   -2.96,    30.03,    30.03,    20.94,    37.29,    -0.28,    15.57,     4.08,    -0.38,    0.09
02.01. 13:00 ,   -2.61,    30.03,    30.03,    20.94,    33.94,    -0.28,    15.57,     4.08,    -0.38,    0.09
02.01. 13:30 ,   -2.03,    30.03,    30.03,    20.94,    32.96,    -0.28,    15.57,     4.08,    -0.38,    0.09
02.01. 14:00 ,   -1.39,    30.03,    30.03,    20.91,    46.56,    -0.28,    15.57,     4.08,    -0.38,    0.09
02.01. 14:30 ,   -0.88,    30.03,    30.03,    20.91,    47.92,    -0.28,    15.57,     4.08,    -0.38,    0.09
02.01. 15:00 ,   -0.46,    30.03,    30.03,    20.91,    38.17,    -0.28,    15.57,     4.08,    -0.38,    0.09
02.01. 15:30 ,   -0.16,    30.03,    30.03,    20.94,    41.60,    -0.28,    15.60,     4.08,    -0.38,    0.09
02.01. 16:00 ,    0.05,    30.03,    30.03,    20.91,    43.52,    -0.28,    15.60,     4.08,    -0.38,    0.09
02.01. 16:30 ,    0.18,    30.03,    30.03,    20.91,    47.12,    -0.28,    15.57,     4.08,    -0.38,    0.09
02.01. 17:00 ,    0.24,    30.03,    30.03,    20.94,    48.56,    -0.28,    15.60,     4.08,    -0.38,    0.09
02.01. 17:30 ,    0.18,    30.03,    30.03,    20.91,    46.88,    -0.28,    15.60,     4.08,    -0.38,    0.09
02.01. 18:00 ,    0.09,    30.03,    30.03,    20.91,    44.56,    -0.28,    15.60,     4.08,    -0.38,    0.09
02.01. 18:30 ,   -0.06,    30.03,    30.03,    20.91,    47.28,    -0.28,    15.60,     4.08,    -0.38,    0.09
02.01. 19:00 ,   -0.24,    30.03,    30.03,    20.91,    52.80,    -0.28,    15.63,     4.08,    -0.38,    0.09
02.01. 19:30 ,   -0.39,    30.03,    30.03,    20.91,    47.92,    -0.28,    15.63,     4.08,    -0.38,    0.09
02.01. 20:00 ,   -0.57,    30.03,    30.03,    20.91,    46.96,    -0.28,    15.63,     4.08,    -0.38,    0.09
02.01. 20:30 ,   -0.72,    30.03,    30.03,    20.91,    49.12,    -0.28,    15.65,     4.08,    -0.38,    5.21
02.01. 21:00 ,   -0.88,    30.03,    30.03,    20.91,    64.08,    -0.28,    15.63,     4.08,    -0.38,    0.09
02.01. 21:30 ,   -1.00,    30.03,    30.03,    20.91,    49.44,    -0.28,    15.63,     4.08,    -0.38,    0.09
02.01. 22:00 ,   -1.11,    30.03,    30.03,    20.91,    49.92,    -0.28,    15.65,     4.08,    -0.38,    0.09
02.01. 22:30 ,   -1.13,    30.03,    30.03,    20.91,    49.36,    -0.28,    15.65,     4.08,    -0.38,    0.09
02.01. 23:00 ,   -1.20,    30.03,    30.03,    20.91,    46.08,    -0.28,    15.63,     4.08,    -0.38,    0.09
02.01. 23:30 ,   -1.18,    30.03,    30.03,    20.91,    47.92,    -0.28,    15.65,     4.08,    -0.38,    0.09
03.01. 00:00 ,   -1.11,    30.03,    30.03,    20.91,    47.68,    -0.28,    15.63,     4.08,    -0.38,    0.09
03.01. 00:30 ,   -1.02,    30.03,    30.03,    20.91,    44.32,    -0.28,    15.65,     4.08,    -0.38,    0.09
03.01. 01:00 ,   -0.94,    30.03,    30.03,    20.91,    46.72,    -0.28,    15.63,     4.08,    -0.38,    0.09
03.01. 01:30 ,   -0.90,    30.03,    30.03,    20.91,    44.88,    -0.28,    15.63,     4.08,    -0.38,    0.09
03.01. 02:00 ,   -0.85,    30.03,    30.03,    20.91,    46.48,    -0.28,    15.63,     4.08,    -0.38,    0.09
03.01. 02:30 ,   -0.73,    30.03,    30.03,    20.89,    47.44,    -0.28,    15.63,     4.08,    -0.38,    0.09
03.01. 03:00 ,   -0.60,    30.03,    30.03,    20.91,    45.52,    -0.28,    15.63,     4.08,    -0.38,    0.09
03.01. 03:30 ,   -0.45,    30.03,    30.03,    20.91,    44.72,    -0.28,    15.63,     4.08,    -0.38,    5.21
03.01. 04:00 ,   -0.31,    30.03,    30.03,    20.91,    40.96,    -0.28,    15.63,     4.08,    -0.38,    0.09
03.01. 04:30 ,   -0.18,    30.03,    30.03,    20.91,    44.16,    -0.28,    15.63,     4.08,    -0.38,    0.08
03.01. 05:00 ,   -0.08,    30.03,    30.03,    20.91,    45.44,    -0.28,    15.63,     4.08,    -0.38,    0.09
03.01. 05:30 ,    0.02,    30.03,    30.03,    20.91,    44.08,    -0.28,    15.63,     4.08,    -0.38,    0.09
03.01. 06:00 ,    0.10,    30.03,    30.03,    20.89,    45.04,    -0.28,    15.63,     4.08,    -0.38,    0.09
03.01. 06:30 ,    0.14,    30.03,    30.03,    20.89,    43.04,    -0.28,    15.63,     4.08,    -0.38,    0.09
03.01. 07:00 ,    0.17,    30.03,    30.03,    20.89,    45.28,    -0.28,    15.63,     4.08,    -0.38,    0.09
03.01. 07:30 ,    0.15,    30.03,    30.03,    20.89,    41.60,    -0.28,    15.63,     4.08,    -0.38,    0.09
03.01. 08:00 ,    0.09,    30.03,    30.03,    20.89,    41.20,    -0.28,    15.63,     4.05,    -0.38,    0.09
03.01. 08:30 ,    0.05,    30.03,    30.03,    20.89,    40.59,    -0.28,    15.60,     4.08,    -0.38,    0.09
03.01. 09:00 ,    0.01,    30.03,    30.03,    20.89,    41.60,    -0.28,    15.63,     4.08,    -0.38,    0.09
03.01. 09:30 ,    0.01,    30.03,    30.03,    20.89,    41.76,    -0.28,    15.60,     4.05,    -0.38,    0.09
03.01. 10:00 ,    0.03,    30.03,    30.03,    20.89,    41.52,    -0.28,    15.60,     4.08,    -0.38,    0.08
03.01. 10:30 ,    0.17,    30.03,    30.03,    20.89,    49.84,    -0.28,    15.60,     4.05,    -0.38,    0.09
03.01. 11:00 ,    0.43,    30.03,    30.03,    20.91,    45.92,    -0.28,    15.60,     4.08,    -0.38,    0.09
03.01. 11:30 ,    0.71,    30.03,    30.03,    20.91,    52.08,    -0.28,    15.63,     4.08,    -0.38,    0.09
03.01. 12:00 ,    1.04,    30.03,    30.03,    20.89,    49.68,    -0.28,    15.60,     4.08,    -0.38,    0.09
03.01. 12:30 ,    1.37,    30.03,    30.03,    20.91,    64.32,    -0.28,    15.60,     4.08,    -0.38,    0.09
03.01. 13:00 ,    1.75,    30.03,    30.03,    20.89,    46.72,    -0.28,    15.60,     4.08,    -0.38,    0.09
03.01. 13:30 ,    2.14,    30.03,    30.03,    20.89,    42.96,    -0.28,    15.60,     4.05,    -0.38,    5.21
03.01. 14:00 ,    2.59,    30.03,    30.03,    20.89,    54.64,    -0.28,    15.60,     4.08,    -0.38,    5.21
03.01. 14:30 ,    3.03,    30.03,    30.03,    20.91,    94.88,    -0.28,    15.60,     4.08,    -0.38,    0.09
03.01. 15:00 ,    3.39,    30.03,    30.03,    20.89,   100.32,    -0.28,    15.60,     4.05,    -0.38,    0.09
03.01. 15:30 ,    3.80,    30.03,    30.03,    20.89,   100.40,    -0.28,    15.60,     4.08,    -0.38,    0.09
03.01. 16:00 ,    4.17,    30.03,    30.03,    20.89,   100.40,    -0.28,    15.60,     4.08,    -0.38,    5.21
