Logger: #D3000C 'Esslingen_Fi_FVA_1' - USP_EXP2 - (CGI) Expander for GP5W - (V2.60, Mai 12 2013)
No;Datum;15_T_PF_X;15_MP_X;30_T_PF_X;30_MP_X;60_T_PF_X;60_MP_X;15_T_PF_Y;15_MP_Y;30_T_PF_Y;30_MP_Y;60_T_PF_Y;60_MP_Y;15_T_PF_Z;15_MP_Z;30_T_PF_Z;30_MP_Z;60_T_PF_Z;60_MP_Z;Bat.V;Temp.o_T_PF;rH..
1;01.01.2021 00:00;5,23;1,132;7,48;1,052;6,59;2,948;4,72;0;4,58;1,036;6,89;2,524;4,86;1,655;5,03;1,795;5,79;2,384;;;
2;01.01.2021 00:15;5,23;1,128;7,5;1,053;6,6;2,942;4,39;0;4,57;1,039;6,88;2,522;4,84;1,653;5,02;1,795;5,78;2,385;12,266;2,31;96,3
3;01.01.2021 00:30;5,21;1,118;7,51;1,05;6,6;2,942;4,35;0;4,58;1,04;6,88;2,524;4,84;1,653;5,05;1,794;5,76;2,384;12,257;2,38;96
4;01.01.2021 00:45;5,23;1,118;7,5;1,057;6,6;2,941;4,35;0;4,55;1,035;6,87;2,522;4,82;1,653;5,04;1,794;5,78;2,383;12,27;2,19;96,2
5;01.01.2021 01:00;5,25;1,123;7,52;1,053;6,59;2,939;4,77;0;4,57;1,036;6,87;2,521;4,84;1,652;5,01;1,794;5,76;2,383;;;
6;01.01.2021 01:15;5,23;1,119;7,49;1,055;6,6;2,941;4,45;0;4,58;1,036;6,88;2,521;4,81;1,653;5,08;1,796;5,79;2,384;;;
7;01.01.2021 01:30;5,3;1,07;7,5;1,055;6,57;2,94;4,39;0;4,59;1,031;6,85;2,522;4,85;1,654;5,02;1,795;5,74;2,383;;;
8;01.01.2021 01:45;5,24;1,149;7,5;1,05;6,56;2,94;4,35;0;4,56;1,036;6,88;2,522;4,85;1,651;5,05;1,794;5,76;2,383;;;
9;01.01.2021 02:00;5,25;1,137;7,48;1,054;6,59;2,941;4,37;0;4,55;1,034;6,88;2,521;4,83;1,652;5,02;1,793;5,78;2,383;;;
10;01.01.2021 02:15;5,21;1,087;7,52;1,055;6,55;2,942;4,41;0;4,58;1,041;6,86;2,521;4,77;1,653;5,05;1,795;5,77;2,383;12,264;1,73;96,5
