Logger: #D3000C 'Esslingen_Fi_FVA_1' - USP_EXP2 - (CGI) Expander for GP5W - (V2.60, Mai 12 2013)
No;Datum;15_T_PF_X;15_MP_X;30_T_PF_X;30_MP_X;60_T_PF_X;60_MP_X;15_T_PF_Y;15_MP_Y;30_T_PF_Y;30_MP_Y;60_T_PF_Y;60_MP_Y;15_T_PF_Z;15_MP_Z;30_T_PF_Z;30_MP_Z;60_T_PF_Z;60_MP_Z;Bat.V;Temp.o_T_PF;rH..
1;01.01.2021 00:00;-81,88;0;6,3;0;7;0,735;3,62;7;4,05;1,454;5,28;1,125;4,16;1,271;4,2;0,996;5,51;0,625;;;
2;01.01.2021 00:15;-82,04;0;6,31;0;6,96;0,724;3,61;7;4,02;1,455;5,31;1,132;4,55;1,223;4,18;1,008;5,52;0,615;12,399;-1;99,8
3;01.01.2021 00:30;-81,92;0;6,34;0;6,96;0,722;3,59;7;4,06;1,454;5,31;1,125;4,07;1,26;4,19;1,011;5,53;0,631;12,414;-0,95;99,5
4;01.01.2021 00:45;-81,87;0;6,34;0;6,96;0,715;3,63;7;4,05;1,459;5,3;1,124;4,18;1,335;4,15;1,013;5,58;0,62;;;
5;01.01.2021 01:00;-81,97;0;6,32;0;7,01;0,766;3,62;7;4,04;1,458;5,31;1,126;4,19;1,281;4,2;1,003;5,53;0,63;;;
6;01.01.2021 01:15;-73,02;0;6,32;0;7;0,749;3,63;7;4,05;1,453;5,29;1,125;4,3;1,251;4,18;1,006;5,54;0,623;;;
7;01.01.2021 01:30;-74,46;0;6,32;0;6,98;0,742;3,63;7;4,04;1,453;5,29;1,122;4,29;1,298;4,18;1,001;5,52;0,616;;;
8;01.01.2021 01:45;-74,63;0;6,36;0;6,98;0,73;3,62;7;4,04;1,453;5,31;1,123;4,29;1,232;4,21;1,003;5,51;0,626;;;
9;01.01.2021 02:00;-80,8;0;6,33;0;6,98;0,775;3,57;7;4,07;1,458;5,27;1,124;4,24;1,219;4,18;0,995;5,53;0,623;12,395;-1,33;100
10;01.01.2021 02:15;-76,79;0;6,32;0;6,96;0,763;3,62;7;4,05;1,455;5,28;1,128;4,16;1,323;4,21;1,001;5,54;0,627;;;
11;01.01.2021 02:30;-79,08;0;6,32;0;6,99;0,752;3,6;7;4,04;1,46;5,28;1,125;4,88;1,29;4,23;1,004;5,53;0,622;;;
12;01.01.2021 02:45;-79,35;0;6,35;0;7,01;0,744;3,59;7;4,07;1,458;5,29;1,125;4,77;1,33;4,19;0,993;5,54;0,621;;;
13;01.01.2021 03:00;-79,43;0;6,32;0;6,95;0,744;3,61;7;4,06;1,456;5,3;1,126;4,76;1,336;4,2;0,997;5,53;0,624;;;
14;01.01.2021 03:15;-79,36;0;6,32;0;6,99;0,735;3,61;7;4,07;1,454;5,26;1,13;4,68;1,301;4,19;1,008;5,55;0,63;;;
15;01.01.2021 03:30;-79,44;0;6,33;0;7,1;0,745;3,62;7;4,06;1,459;5,29;1,127;4,23;1,36;4,21;1,013;5,5;0,617;12,412;-1,18;100
16;01.01.2021 03:45;-74,62;0;6,3;0;7,1;0,744;3,6;7;4,05;1,459;5,3;1,128;4,48;1,314;4,19;1,005;5,54;0,618;;;
17;01.01.2021 04:00;-79,15;0;6,34;0;6,97;0,717;3,62;7;4,04;1,457;5,26;1,131;4,34;1,311;4,2;0,995;5,54;0,62;;;
18;01.01.2021 04:15;-80,29;0;6,28;0;7,03;0,77;3,58;7;4,07;1,457;5,27;1,126;4,43;1,317;4,16;0,992;5,53;0,629;;;
19;01.01.2021 04:30;-81,98;0;6,31;0;6,93;0,766;3,59;7;4,04;1,46;5,27;1,132;4,58;1,312;4,21;0,991;5,53;0,624;;;
20;01.01.2021 04:45;-82,1;0;6,3;0;6,95;0,767;3,63;7;4,06;1,458;5,27;1,134;4,41;1,315;4,2;0,997;5,51;0,622;;;
21;01.01.2021 05:00;-82,24;0;6,3;0;6,95;0,763;3,62;7;4,01;1,457;5,3;1,125;4,2;1,318;4,18;1,002;5,49;0,626;12,391;-0,57;99,8
22;01.01.2021 05:15;-82,32;0;6,35;0;6,96;0,759;3,57;7;4,02;1,458;5,24;1,133;4,21;1,35;4,14;1,013;5,54;0,632;;;
23;01.01.2021 05:30;-82,3;0;6,29;0;7,04;0,761;3,6;7;4,03;1,462;5,28;1,135;4,33;1,317;4,19;1,025;5,51;0,62;;;
24;01.01.2021 05:45;-82,2;0;6,3;0;6,96;0,766;3,58;7;4,01;1,457;5,29;1,137;4,36;1,343;4,19;1,011;5,55;0,629;;;
25;01.01.2021 06:00;-82,21;0;6,3;0;6,96;0,771;3,59;7;4,03;1,456;5,28;1,132;4,3;1,326;4,15;1,011;5,54;0,624;;;
26;01.01.2021 06:15;-82,25;0;6,31;0;6,93;0,754;3,61;7;3,99;1,458;5,27;1,127;4,31;1,366;4,14;0,996;5,51;0,621;12,404;-0,59;99,6
27;01.01.2021 06:30;-82,2;0;6,3;0;6,96;0,76;3,59;7;4,01;1,457;5,25;1,135;4,2;1,358;4,16;1,006;5,5;0,631;12,393;-0,61;99,3
28;01.01.2021 06:45;-82,3;0;6,33;0;7,06;0,768;3,55;7;4,04;1,456;5,27;1,138;4,07;1,336;4,2;0,995;5,48;0,629;;;
29;01.01.2021 07:00;-82,24;0;6,3;0;6,98;0,782;3,59;7;4,01;1,459;5,28;1,13;4,23;1,36;4,16;0,997;5,52;0,621;;;
30;01.01.2021 07:15;-73,85;0;6,3;0;6,97;0,76;3,58;7;4,03;1,459;5,27;1,136;4,24;1,369;4,19;1,011;5,52;0,635;;;
31;01.01.2021 07:30;-73,83;0;6,33;0;6,95;0,761;3,6;7;4,03;1,46;5,26;1,131;4,22;1,327;4,16;1,003;5,54;0,625;;;
32;01.01.2021 07:45;-74,36;0;6,32;0;6,93;0,751;3,61;7;4,03;1,457;5,27;1,13;4,34;1,346;4,17;0,995;5,51;0,627;;;
33;01.01.2021 08:00;-82,76;0;6,31;0;6,97;0,747;3,6;7;4,01;1,46;5,28;1,134;4,79;1,381;4,14;1,009;5,49;0,618;12,393;-1,01;100
34;01.01.2021 08:15;-82,72;0;6,32;0;6,96;0,762;3,58;7;4,02;1,456;5,27;1,136;4,54;1,235;4,22;1,014;5,54;0,627;;;
35;01.01.2021 08:30;-82,74;0;6,33;0;6,97;0,769;3,6;7;4,02;1,459;5,26;1,131;4,39;1,329;4,16;1,016;5,53;0,627;;;
36;01.01.2021 08:45;-82,72;0;6,28;0;6,95;0,759;3,56;7;4;1,457;5,23;1,133;4,32;1,33;4,2;1,007;5,49;0,636;;;
37;01.01.2021 09:00;-82,69;0;6,3;0;6,97;0,759;3,59;7;4,03;1,458;5,29;1,136;4,2;1,351;4,21;1,02;5,5;0,624;;;
38;01.01.2021 09:15;-82,68;0;6,3;0;6,96;0,764;3,6;7;4;1,46;5,27;1,129;4,83;1,365;4,13;1,001;5,53;0,633;;;
39;01.01.2021 09:30;-82,75;0;6,29;0;6,92;0,763;3,6;7;4,01;1,457;5,25;1,134;4,45;1,352;4,13;1,015;5,53;0,63;12,399;-0,39;99,8
40;01.01.2021 09:45;-82,7;0;6,29;0;6,93;0,765;3,6;7;4,04;1,46;5,26;1,13;4,22;1,351;4,16;1,003;5,53;0,632;;;
41;01.01.2021 10:00;-82,67;0;6,29;0;7,01;0,75;3,61;7;3,98;1,463;5,28;1,129;4,22;1,327;4,17;1,014;5,51;0,627;;;
42;01.01.2021 10:15;-82,59;0;6,27;0;6,95;0,768;3,59;7;4;1,46;5,24;1,129;4,18;1,343;4,17;1,011;5,51;0,623;;;
43;01.01.2021 10:30;-82,59;0;6,28;0;6,91;0,766;3,61;7;4,01;1,456;5,24;1,139;4,25;1,331;4,15;0,996;5,5;0,629;;;
44;01.01.2021 10:45;-82,56;0;6,31;0;6,95;0,785;3,59;7;4,01;1,459;5,26;1,133;4,29;1,352;4,2;0,999;5,51;0,626;;;
45;01.01.2021 11:00;-82,59;0;6,3;0;6,92;0,777;3,57;7;4,03;1,459;5,24;1,139;4,32;1,272;4,19;1,008;5,54;0,633;12,391;0,99;99,4
