DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01.01. 00:00
31.03. 23:30
Start_Year: 2020
Channel number,,,,,,,,,,
Sensor code,,,,,,,,,,
        Datum, BoTemp10, BoTemp20, BoTemp30, Theta201, Theta202, w_up_con, Theta801, Theta802, Lys_Akku
Units,,,,,,,,,,
Minimum value,,,,,,,,,,
Maximum value,,,,,,,,,,
01.01. 00:00 ,   -18.03,    -0.43,    21.50,    40.26,    34.19,  26.8610,    38.61,    37.18,  27.9760
01.01. 00:30 ,   -18.03,    -0.43,    21.50,    40.26,    34.17,  26.8610,    38.61,    37.15,  27.9760
01.01. 01:00 ,   -18.03,    -0.43,    21.50,    40.26,    34.17,  26.8610,    38.61,    37.18,  27.9760
01.01. 01:30 ,   -18.03,    -0.43,    21.49,    40.26,    34.17,  26.8610,    38.61,    37.15,  27.9760
01.01. 02:00 ,   -18.03,    -0.43,    21.49,    40.26,    34.17,  26.8610,    38.61,    37.15,  27.9760
01.01. 02:30 ,   -18.03,    -0.43,    21.49,    40.26,    34.19,  26.8610,    38.61,    37.15,  27.9760
01.01. 03:00 ,   -18.03,    -0.48,    21.49,    40.26,    34.19,  26.8610,    38.61,    37.15,  27.9760
01.01. 03:30 ,   -18.03,    -0.48,    21.49,    40.30,    34.19,  26.8610,    38.61,    37.15,  27.9760
01.01. 04:00 ,   -18.03,    -0.48,    21.49,    40.26,    34.17,  26.8610,    38.61,    37.15,  27.9760
01.01. 04:30 ,   -18.03,    -0.48,    21.49,    40.26,    34.19,  26.8610,    38.61,    37.15,  27.9760
01.01. 05:00 ,   -18.03,    -0.48,    21.49,    40.26,    34.19,  26.8610,    38.61,    37.15,  27.9760
01.01. 05:30 ,   -18.03,    -0.48,    21.49,    40.30,    34.19,  26.8610,    38.57,    37.15,  27.9760
01.01. 06:00 ,   -18.03,    -0.53,    21.49,    40.26,    34.19,  26.8610,    38.57,    37.15,  27.9760
01.01. 06:30 ,   -18.03,    -0.53,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.15,  27.9760
01.01. 07:00 ,   -18.03,    -0.53,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.15,  27.9760
01.01. 07:30 ,   -18.03,    -0.53,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.11,  27.9760
01.01. 08:00 ,   -18.03,    -0.53,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.15,  27.9760
01.01. 08:30 ,   -18.03,    -0.58,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.15,  27.9760
01.01. 09:00 ,   -18.03,    -0.58,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.15,  27.9760
01.01. 09:30 ,   -18.03,    -0.58,    21.49,    40.26,    34.19,  26.8610,    38.57,    37.15,  27.9760
01.01. 10:00 ,   -18.03,    -0.58,    21.49,    40.26,    34.19,  26.8610,    38.57,    37.15,  27.9760
01.01. 10:30 ,   -18.03,    -0.58,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.15,  27.9760
01.01. 11:00 ,   -18.03,    -0.58,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.15,  27.9760
01.01. 11:30 ,   -18.03,    -0.58,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.15,  27.9760
01.01. 12:00 ,   -18.03,    -0.58,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.15,  27.9760
01.01. 12:30 ,   -18.03,    -0.58,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.11,  27.9760
01.01. 13:00 ,   -18.03,    -0.58,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.11,  27.9760
01.01. 13:30 ,    30.03,    30.03,    30.03,    30.22,    25.59,   4.7560,    29.07,    28.07,   4.9260
01.01. 14:00 ,   -18.03,    -0.51,    21.56,    40.21,    34.13,  26.8080,    38.53,    37.07,  27.9210
01.01. 14:30 ,   -18.03,    -0.58,    21.50,    40.26,    34.16,  26.8610,    38.61,    37.11,  27.9760
01.01. 15:00 ,   -18.03,    -0.46,    21.57,    40.26,    34.16,   9.7280,    36.67,    34.76,   9.9740
01.01. 15:30 ,   -18.03,    -0.53,    21.50,    40.25,    34.16,  26.8610,    38.61,    37.11,  27.9760
01.01. 16:00 ,   -18.03,    -0.53,    21.50,    40.26,    34.19,  26.8610,    38.61,    37.11,  27.9760
01.01. 16:30 ,     8.39,    -0.48,    21.50,    40.30,    34.19,  26.8610,    38.61,    37.15,  27.9760
01.01. 17:00 ,    29.72,    30.03,    30.03,    29.48,    24.44,   4.7100,    28.00,    26.95,   4.8920
01.01. 17:30 ,    30.03,    13.84,    30.03,    40.26,    34.17,  26.8610,    38.57,    37.11,  27.9760
01.01. 18:00 ,   -18.03,    -0.53,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.11,  27.9760
01.01. 18:30 ,   -18.03,    -0.53,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.11,  27.9760
01.01. 19:00 ,   -18.03,    -0.53,    21.49,    40.26,    34.17,  26.8610,    38.61,    37.11,  27.9760
01.01. 19:30 ,   -18.03,    -0.53,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.04,  27.9760
01.01. 20:00 ,    30.03,    30.03,    30.03,    34.11,    34.17,  26.8610,    38.57,    37.11,  27.9760
01.01. 20:30 ,   -18.03,    -0.53,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.11,  27.9760
01.01. 21:00 ,   -18.03,    -0.58,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.07,  27.9760
01.01. 21:30 ,   -18.03,    -0.58,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.11,  27.9760
01.01. 22:00 ,   -18.03,    -0.63,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.11,  27.9760
01.01. 22:30 ,   -18.03,    -0.63,    21.49,    40.23,    34.15,  26.8340,    38.55,    37.05,  27.9490
01.01. 23:00 ,   -18.03,    -0.68,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.07,  27.9760
01.01. 23:30 ,   -18.03,    -0.68,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.07,  27.9760
02.01. 00:00 ,   -18.03,    -0.73,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.07,  27.9760
02.01. 00:30 ,   -18.03,    -0.73,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.07,  27.9760
02.01. 01:00 ,   -18.03,    -0.78,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.07,  27.9760
02.01. 01:30 ,   -18.03,    -0.83,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.07,  27.9760
02.01. 02:00 ,   -18.03,    -0.83,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.07,  27.9760
02.01. 02:30 ,   -18.03,    -0.83,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.07,  27.9760
02.01. 03:00 ,   -18.03,    -0.83,    21.49,    40.26,    34.17,  26.8610,    38.57,    37.07,  27.9760
02.01. 03:30 ,   -18.03,    -0.83,    21.49,    40.21,    34.14,  26.8610,    38.54,    37.07,  27.9760
02.01. 04:00 ,   -18.03,    -0.83,    21.49,    40.21,    34.14,  26.8610,    38.54,    37.07,  27.9760
02.01. 04:30 ,   -18.03,    -0.88,    21.49,    40.26,    34.14,  26.8610,    38.54,    37.07,  27.9760
02.01. 05:00 ,   -18.03,    -0.88,    21.32,    40.26,    34.17,  26.8610,    38.54,    37.07,  27.9760
02.01. 05:30 ,   -18.03,    -0.88,    21.49,    40.26,    34.14,  26.8610,    38.54,    37.07,  27.9760
02.01. 06:00 ,   -18.03,    -0.88,    21.32,    40.26,    34.17,  26.8610,    38.57,    37.07,  27.9760
02.01. 06:30 ,   -18.03,    -0.83,    21.32,    40.26,    34.14,  26.8610,    38.54,    37.07,  27.9760
02.01. 07:00 ,   -18.03,    -0.88,    21.49,    40.21,    34.17,  26.8610,    38.54,    37.07,  27.9760
02.01. 07:30 ,   -18.03,    -0.88,    21.32,    40.21,    34.14,  26.8610,    38.54,    37.07,  27.9760
02.01. 08:00 ,   -18.03,    -0.88,    21.32,    40.26,    34.17,  26.8610,    38.57,    37.07,  27.9760
02.01. 08:30 ,   -18.03,    -0.88,    21.49,    40.21,    34.14,  26.8610,    38.57,    37.07,  27.9760
02.01. 09:00 ,   -18.03,    -0.88,    21.32,    40.26,    34.17,  26.8610,    38.54,    37.07,  27.9760
02.01. 09:30 ,   -18.03,    -0.88,    21.33,    40.21,    34.17,  26.8610,    38.54,    37.07,  27.9760
02.01. 10:00 ,   -18.03,    -0.83,    21.33,    40.21,    34.14,  26.8610,    38.54,    37.07,  27.9760
02.01. 10:30 ,   -18.03,    -0.83,    21.33,    40.26,    34.14,  26.8610,    38.54,    37.07,  27.9760
02.01. 11:00 ,   -18.03,    -0.78,    21.33,    40.26,    34.17,  26.8610,    38.54,    37.07,  27.9760
02.01. 11:30 ,   -18.03,    -0.78,    21.33,    40.26,    34.17,  26.8610,    38.54,    37.07,  27.9760
02.01. 12:00 ,   -18.03,    -0.73,    21.33,    40.26,    34.17,  26.8610,    38.54,    37.04,  27.9760
02.01. 12:30 ,   -18.03,    -0.73,    21.33,    40.26,    34.17,  26.8610,    38.54,    37.07,  27.9760
02.01. 13:00 ,   -18.03,    -0.68,    21.33,    40.21,    34.14,  26.8610,    38.54,    37.04,  27.9760
02.01. 13:30 ,   -18.03,    -0.68,    21.33,    40.21,    34.17,  26.8610,    38.54,    37.04,  27.9760
02.01. 14:00 ,   -18.03,    -0.68,    21.33,    40.21,    34.17,  26.8610,    38.54,    37.04,  27.9760
02.01. 14:30 ,   -18.03,    -0.68,    21.33,    40.26,    34.17,  26.8610,    38.54,    37.07,  27.9760
02.01. 15:00 ,   -18.03,    -0.68,    21.33,    40.26,    34.17,  26.8610,    38.57,    37.07,  27.9760
02.01. 15:30 ,   -18.03,    -0.68,    21.33,    40.21,    34.17,  26.8610,    38.54,    37.04,  27.9760
02.01. 16:00 ,   -18.03,    -0.68,    21.33,    40.21,    34.14,  26.8610,    38.54,    37.04,  27.9760
02.01. 16:30 ,   -18.03,    -0.68,    21.33,    40.21,    34.14,  26.8610,    38.54,    37.04,  27.9760
02.01. 17:00 ,   -18.03,    -0.68,    21.33,    40.21,    34.17,  26.8610,    38.54,    37.04,  27.9760
02.01. 17:30 ,   -18.03,    -0.68,    21.33,    40.21,    34.17,  26.8610,    38.54,    37.04,  27.9760
02.01. 18:00 ,   -18.03,    -0.68,    21.33,    40.21,    34.17,  26.8610,    38.54,    37.04,  27.9760
02.01. 18:30 ,   -18.03,    -0.73,    21.33,    40.21,    34.14,  26.8610,    38.54,    37.04,  27.9760
02.01. 19:00 ,   -18.03,    -0.73,    21.33,    40.21,    34.17,  26.8610,    38.54,    37.04,  27.9760
02.01. 19:30 ,   -18.03,    -0.78,    21.33,    40.21,    34.17,  26.8610,    38.54,    37.04,  27.9760
02.01. 20:00 ,   -18.03,    -0.83,    21.33,    40.21,    34.14,  26.8610,    38.54,    37.04,  27.9760
02.01. 20:30 ,   -18.03,    -0.83,    21.33,    40.21,    34.17,  26.8610,    38.54,    37.04,  27.9760
02.01. 21:00 ,   -18.03,    -0.83,    21.33,    40.21,    34.14,  26.8610,    38.54,    37.04,  27.9760
02.01. 21:30 ,   -18.03,    -0.88,    21.33,    40.21,    34.14,  26.8610,    38.54,    37.04,  27.9760
02.01. 22:00 ,   -18.03,    -0.88,    21.33,    40.21,    34.14,  26.8610,    38.54,    37.04,  27.9760
02.01. 22:30 ,   -18.03,    -0.93,    21.32,    40.21,    34.14,  26.8610,    38.54,    37.04,  27.9760
02.01. 23:00 ,   -18.03,    -0.93,    21.32,    40.21,    34.14,  26.8610,    38.54,    37.04,  27.9760
02.01. 23:30 ,   -18.03,    -0.98,    21.32,    40.21,    34.14,  26.8610,    38.50,    37.00,  27.9760
03.01. 00:00 ,   -18.03,    -0.98,    21.32,    40.21,    34.14,  26.8610,    38.54,    37.00,  27.9760
03.01. 00:30 ,   -18.03,    -0.93,    21.32,    40.21,    34.14,  26.8610,    38.54,    37.00,  27.9760
03.01. 01:00 ,   -18.03,    -0.93,    21.32,    40.21,    34.14,  26.8610,    38.54,    37.00,  27.9760
03.01. 01:30 ,   -18.03,    -0.93,    21.32,    40.21,    34.14,  26.8610,    38.54,    37.00,  27.9760
03.01. 02:00 ,   -18.03,    -0.88,    21.32,    40.21,    34.14,  26.8610,    38.54,    37.00,  27.9760
03.01. 02:30 ,   -18.03,    -0.88,    21.33,    40.21,    34.14,  26.8610,    38.54,    37.00,  27.9760
03.01. 03:00 ,   -18.03,    -0.88,    21.33,    40.21,    34.14,  26.8610,    38.54,    37.00,  27.9760
03.01. 03:30 ,   -18.03,    -0.88,    21.33,    40.21,    34.14,  26.8610,    38.54,    37.00,  27.9760
03.01. 04:00 ,   -18.03,    -0.83,    21.33,    40.21,    34.14,  26.8610,    38.54,    37.00,  27.9760
03.01. 04:30 ,   -18.03,    -0.83,    21.33,    40.21,    34.14,  26.8610,    38.54,    37.00,  27.9760
03.01. 05:00 ,   -18.03,    -0.83,    21.33,    40.21,    34.14,  26.8610,    38.50,    37.00,  27.9760
03.01. 05:30 ,   -18.03,    -0.83,    21.33,    40.21,    34.14,  26.8610,    38.54,    37.00,  27.9760
03.01. 06:00 ,   -18.03,    -0.83,    21.33,    40.21,    34.14,  26.8610,    38.50,    37.00,  27.9760
03.01. 06:30 ,   -18.03,    -0.83,    21.33,    40.21,    34.14,  26.8610,    38.54,    37.00,  27.9760
03.01. 07:00 ,   -18.03,    -0.78,    21.33,    40.21,    34.17,  26.8610,    38.54,    37.00,  27.9760
03.01. 07:30 ,   -18.03,    -0.78,    21.33,    40.26,    34.14,  26.8610,    38.54,    37.00,  27.9760
03.01. 08:00 ,   -18.03,    -0.73,    21.33,    40.21,    34.17,  26.8610,    38.54,    37.00,  27.9760
03.01. 08:30 ,   -18.03,    -0.73,    21.33,    40.21,    34.17,  26.8610,    38.50,    37.00,  27.9760
03.01. 09:00 ,   -18.03,    -0.73,    21.33,    40.21,    34.14,  26.8610,    38.54,    37.00,  27.9760
03.01. 09:30 ,   -18.03,    -0.68,    21.33,    40.21,    34.17,  26.8610,    38.50,    37.00,  27.9760
03.01. 10:00 ,   -18.03,    -0.68,    21.33,    40.26,    34.17,  26.8610,    38.54,    37.00,  27.9760
03.01. 10:30 ,   -18.03,    -0.63,    21.33,    40.21,    34.17,  26.8610,    38.50,    37.00,  27.9760
03.01. 11:00 ,   -18.03,    -0.63,    21.33,    40.26,    34.17,  26.8610,    38.54,    37.00,  27.9760
03.01. 11:30 ,   -18.03,    -0.63,    21.33,    40.26,    34.16,  26.8610,    38.54,    37.00,  27.9760
03.01. 12:00 ,   -18.03,    -0.63,    21.33,    40.25,    34.19,  26.8610,    38.57,    37.00,  27.9760
03.01. 12:30 ,   -18.03,    -0.63,    21.33,    40.25,    34.19,  26.8610,    38.54,    37.00,  27.9760
03.01. 13:00 ,   -18.03,    -0.63,    21.34,    40.25,    34.19,  26.8610,    38.53,    37.00,  27.9760
03.01. 13:30 ,   -18.03,    -0.63,    21.34,    40.25,    34.19,  26.8610,    38.53,    37.00,  27.9760
03.01. 14:00 ,   -18.03,    -0.63,    21.34,    40.25,    34.19,  26.8610,    38.57,    37.00,  27.9760
03.01. 14:30 ,   -18.03,    -0.63,    21.34,    40.25,    34.19,  26.8610,    38.53,    37.00,  27.9760
03.01. 15:00 ,   -18.03,    -0.63,    21.34,    40.25,    34.19,  26.8610,    38.57,    37.04,  27.9760
03.01. 15:30 ,   -18.03,    -0.63,    21.34,    40.25,    34.19,  26.8610,    38.57,    37.00,  27.9760
03.01. 16:00 ,   -18.03,    -0.63,    21.34,    40.25,    34.19,  26.8610,    38.57,    37.00,  27.9760
03.01. 16:30 ,   -18.03,    -0.63,    21.34,    40.25,    34.19,  26.8610,    38.53,    37.04,  27.9760
03.01. 17:00 ,   -18.03,    -0.58,    21.34,    40.25,    34.19,  26.8610,    38.57,    37.00,  27.9760
03.01. 17:30 ,   -18.03,    -0.58,    21.34,    40.25,    34.19,  26.8610,    38.57,    37.04,  27.9760
03.01. 18:00 ,   -18.03,    -0.53,    21.34,    40.25,    34.19,  26.8610,    38.57,    37.03,  27.9760
03.01. 18:30 ,   -18.03,    -0.53,    21.34,    40.25,    34.19,  26.8610,    38.57,    37.03,  27.9760
03.01. 19:00 ,   -18.03,    -0.48,    21.34,    40.25,    34.19,  26.8610,    38.57,    37.03,  27.9760
03.01. 19:30 ,   -18.03,    -0.48,    21.34,    40.25,    34.19,  26.8610,    38.57,    37.03,  27.9760
03.01. 20:00 ,   -18.03,    -0.43,    21.34,    40.25,    34.16,  26.8610,    38.57,    37.03,  27.9760
