Logger: #D3000C 'Esslingen_Fi_FVA_1' - USP_EXP2 - (CGI) Expander for GP5W - (V2.60, Mai 12 2013)
No;Datum;X.1.._T_PF.Nu.1.ID.5.;X.2...Nu..do...ID.5.;X.3.S.m.Nu..do...ID.5.;X.4.._T_PF.Nu.2.ID.25.;X.5...Nu..do...ID.25.;X.6.S.m.Nu..do...ID.25.;X.7.._T_PF.Nu.3.ID.55.;X.8...Nu..do...ID.55.;X.9.S.m.Nu..do...ID.55.;X.10.._T_PF.DH.4.ID.5.;X.11...DH..do...ID.5.;X.12.S.m.DH..do...ID.5.;X.13.._T_PF.DH.5.ID.25.;X.14...DH..do...ID.25.;X.15.S.m.DH..do...ID.25.;X.16.._T_PF.DH.6.ID.55.;X.17...DH..do...ID.55.;X.18.S.m.DH..do...ID.55.;X.19.pH.Nu.7.ID.1.;X.20.pH.Nu..do...ID.1.;X.21.pH.Nu..do...ID.5.;X.22.pH.Nu..do...ID.5.;X.23.pH.Nu..do...ID.25.;X.24.pH.Nu..do...ID.55.;X.25.pH.DH.8.ID.1.;X.26.pH.DH..do...ID.1.;X.27.pH.DH..do...ID.5.;X.28.pH.DH..do...ID.5.;X.29.pH.DH..do...ID.25.;X.30.defekt..do...ID.34.;Bat.V;Temp.o_T_PF;rH..;X.30.pH.DH..do...ID.55.
1;01.01.2020 00:00;5,4;30,2;0,005;6,9;29,2;0,007;7,5;33,2;0,014;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,8;0,006;3,3699;3,31381;4,55504;3,64041;3,94393;3,73167;3,99336;3,52462;4,30497;4,31951;4,28928;262,67;;;;
2;01.01.2020 00:15;5,4;30;0,006;6,9;29,2;0,007;7,5;33,1;0,014;5,7;33,1;0,004;6,6;32,8;0,005;7,5;26,7;0,007;3,37111;3,31415;4,5602;3,64076;3,94444;3,73184;3,99476;3,52709;4,30636;4,32039;4,28945;262,58;12,014;-1,73;91,4;
3;01.01.2020 00:30;5,4;30,2;0,005;6,9;29,2;0,007;7,5;33,3;0,013;5,7;33,1;0,004;6,6;32,8;0,005;7,5;26,8;0,006;3,37059;3,31363;4,56364;3,64024;3,94478;3,73115;3,99598;3,52938;4,30741;4,32109;4,28963;262,48;12,005;-1,61;90,7;
4;01.01.2020 00:45;5,4;30,2;0,005;6,9;29,2;0,007;7,5;33,3;0,013;5,7;33,1;0,004;6,6;32,8;0,005;7,5;26,8;0,006;3,37128;3,31363;4,56639;3,64024;3,9453;3,73115;3,9958;3,53026;4,30724;4,32021;4,28858;262,44;;;;
5;01.01.2020 01:00;5,4;30,2;0,005;6,9;29,2;0,007;7,5;33,2;0,014;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37163;3,31415;4,57155;3,64007;3,94633;3,73098;3,99755;3,53361;4,30898;4,32214;4,29015;262,29;;;;
6;01.01.2020 01:15;5,4;30;0,006;6,9;29,4;0,006;7,5;33,2;0,014;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,9;0,006;3,37284;3,31467;4,57757;3,6411;3,94701;3,7315;3,99668;3,53378;4,30828;4,32074;4,28876;262,3;;;;
7;01.01.2020 01:30;5,4;30;0,006;6,9;29,2;0,007;7,5;33,3;0,013;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,7;0,007;3,37336;3,31467;4,58153;3,6411;3,94753;3,73167;3,99895;3,53731;4,31055;4,32302;4,29137;262,1;;;;
8;01.01.2020 01:45;5,4;30;0,006;6,9;29,2;0,007;7,5;33,2;0,014;5,7;33,1;0,004;6,6;32,8;0,005;7,5;26,6;0,007;3,37336;3,31484;4,58394;3,6411;3,94804;3,73167;3,99878;3,53872;4,31072;4,32284;4,29154;262,05;;;;
9;01.01.2020 02:00;5,4;30;0,006;6,9;29,2;0,007;7,5;33,2;0,014;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37405;3,31502;4,58308;3,64162;3,94839;3,73219;4,00489;3,54559;4,317;4,32863;4,29781;261,64;11,997;-2,45;91,7;
10;01.01.2020 02:15;5,4;30;0,006;6,9;29,2;0,007;7,5;33,1;0,014;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,8;0,006;3,37388;3,31484;4,58617;3,64127;3,94856;3,73167;4,00769;3,54929;4,32014;4,33109;4,30077;261,43;;;;
11;01.01.2020 02:30;5,4;30;0,006;6,9;29,2;0,007;7,5;33,2;0,014;5,7;33,1;0,004;6,6;32,8;0,005;7,5;26,8;0,006;3,37423;3,31433;4,59202;3,6411;3,94821;3,73201;4,00996;3,55264;4,32258;4,33372;4,30338;261,25;;;;
12;01.01.2020 02:45;5,4;30;0,006;6,9;29,2;0,007;7,5;33,3;0,013;5,7;33,1;0,004;6,6;32,8;0,005;7,5;26,6;0,007;3,37405;3,31415;4,5946;3,64076;3,94821;3,73184;4,01119;3,55476;4,3238;4,3346;4,30512;261,15;;;;
13;01.01.2020 03:00;5,4;30;0,006;6,9;29,3;0,006;7,5;33,2;0,014;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,8;0,006;3,37405;3,31433;4,59666;3,64127;3,94839;3,73201;4,01888;3,56304;4,33182;4,3425;4,31347;260,69;;;;
14;01.01.2020 03:15;5,4;30;0,006;6,9;29,3;0,006;7,5;33,3;0,013;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37388;3,31467;4,5989;3,6411;3,94907;3,73201;4,02115;3,56622;4,33426;4,34478;4,31608;260,51;;;;
15;01.01.2020 03:30;5,4;30;0,006;6,9;29,2;0,007;7,5;33,1;0,014;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37405;3,3145;4,61163;3,64093;3,94856;3,73201;4,01731;3,56251;4,3306;4,34092;4,3126;260,69;11,997;-2,71;91,8;
16;01.01.2020 03:45;5,4;30;0,006;6,9;29,2;0,007;7,5;33,1;0,014;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,8;0,006;3,37457;3,31415;4,61644;3,64162;3,9489;3,73236;4,01573;3,56163;4,32938;4,33934;4,31156;260,75;;;;
17;01.01.2020 04:00;5,4;30;0,006;6,9;29,3;0,006;7,5;33,3;0,013;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,8;0,006;3,37405;3,31363;4,61851;3,6411;3,94873;3,73201;4,01626;3,56234;4,32973;4,33934;4,31208;260,71;;;;
18;01.01.2020 04:15;5,4;30;0,006;6,9;29,3;0,006;7,5;33,3;0,013;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,8;0,006;3,37492;3,31415;4,61696;3,64179;3,94924;3,7327;4,01591;3,56251;4,32973;4,33951;4,31173;260,69;11,997;-2,88;91,8;
19;01.01.2020 04:30;5,4;30;0,006;6,9;29,3;0,006;7,5;33,2;0,014;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37509;3,31484;4,61696;3,64145;3,94993;3,7327;4,01661;3,56375;4,33025;4,33951;4,31243;260,64;11,994;-2,69;91;
20;01.01.2020 04:45;5,3;30;0,006;6,9;29,3;0,006;7,5;33,1;0,014;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37544;3,31502;4,61558;3,64162;3,9501;3,73287;4,02308;3,57062;4,33653;4,34583;4,31887;260,25;;;;
21;01.01.2020 05:00;5,4;30;0,006;6,9;29,3;0,006;7,5;33,3;0,013;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37527;3,31467;4,61128;3,64145;3,94959;3,73236;4,01748;3,56604;4,33147;4,34039;4,31399;260,51;;;;
22;01.01.2020 05:15;5,3;30;0,006;6,9;29,3;0,006;7,5;33,2;0,014;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37509;3,31398;4,60664;3,64127;3,94907;3,73236;3,99039;3,53819;4,30445;4,31319;4,28771;262,05;;;;
23;01.01.2020 05:30;5,4;30;0,006;6,9;29,4;0,006;7,5;33,2;0,014;5,7;33,1;0,004;6,6;32,8;0,005;7,5;26,6;0,007;3,37544;3,31363;4,60681;3,64127;3,9489;3,7327;3,95874;3,50664;4,27341;4,28161;4,2569;263,82;;;;
24;01.01.2020 05:45;5,3;30;0,006;6,9;29,3;0,006;7,5;33,3;0,013;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37561;3,31363;4,60612;3,64162;3,94873;3,7327;3,96644;3,51387;4,28091;4,28933;4,26509;263,4;;;;
25;01.01.2020 06:00;5,3;30;0,006;6,9;29,3;0,006;7,5;33,1;0,014;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37509;3,31329;4,60561;3,64093;3,94821;3,73219;3,96871;3,51669;4,28335;4,29179;4,26787;263,26;11,992;-2,93;91,8;
26;01.01.2020 06:15;5,4;30;0,006;6,9;29,3;0,006;7,5;33,3;0,013;5,7;32,9;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37492;3,31294;4,60647;3,64093;3,94821;3,73236;3,97185;3,51915;4,28649;4,29442;4,27118;263,1;;;;
27;01.01.2020 06:30;5,3;30;0,006;6,9;29,4;0,006;7,5;33,3;0,013;5,7;32,9;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37527;3,31312;4,60853;3,64093;3,94804;3,73236;3,9722;3,51951;4,28684;4,29512;4,2717;263,06;;;;
28;01.01.2020 06:45;5,3;30;0,006;6,9;29,4;0,006;7,5;33,2;0,014;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37579;3,31346;4,60991;3,64145;3,94856;3,73253;3,9806;3,52797;4,29538;4,30319;4,27988;262,57;;;;
29;01.01.2020 07:00;5,3;30;0,006;6,9;29,3;0,006;7,5;33,2;0,014;5,7;32,9;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37561;3,31294;4,61025;3,6411;3,94839;3,73253;3,98077;3,5285;4,29555;4,30337;4,2804;262,57;;;;
30;01.01.2020 07:15;5,3;30;0,006;6,9;29,3;0,006;7,5;33,2;0,014;5,7;32,9;0,004;6,6;32,9;0,004;7,5;26,6;0,007;3,37544;3,31329;4,60922;3,6411;3,94839;3,73236;3,98479;3,53255;4,29991;4,30758;4,28458;262,32;;;;
31;01.01.2020 07:30;5,3;30;0,005;6,9;29,3;0,006;7,5;33,2;0,014;5,7;32,9;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37596;3,31381;4,61077;3,6411;3,9489;3,73287;3,9792;3,52709;4,29433;4,30197;4,27936;262,63;11,982;-3,15;91,8;
32;01.01.2020 07:45;5,3;30;0,006;6,9;29,3;0,006;7,5;33,3;0,013;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37631;3,31381;4,61111;3,64145;3,94924;3,73339;3,98042;3,52814;4,29555;4,30319;4,28058;262,57;;;;
33;01.01.2020 08:00;5,3;30;0,006;6,9;29,3;0,006;7,5;33,2;0,014;5,7;32,9;0,004;6,6;32,8;0,005;7,5;26,6;0,007;3,37665;3,31381;4,61214;3,64145;3,94924;3,73322;3,98287;3,53026;4,29817;4,30547;4,28301;262,41;;;;
34;01.01.2020 08:15;5,3;30;0,005;6,7;29,3;0,006;7,5;33,3;0,013;5,7;32,9;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37735;3,31398;4,61335;3,64196;3,94959;3,73356;3,99073;3,53872;4,30602;4,31337;4,29085;261,97;11,982;-3,36;91,9;
35;01.01.2020 08:30;5,3;30;0,005;6,9;29,3;0,006;7,5;33,1;0,014;5,7;32,9;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37769;3,31484;4,613;3,64214;3,94993;3,73425;3,98636;3,53431;4,30183;4,30881;4,28649;262,22;11,977;-3,06;90,8;
36;01.01.2020 08:45;5,3;30;0,005;6,9;29,3;0,006;7,5;33,3;0,013;5,7;32,9;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37804;3,3145;4,61644;3,64196;3,94959;3,73442;3,98829;3,53555;4,3034;4,31021;4,28806;262,13;;;;
37;01.01.2020 09:00;5,3;30;0,005;6,9;29,3;0,006;7,5;33,3;0,013;5,7;32,9;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37804;3,3145;4,61627;3,64196;3,94959;3,7346;3,99423;3,54207;4,30985;4,31653;4,29433;261,75;;;;
38;01.01.2020 09:15;5,3;30;0,005;6,9;29,3;0,006;7,5;33,2;0,013;5,7;33,1;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37804;3,31415;4,61748;3,64231;3,94924;3,7346;4,00035;3,54788;4,31613;4,32249;4,30059;261,41;;;;
39;01.01.2020 09:30;5,3;30;0,005;6,9;29,3;0,006;7,5;33,2;0,014;5,7;32,9;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37735;3,31433;4,61507;3,64179;3,94907;3,73442;4,01713;3,56428;4,33269;4,33969;4,318;260,48;;;;
40;01.01.2020 09:45;5,3;30;0,005;6,7;29,4;0,006;7,5;33,2;0,014;5,7;32,9;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37752;3,31346;4,61507;3,64196;3,94804;3,73442;4,01154;3,5574;4,32746;4,33425;4,3133;260,79;;;;
41;01.01.2020 10:00;5,3;30;0,005;6,7;29,3;0,006;7,5;33,2;0,013;5,7;32,9;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37648;3,31277;4,61094;3,64145;3,94719;3,73391;4,01766;3,56251;4,33391;4,34057;4,32061;260,5;11,988;-3,31;91,9;
42;01.01.2020 10:15;5,3;30;0,005;6,7;29,3;0,006;7,5;33,2;0,013;5,7;32,9;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37544;3,31156;4,60733;3,64041;3,94513;3,73339;4,02203;3,56481;4,33862;4,34548;4,32618;260,3;;;;
43;01.01.2020 10:30;5,3;30;0,005;6,7;29,4;0,006;7,5;33,2;0,014;5,7;32,9;0,004;6,6;32,8;0,004;7,5;26,6;0,007;3,37302;3,31035;4,60354;3,63938;3,94358;3,73219;4,03461;3,57538;4,35135;4,35811;4,3401;259,63;;;;
