DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01.01. 00:00
31.12. 23:30
Start_Year: 2020
Channel number,,,,,,,,,,,,,,
Sensor code,,,,,,,,,,,,,,
        Datum,    L,    K,   KR,   K15,   K30,   K60,  KR15,  KR30,  KR60,   L15,   L30,   L60,  batt
Units,,,,,,,,,,,,,,
Minimum value,,,,,,,,,,,,,,
Maximum value,,,,,,,,,,,,,,
01.01. 00:00 ,  0.0,  0.0,  0.0, 27.76, 17.69, 36.27, 19.80, 19.80, 33.40, 34.14, 17.43, -0.22, 12.69
01.01. 00:30 ,  0.0,  0.0,  0.0, 27.73, 17.69, 36.27, 19.80, 19.83, 33.37, 34.14, 17.41, -0.22, 12.70
01.01. 01:00 ,  0.0,  0.0,  0.0, 27.73, 17.66, 36.27, 19.78, 19.80, 33.40, 34.14, 17.41, -0.22, 12.70
01.01. 01:30 ,  0.0,  0.0,  0.0, 27.73, 17.66, 36.27, 19.78, 19.80, 33.40, 34.14, 17.38, -0.22, 12.69
01.01. 02:00 ,  0.0,  0.0,  0.0, 27.71, 17.64, 36.27, 19.80, 19.78, 33.34, 34.14, 17.38, -0.22, 12.69
01.01. 02:30 ,  0.0,  0.0,  0.0, 27.71, 17.64, 36.27, 19.78, 19.78, 33.34, 34.11, 17.38, -0.22, 12.70
01.01. 03:00 ,  0.0,  0.0,  0.0, 27.73, 17.64, 36.27, 19.78, 19.78, 33.34, 34.11, 17.38, -0.22, 12.69
01.01. 03:30 ,  0.0,  0.0,  0.0, 27.71, 17.62, 36.23, 19.78, 19.76, 33.34, 34.11, 17.36, -0.22, 12.69
01.01. 04:00 ,  0.0,  0.0,  0.0, 27.71, 17.62, 36.23, 19.76, 19.76, 33.37, 34.11, 17.36, -0.22, 12.69
01.01. 04:30 ,  0.0,  0.0,  0.0, 27.71, 17.59, 36.23, 19.78, 19.73, 33.31, 34.08, 17.36, -0.22, 12.69
01.01. 05:00 ,  0.0,  0.0,  0.0, 27.68, 17.59, 36.20, 19.76, 19.73, 33.34, 34.05, 17.36, -0.22, 12.69
01.01. 05:30 ,  0.0,  0.0,  0.0, 27.68, 17.57, 36.23, 19.76, 19.71, 33.34, 34.05, 17.34, -0.22, 12.69
01.01. 06:00 ,  0.0,  0.0,  0.0, 27.66, 17.57, 36.20, 19.73, 19.69, 33.31, 34.05, 17.34, -0.22, 12.69
01.01. 06:30 ,  0.0,  0.0,  0.0, 27.66, 17.57, 36.23, 19.73, 19.69, 33.31, 34.05, 17.34, -0.22, 12.69
01.01. 07:00 ,  0.0,  0.0,  0.0, 27.66, 17.55, 36.23, 19.73, 19.67, 33.31, 34.05, 17.34, -0.22, 12.69
01.01. 07:30 ,  0.0,  0.0,  0.0, 27.66, 17.55, 36.20, 19.71, 19.67, 33.31, 34.05, 17.34, -0.22, 12.69
01.01. 08:00 ,  0.0,  0.0,  0.0, 27.66, 17.55, 36.20, 19.71, 19.64, 33.29, 34.02, 17.31, -0.22, 12.69
01.01. 08:30 ,  0.0,  0.0,  0.0, 27.66, 17.52, 36.20, 19.73, 19.64, 33.31, 34.02, 17.31, -0.22, 12.69
01.01. 09:00 ,  0.0,  0.0,  0.0, 27.63, 17.52, 36.20, 19.71, 19.62, 33.29, 34.00, 17.29, -0.22, 12.69
01.01. 09:30 ,  0.0,  0.0,  0.0, 27.63, 17.50, 36.16, 19.71, 19.62, 33.31, 34.00, 17.29, -0.22, 12.69
01.01. 10:00 ,  0.0,  0.0,  0.0, 27.61, 17.50, 36.16, 19.69, 19.60, 33.29, 34.02, 17.29, -0.22, 12.69
01.01. 10:30 ,  0.0,  0.0,  0.0, 27.63, 17.50, 36.16, 19.69, 19.60, 33.29, 34.02, 17.29, -0.22, 12.69
01.01. 11:00 ,  0.0,  0.0,  0.0, 27.61, 17.48, 36.16, 19.69, 19.57, 33.29, 34.02, 17.27, -0.22, 12.69
01.01. 11:30 ,  0.0,  0.0,  0.0, 27.61, 17.48, 36.16, 19.67, 19.57, 33.26, 34.00, 17.27, -0.22, 12.69
01.01. 12:00 ,  0.0,  0.0,  0.0, 27.61, 17.45, 36.16, 19.69, 19.57, 33.26, 33.97, 17.27, -0.22, 12.69
01.01. 12:30 ,  0.0,  0.0,  0.0, 27.58, 17.45, 36.12, 19.69, 19.55, 33.26, 33.97, 17.27, -0.22, 12.69
01.01. 13:00 ,  0.0,  0.0,  0.0, 27.58, 17.43, 36.16, 19.67, 19.55, 33.26, 33.97, 17.27, -0.22, 12.69
01.01. 13:30 ,  0.0,  0.0,  0.0, 27.58, 17.43, 36.16, 19.69, 19.57, 33.26, 33.97, 17.24, -0.22, 12.69
01.01. 14:00 ,  0.0,  0.0,  0.0, 27.55, 17.43, 36.12, 19.64, 19.53, 33.26, 33.94, 17.24, -0.22, 12.69
01.01. 14:30 ,  0.0,  0.0,  0.0, 27.58, 17.41, 36.12, 19.64, 19.50, 33.26, 33.94, 17.22, -0.22, 12.69
01.01. 15:00 ,  0.0,  0.0,  0.0, 27.58, 17.41, 36.12, 19.64, 19.48, 33.23, 33.94, 17.24, -0.22, 12.69
01.01. 15:30 ,  0.0,  0.0,  0.0, 27.55, 17.41, 36.09, 19.62, 19.50, 33.26, 33.94, 17.22, -0.22, 12.69
01.01. 16:00 ,  0.0,  0.0,  0.0, 27.55, 17.38, 36.12, 19.62, 19.48, 33.23, 33.94, 17.22, -0.22, 12.69
01.01. 16:30 ,  0.0,  0.0,  0.0, 27.55, 17.38, 36.09, 19.62, 19.48, 33.23, 33.91, 17.22, -0.22, 12.69
01.01. 17:00 ,  0.0,  0.0,  0.0, 27.53, 17.38, 36.09, 19.62, 19.46, 33.23, 33.91, 17.22, -0.22, 12.69
01.01. 17:30 ,  0.0,  0.0,  0.0, 27.53, 17.38, 36.09, 19.60, 19.43, 33.23, 33.91, 17.20, -0.22, 12.69
01.01. 18:00 ,  0.0,  0.0,  0.0, 27.50, 17.36, 36.09, 19.60, 19.43, 33.20, 33.91, 17.17, -0.22, 12.69
01.01. 18:30 ,  0.0,  0.0,  0.0, 27.50, 17.36, 36.09, 19.60, 19.43, 33.20, 33.91, 17.20, -0.22, 12.68
01.01. 19:00 ,  0.0,  0.0,  0.0, 27.50, 17.34, 36.09, 19.60, 19.43, 33.23, 33.88, 17.17, -0.22, 12.69
01.01. 19:30 ,  0.0,  0.0,  0.0, 27.48, 17.31, 36.05, 19.57, 19.41, 33.20, 33.88, 17.20, -0.22, 12.69
01.01. 20:00 ,  0.0,  0.0,  0.0, 27.48, 17.31, 36.05, 19.57, 19.39, 33.20, 33.88, 17.15, -0.22, 12.69
01.01. 20:30 ,  0.0,  0.0,  0.0, 27.50, 17.31, 36.09, 19.57, 19.36, 33.20, 33.85, 17.15, -0.22, 12.69
01.01. 21:00 ,  0.0,  0.0,  0.0, 27.45, 17.31, 36.05, 19.55, 19.39, 33.20, 33.85, 17.17, -0.22, 12.69
01.01. 21:30 ,  0.0,  0.0,  0.0, 27.48, 17.29, 36.05, 19.57, 19.36, 33.17, 33.85, 17.15, -0.22, 12.69
01.01. 22:00 ,  0.0,  0.0,  0.0, 27.48, 17.29, 36.05, 19.55, 19.34, 33.17, 33.85, 17.13, -0.22, 12.69
01.01. 22:30 ,  0.0,  0.0,  0.0, 27.45, 17.29, 36.05, 19.55, 19.34, 33.17, 33.85, 17.15, -0.22, 12.69
01.01. 23:00 ,  0.0,  0.0,  0.0, 27.45, 17.27, 36.05, 19.55, 19.34, 33.17, 33.85, 17.13, -0.22, 12.68
01.01. 23:30 ,  0.0,  0.0,  0.0, 27.45, 17.27, 36.01, 19.53, 19.32, 33.17, 33.83, 17.13, -0.22, 12.69
02.01. 00:00 ,  0.0,  0.0,  0.0, 27.45, 17.27, 36.01, 19.53, 19.32, 33.14, 33.85, 17.13, -0.22, 12.69
02.01. 00:30 ,  0.0,  0.0,  0.0, 27.43, 17.24, 36.01, 19.53, 19.29, 33.17, 33.83, 17.11, -0.22, 12.69
02.01. 01:00 ,  0.0,  0.0,  0.0, 27.43, 17.24, 36.05, 19.53, 19.32, 33.17, 33.80, 17.13, -0.22, 12.69
02.01. 01:30 ,  0.0,  0.0,  0.0, 27.43, 17.24, 35.98, 19.55, 19.29, 33.17, 33.80, 17.11, -0.22, 12.69
02.01. 02:00 ,  0.0,  0.0,  0.0, 27.40, 17.24, 36.01, 19.53, 19.29, 33.17, 33.80, 17.11, -0.22, 12.69
02.01. 02:30 ,  0.0,  0.0,  0.0, 27.40, 17.22, 36.01, 19.50, 19.27, 33.14, 33.83, 17.08, -0.22, 12.69
02.01. 03:00 ,  0.0,  0.0,  0.0, 27.40, 17.22, 36.01, 19.50, 19.27, 33.14, 33.80, 17.11, -0.22, 12.68
02.01. 03:30 ,  0.0,  0.0,  0.0, 27.40, 17.22, 35.98, 19.50, 19.25, 33.14, 33.80, 17.08, -0.22, 12.69
02.01. 04:00 ,  0.0,  0.0,  0.0, 27.40, 17.20, 35.98, 19.50, 19.25, 33.14, 33.80, 17.08, -0.22, 12.68
02.01. 04:30 ,  0.0,  0.0,  0.0, 27.40, 17.20, 35.98, 19.48, 19.25, 33.14, 33.80, 17.08, -0.22, 12.68
02.01. 05:00 ,  0.0,  0.0,  0.0, 27.38, 17.20, 35.98, 19.48, 19.25, 33.14, 33.77, 17.08, -0.22, 12.67
02.01. 05:30 ,  0.0,  0.0,  0.0, 27.38, 17.20, 35.98, 19.48, 19.22, 33.14, 33.77, 17.06, -0.22, 12.68
02.01. 06:00 ,  0.0,  0.0,  0.0, 27.38, 17.17, 35.98, 19.48, 19.20, 33.14, 33.74, 17.06, -0.22, 12.67
02.01. 06:30 ,  0.0,  0.0,  0.0, 27.35, 17.15, 35.98, 19.46, 19.20, 33.11, 33.77, 17.06, -0.22, 12.67
02.01. 07:00 ,  0.0,  0.0,  0.0, 27.35, 17.15, 35.98, 19.46, 19.18, 33.11, 33.74, 17.06, -0.22, 12.67
02.01. 07:30 ,  0.0,  0.0,  0.0, 27.35, 17.15, 35.94, 19.46, 19.18, 33.11, 33.77, 17.04, -0.22, 12.67
02.01. 08:00 ,  0.0,  0.0,  0.0, 27.35, 17.15, 35.94, 19.46, 19.15, 33.14, 33.74, 17.08, -0.22, 12.67
02.01. 08:30 ,  0.0,  0.0,  0.0, 27.35, 17.13, 35.94, 19.46, 19.15, 33.09, 33.74, 17.04, -0.22, 12.67
02.01. 09:00 ,  0.0,  0.0,  0.0, 27.32, 17.13, 35.94, 19.43, 19.15, 33.11, 33.74, 17.04, -0.22, 12.67
02.01. 09:30 ,  0.0,  0.0,  0.0, 27.32, 17.11, 35.94, 19.43, 19.13, 33.11, 33.74, 17.04, -0.22, 12.67
02.01. 10:00 ,  0.0,  0.0,  0.0, 27.32, 17.11, 35.94, 19.43, 19.11, 33.09, 33.71, 17.04, -0.22, 12.67
02.01. 10:30 ,  0.0,  0.0,  0.0, 27.32, 17.11, 35.94, 19.43, 19.11, 33.09, 33.71, 17.01, -0.22, 12.67
02.01. 11:00 ,  0.0,  0.0,  0.0, 27.32, 17.08, 35.94, 19.41, 19.11, 33.09, 33.68, 17.01, -0.22, 12.67
02.01. 11:30 ,  0.0,  0.0,  0.0, 27.32, 17.08, 35.91, 19.43, 19.11, 33.09, 33.71, 17.01, -0.22, 12.67
02.01. 12:00 ,  0.0,  0.0,  0.0, 27.30, 17.08, 35.94, 19.41, 19.06, 33.09, 33.68, 17.01, -0.22, 12.67
02.01. 12:30 ,  0.0,  0.0,  0.0, 27.30, 17.06, 35.94, 19.41, 19.08, 33.06, 33.71, 17.01, -0.22, 12.67
02.01. 13:00 ,  0.0,  0.0,  0.0, 27.27, 17.06, 35.94, 19.41, 19.06, 33.06, 33.68, 16.99, -0.22, 12.68
02.01. 13:30 ,  0.0,  0.0,  0.0, 27.30, 17.04, 35.91, 19.39, 19.06, 33.06, 33.71, 16.99, -0.22, 12.68
02.01. 14:00 ,  0.0,  0.0,  0.0, 27.27, 17.04, 35.87, 19.39, 19.04, 33.06, 33.68, 16.99, -0.22, 12.68
02.01. 14:30 ,  0.0,  0.0,  0.0, 27.25, 17.06, 35.91, 19.36, 19.04, 33.06, 33.65, 16.97, -0.22, 12.68
02.01. 15:00 ,  0.0,  0.0,  0.0, 27.27, 17.04, 35.87, 19.39, 19.04, 33.06, 33.66, 16.97, -0.22, 12.68
02.01. 15:30 ,  0.0,  0.0,  0.0, 27.25, 17.01, 35.87, 19.36, 19.01, 33.06, 33.65, 16.97, -0.22, 12.68
02.01. 16:00 ,  0.0,  0.0,  0.0, 27.25, 17.01, 35.87, 19.36, 18.99, 33.03, 33.65, 16.97, -0.22, 12.68
02.01. 16:30 ,  0.0,  0.0,  0.0, 27.22, 17.04, 35.87, 19.36, 18.99, 33.06, 33.63, 16.97, -0.22, 12.68
02.01. 17:00 ,  0.0,  0.0,  0.0, 27.22, 17.01, 35.87, 19.36, 18.99, 33.03, 33.63, 16.99, -0.22, 12.68
02.01. 17:30 ,  0.0,  0.0,  0.0, 27.22, 17.01, 35.87, 19.34, 18.99, 33.06, 33.60, 16.97, -0.22, 12.68
02.01. 18:00 ,  0.0,  0.0,  0.0, 27.22, 16.99, 35.87, 19.34, 18.97, 33.06, 33.63, 16.94, -0.22, 12.69
02.01. 18:30 ,  0.0,  0.0,  0.0, 27.20, 16.99, 35.83, 19.32, 18.97, 33.03, 33.63, 16.97, -0.22, 12.68
02.01. 19:00 ,  0.0,  0.0,  0.0, 27.22, 16.97, 35.87, 19.34, 18.94, 33.03, 33.60, 16.94, -0.22, 12.68
02.01. 19:30 ,  0.0,  0.0,  0.0, 27.20, 16.99, 35.83, 19.34, 18.94, 33.03, 33.60, 16.92, -0.22, 12.68
02.01. 20:00 ,  0.0,  0.0,  0.0, 27.20, 16.94, 35.83, 19.34, 18.94, 33.00, 33.60, 16.94, -0.22, 12.69
02.01. 20:30 ,  0.0,  0.0,  0.0, 27.20, 16.94, 35.83, 19.32, 18.92, 33.03, 33.60, 16.94, -0.22, 12.69
02.01. 21:00 ,  0.0,  0.0,  0.0, 27.20, 16.94, 35.83, 19.32, 18.92, 33.00, 33.60, 16.92, -0.22, 12.69
02.01. 21:30 ,  0.0,  0.0,  0.0, 27.17, 16.94, 35.83, 19.32, 18.92, 33.03, 33.57, 16.92, -0.22, 12.69
02.01. 22:00 ,  0.0,  0.0,  0.0, 27.17, 16.94, 35.80, 19.32, 18.90, 33.03, 33.57, 16.92, -0.22, 12.69
02.01. 22:30 ,  0.0,  0.0,  0.0, 27.17, 16.94, 35.80, 19.32, 18.90, 33.00, 33.54, 16.90, -0.22, 12.69
02.01. 23:00 ,  0.0,  0.0,  0.0, 27.14, 16.92, 35.80, 19.29, 18.87, 33.00, 33.57, 16.90, -0.22, 12.69
02.01. 23:30 ,  0.0,  0.0,  0.0, 27.14, 16.90, 35.80, 19.32, 18.87, 32.97, 33.57, 16.90, -0.22, 12.69
03.01. 00:00 ,  0.0,  0.0,  0.0, 27.14, 16.90, 35.76, 19.27, 18.87, 32.97, 33.57, 16.90, -0.22, 12.69
03.01. 00:30 ,  0.0,  0.0,  0.0, 27.14, 16.90, 35.80, 19.27, 18.87, 32.97, 33.54, 16.90, -0.22, 12.69
03.01. 01:00 ,  0.0,  0.0,  0.0, 27.14, 16.90, 35.80, 19.27, 18.85, 32.97, 33.54, 16.87, -0.22, 12.69
03.01. 01:30 ,  0.0,  0.0,  0.0, 27.12, 16.87, 35.80, 19.27, 18.85, 33.00, 33.51, 16.87, -0.22, 12.69
03.01. 02:00 ,  0.0,  0.0,  0.0, 27.12, 16.87, 35.76, 19.27, 18.85, 33.00, 33.54, 16.87, -0.22, 12.69
03.01. 02:30 ,  0.0,  0.0,  0.0, 27.12, 16.87, 35.80, 19.27, 18.83, 33.00, 33.51, 16.90, -0.22, 12.68
03.01. 03:00 ,  0.0,  0.0,  0.0, 27.09, 16.87, 35.76, 19.27, 18.83, 32.97, 33.51, 16.87, -0.22, 12.69
03.01. 03:30 ,  0.0,  0.0,  0.0, 27.09, 16.85, 35.80, 19.27, 18.80, 32.94, 33.48, 16.85, -0.22, 12.69
03.01. 04:00 ,  0.0,  0.0,  0.0, 27.09, 16.85, 35.76, 19.27, 18.80, 32.94, 33.48, 16.85, -0.22, 12.68
03.01. 04:30 ,  0.0,  0.0,  0.0, 27.09, 16.85, 35.76, 19.27, 18.80, 32.94, 33.48, 16.85, -0.22, 12.68
03.01. 05:00 ,  0.0,  0.0,  0.0, 27.09, 16.83, 35.76, 19.25, 18.80, 32.97, 33.54, 16.85, -0.22, 12.69
03.01. 05:30 ,  0.0,  0.0,  0.0, 27.07, 16.83, 35.72, 19.25, 18.78, 32.94, 33.48, 16.85, -0.22, 12.67
